{'短评内容': '酒店太难找了！！！！！很一般！！！！！！！！！！！！说说呗！！收拾收拾试试！！！！！！！！！！！！！！', '短评打分': 2}
{'短评内容': '非常好！', '短评打分': 4}
{'短评内容': '位置太难找了！酒店名字我们是看电子屏才知道滴！！！！', '短评打分': 3}
{'短评内容': '不是本人住', '短评打分': 5}
{'短评内容': '不是本人住', '短评打分': 5}
{'短评内容': '价格便宜，环境一般', '短评打分': 5}
{'短评内容': '还不错，就是早上外面的公鸡打鸣的早，有点吵，想多睡一下都不行', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '停车方便，房间设施齐全。卫生条件挺好的。徐州有名的毛家羊肉馆总店就在十字路口对面，不过要预定哦！而酒店右手也是马路对面的夜宵大排档也是很有特色的。因为酒店房间面对居民区，早晨会听到公鸡叫和狗叫。', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 3}
{'短评内容': '门面大，其他的都不怎么样，卫生差', '短评打分': 1}
