{'descr': '老大，陪了我一晚上，真舍不得你', 'star': 2}
{'descr': '房间很干净，卫生间有点小，房间对面是山峰，距离山庄走路10分钟吧，打车到小布达拉宫车费10元，酒店不隔音，但老板很热情。', 'star': 4}
{'descr': '老宾馆了，原来是机关的招待所。周围生活方便，去避暑山庄、外八庙都很方便。房间不大不过挺干净，双层玻璃窗，隔音不错。唯一的缺点就是没有电梯，老人上下楼不太方便。', 'star': 5}
{'descr': '感觉客房比较陈旧，卫生状况一般，卫生间有异味', 'star': 3}
{'descr': '从地理位置来看这个地方离避暑山庄时非常近的，打的起步价七块钱。有一个不大不小的院子可以停车。车位足够，可以放心地停。早餐一般化。住宿很安静。', 'star': 5}
{'descr': '厕所味道呛人，下水道反味，防臭作的不好。', 'star': 3}
{'descr': '厕所味太大，无法休息，无法洗澡。', 'star': 3}
{'descr': '离避暑山庄挺近的，17路车直接就可以到。有挺大的停车位，挺方便的。我们住的标准间，房间大小合适，晚上很安静。因为挨着山，所以空气非常好。下次去还会考虑住那里的', 'star': 5}
{'descr': '住宿条件非常一般，估计快装修了吧。服务态度还好，离山庄还算近，步行15分钟差不多。', 'star': 3}
{'descr': '酒店位置不错，院内可以免费停车，24小时热水，老板给的房间wifi信号也不错，到各景点都很方便。出酒店可步行去避暑山庄。出门走不远就有公交10路可达普乐寺安远庙棒槌山，出门过桥有公交6路可达普宁寺普佑寺，公交118路到小布达拉宫。虽是十一黄金周，价格也不贵。早餐五元一位。酒店门口17路公交坐两站到大润发超市。', 'star': 3}
{'descr': '，已经入住，还可以，安静干净。', 'star': 3}
{'descr': '酒店很干净，去山庄也很近，坐两站地就到。附近有个酒店饭菜做的很不错，价格也适中。', 'star': 5}
{'descr': '这个旅馆既安静又快捷.床也很舒服的。欢迎光临', 'star': 5}
{'descr': '距离避暑山庄不太远，开车很容易就找到了。宾馆内有停车场，自驾停车很方便。宾馆刚装修过，房间很干净，设施也还可以。缺点：一次性卫生用品质量一般，不过我们一般都自带。服务人员态度很好，有问必答。在这个季节，这个价位还算合理，性价比比较高吧。', 'star': 5}
{'descr': '承德一个旅游城市，住的都比较贵，人防宾馆150的特价房还是不错的。我住那屋比较好，我爸妈那屋是楼头儿，房间略小，但是对于只住一夜也没什么的。重要的是这家宾馆门前有停车场，很多在避暑山庄附近的大酒店更贵而且也没有停车场，这个对于自驾的朋友还是很有帮助的。而且位置距离山庄也比较近。', 'star': 5}
{'descr': '距离避暑山庄很近，环境很好，干净舒适。初次去的话建议打车，位置不是特别好找。', 'star': 5}
{'descr': '如果对装修的审美没什么要求，可以一住。\n虽然比较土气，还算干净。\n晚上很安静，窗外就是山。\n离山庄也不远，走路十分钟。', 'star': 5}
{'descr': '总体不错，性价比还行。就是门不隔音，有点吵啊。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '宾馆环境还不错，晚上较安静，比较事宜休闲度假。热水很好，很快就有热水，被褥干净。', 'star': 5}
{'descr': '还不错。老爹说很干净的。去景点也很方便。推荐下吧。', 'star': 5}
{'descr': '酒店位置不太好找，不过设施还都不错，理景区也不远，只不过承德的物价简直有些太离谱，给旅游者留下印象不怎么样', 'star': 5}
{'descr': '酒店离避暑山庄很近，走路几分钟就到，比较安全安静，是不错的选择', 'star': 3}
{'descr': '宾馆很好很干净，就是稍微有点偏，旅行社的人很多', 'star': 5}
{'descr': '酒店位置还算可以，不是出于喧哗的闹市区，本来承德就不大，是一个不错的选择', 'star': 5}
{'descr': '还好  很干净  也很干净   下次还会到这来                                                          ', 'star': 5}
{'descr': '交通便利，环境幽雅，距离景点近，干净整洁，服务态度好。', 'star': 5}
{'descr': '适合普通家庭选择，经济，干净，安静，设备新。', 'star': 5}
{'descr': '1.守信用。到店后，没有我们预定的标间，给安排了小套间（标间价）；\n2.位置好。离避暑山庄和外八庙很近。\n3.整洁。', 'star': 5}
{'descr': '不错，卫生挺干净的！环境也不错，态度也不错！主要是清静！', 'star': 5}
{'descr': '距离避暑山庄很近，交通也方便，宾馆还可以为客人介绍导游！服务挺热情的！', 'star': 5}
{'descr': '第一天入住还可以,第3天房间卫生都没打扫,感觉不爽', 'star': 1}
{'descr': '性价比比较高，有停车场所，离避暑山庄很近，很方便。', 'star': 5}
{'descr': '还不错挺干净', 'star': 3}
{'descr': '交通便利，离避暑山庄很近！前面有大酒店，但是其实就在身后，但是不挡光！而且非常干净！这家也很大，不是小旅馆！推荐给了周围人，下回还去这家！！！\r\n这里要交200元押金，但是退房的时候会退！门口有17路，车次还挺多，其实走着也不远！！', 'star': 5}
{'descr': '环境真的非常不错,就是在客人入住的情况下刷卡,居然进来房间了,当时我没穿衣服,那个汗!!!不过我是男的，什么也不怕，希望是个例', 'star': 5}
{'descr': '酒店很干净，离各景点也都很近，可以步行到避暑山庄，下次去还会选择这家', 'star': 3}
{'descr': '价格适中，房间干净,宾馆在山边上，空气清新，离繁华地段也不远。', 'star': 5}
{'descr': '\u3000地方还不错，就是电视有点小。', 'star': 3}
{'descr': '安静，卫生，光线好，可以给朋友推荐，以后还来住', 'star': 5}
