{'短评内容': '房间闷，没有窗户', '短评打分': 3}
{'短评内容': '房间没有窗户太闷…', '短评打分': 3}
{'短评内容': '还不错哦棒呢', '短评打分': 5}
{'短评内容': '没有问题', '短评打分': 5}
{'短评内容': '酒店很不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很划算', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '位置差点，其它没的说，好，很好', '短评打分': 4}
{'短评内容': '预订的是大床房，但给我的却是1.5米的床！ ', '短评打分': 1}
{'短评内容': '差评', '短评打分': 1}
{'短评内容': '房间装修老了', '短评打分': 4}
{'短评内容': '挺舒服的，大家可以去住住', '短评打分': 3}
{'短评内容': '舒服……………房子还不错，可以，不错', '短评打分': 3}
{'短评内容': '蛮好蛮好，有点小。。还行还行。。。', '短评打分': 3}
{'短评内容': '酒店外部环境比较安静，距离南大街很近，内部设施实在太旧了，床单都是破的，地摊感觉好脏，能装修一下最好了。', '短评打分': 4}
