{'descr': '地段可以。就是设施有点陈旧。遥控器很难按。空调很老旧', 'star': 5}
{'descr': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', 'star': 5}
{'descr': '订的是“有窗，大床房”，给了个很小的房间，门上面有个摇头窗，说“这就是窗子”；床是1.2米的；没有停车场。再也不会在这里住了！', 'star': 1}
{'descr': '适合情侣，至于为什么，大家去住了就知道啦', 'star': 4}
{'descr': '还好吧', 'star': 4}
{'descr': '不错 地理位置还行，周围交通比较便利然后就是吃的也蛮多的这点比较好。很方便。不知道照片去哪儿了总之还是不错的性价比比较高还便宜主要周围很方便前台太度爷还不错????去哪儿都很方便的', 'star': 5}
{'descr': '选这个酒店主要考虑办事交通方便，酒店内卫生干净整洁，就是没有窗户，其他对这个地段这个价钱算物美价廉啦！还有一点这个房间有时候烟味不知道怎么那么大，而且走廊里一股浴室味道。。。。。', 'star': 4}
{'descr': '性价比挺高的  房间小但是还好  卫生OK   就是房间里太多镜子  不太喜欢  洗漱用品1块钱另买  可接受～', 'star': 4}
{'descr': '单间虽小，但很好。', 'star': 5}
{'descr': '房间特别小，设施陈旧，有点脏，但是麻雀虽小，五脏俱全，什么都有！花多少钱就住什么样的房，太有年代感了，还行吧，不过交通特别方便', 'star': 3}
{'descr': '房间小的不行，服务态度一般，房间里都是灰尘，设施很陈旧', 'star': 2}
{'descr': '一般。', 'star': 3}
{'descr': '还是蛮整洁的。里面也过来住了不少学生，当然是准备到就近财大考试的。', 'star': 4}
{'descr': '服务太差了，连梳子牙刷都不给备，还说要买，最让人不能忍受的是，大早晨，阿姨直接进来了，我们正在那个，好尴尬啊。', 'star': 1}
{'descr': '一份价钱一分货', 'star': 4}
{'descr': '一楼的，木有窗户，房间就一床大小，也没说明是无窗，再也不会住了', 'star': 1}
{'descr': '！', 'star': 3}
{'descr': '酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  ', 'star': 5}
{'descr': '酒店服务不错，每天定时打扫，全天热水，网络不好上不去网，安全较差，贵重东西自己保管，隔音较差，能听到叫声。', 'star': 5}
{'descr': '可以啦，这个价位要求还是不用太高哈~不过房间确实很小。。。', 'star': 5}
{'descr': '很好啊，不过这次少了面镜子，嘿嘿。然后嘛，地方还是小了哒。可是这个价格已经很不错了！', 'star': 5}
{'descr': '其实之前看过其他人的评价，这个酒店确实不怎么样，除了还算干净外太小太拥挤，很多房间都没窗户，隔音效果也差，酒店服务人员缺少点专业的感觉，经常半夜还有喝醉酒的人想入住，在大堂吵吵闹闹的吓死人，缺点太多了，不过那个地方实在找不到酒店入住，没的选择，如果是单身女性的话最好还是别去了，其他的话凑合着住吧', 'star': 5}
{'descr': '性价比还不错 不过床真是。。。太硬了。。。腰疼', 'star': 5}
{'descr': '星墅99价格偏高，这个倒无所谓，但环境卫生过于差，还出现了老鼠这种超过正常人心理承受能力的东西出现，强烈的不推荐此家店。', 'star': 1}
{'descr': '这家酒店竟然***出现了***死老鼠！！！！ **还在我床上蹦来蹦去，**要报粗口了，这**还收了大爷200块！！！ 坚决抵制星墅99  没有比它更烂的酒店了  他们的口号就是：没有最烂，只有更烂！', 'star': 1}
{'descr': '很有情调，晚上真的有星星哦，到处都是镜子，大家懂得。。。！不过蚊子有点多！', 'star': 5}
{'descr': '感觉很不错，服务态度好，环境不错，下次来还住这里！', 'star': 5}
{'descr': '服务员的口头禅就是“你什么东西，滚！”柜台负责人的口头禅就是“服务员他不认识，马上就不干了，管不了！”经理啊，不在，没有联系方式。我4月17号晚上10点多的世纪惨痛经历，当我要求挪一下床以便插手机充电器，所遭受的就是这个待遇。惨痛惨痛！', 'star': 1}
{'descr': '订的139的床房，空间很拥挤，不知道99的是什么样的，进去时床头柜上竟然一个未用过的套套和一张用过的纸巾！当时就心凉了，房门的防盗锁还安装反了，根本起不到效果，睡觉时把椅子挡在了门口，幸亏只订了一晚！', 'star': 1}
{'descr': '去上财国定路那边考试，很近，从店里出来到考点转转再回去才20多分钟。房间都是粉红色的，感觉就是为情侣准备的，我住的139元没窗子，可能是冬天的关系，没觉得闷，房间不是很吵，总的来说还不错，毕竟大学附近可能相对要贵一些。', 'star': 5}
{'descr': '隔音效果不好，晚上很吵没睡好，昨天考试好困呢。', 'star': 1}
