{'短评内容': '出差旅行是不错的选择。', '短评打分': 5}
{'短评内容': '碰到的服务员都蛮不错的事情', '短评打分': 5}
{'短评内容': '热情，有停车场', '短评打分': 5}
{'短评内容': '前台接待员曾杨微笑服务。服务办理得很好快。这里离机场很近 交通方便', '短评打分': 5}
{'短评内容': '每次出差都会来这里住，离机场跟汉口火车站很近，交通方便，服务很好，房间很大布置合理，印象特别深刻的是李晴跟尹建新，还特意问了名字。加油', '短评打分': 5}
{'短评内容': '酒店很舒适，环境好，夜间暖心粥很暖心。前台的李晴和尹健鑫服务态度好，效率高，特别提出表扬。', '短评打分': 5}
{'短评内容': '前台曾杨服务态度好！', '短评打分': 5}
{'短评内容': '前台汪亚婷 尹建鑫服务态度很好很和蔼可亲 房间大', '短评打分': 5}
{'短评内容': '前台接待员尹建鑫。李晴在前台帮我办理入住的时候非常快。态度很好。', '短评打分': 5}
{'短评内容': '房间很大，还送饮料，服务不错。', '短评打分': 5}
{'短评内容': '很棒的一次住宿', '短评打分': 5}
{'短评内容': '出差都住这家酒店，环境好，方便&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '干净，舒适，很赞', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店设施设备都不错，一进门还有鞋刷，晚上送的矿泉水和薯片，就是位置稍微有点偏，不过这个价位不错了。', '短评打分': 5}
{'短评内容': '满意，方方面面都ok', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '地理位置距离机场和汉口站都很方便，房间宽敞。', '短评打分': 4}
{'短评内容': '环境不错，房间够大，服务态度也还可以', '短评打分': 5}
{'短评内容': '地理位置佳，出行较方便，环境不错，干净卫生，网络信号够用，设施很到位，服务尚可，价格正好，早餐也挺好的。服务生可以用滴滴帮你叫车。', '短评打分': 4}
{'短评内容': '不错的酒店', '短评打分': 4}
{'短评内容': '不错的酒店', '短评打分': 4}
{'短评内容': '酒店很新，去机场方便', '短评打分': 3}
{'短评内容': '酒店很不错，就是房间里刚装修，味道很大！', '短评打分': 3}
{'短评内容': '软/硬件配套还不错，服务也不错，值得推荐的一家酒店！', '短评打分': 5}
{'短评内容': '硬件可以。软件实在不行。跟上海不好比。西餐厅难吃。一大早又说煤气坏了。价格都会报错。中餐厅贵就不说了。连个儿童椅都没有居然还有脸收服务费。', '短评打分': 3}
{'短评内容': '算不错的酒店，尤其是位置，去机场真的非常方便，不过房间的布置总归有点不习惯。', '短评打分': 1}
{'短评内容': '新装修、房间大（衣帽间的单独隔开的，有点怪怪的）', '短评打分': 5}
{'短评内容': '这家酒店是新的，房间里还有气味，有点刺眼。', '短评打分': 5}
{'短评内容': '酒店很新很干净,价格也不算贵', '短评打分': 3}
