{'descr': '挺好的 交通方便 出差必住的地方 很满意 周围吃饭的地方也很多 商场也离的很近 环境也不错 干净简洁', 'star': 5}
{'descr': '酒店设施一般', 'star': 4}
{'descr': '非常满意', 'star': 5}
{'descr': '非常满意', 'star': 5}
{'descr': '非常满意', 'star': 5}
{'descr': '干净舒适便宜', 'star': 5}
{'descr': '酒店还不错，不错，不错，不错', 'star': 5}
{'descr': '挺方便的。第一次在京东上订房间', 'star': 5}
{'descr': '中国制造，物美价廉。京东放心。', 'star': 5}
{'descr': '质量不错，送货很快，价格还行吧', 'star': 5}
{'descr': '质量不错，送货很快，价格还行吧', 'star': 5}
{'descr': '评价应该是给汉庭的，还可以吧，北京就这样价格高、环境一般。但是发票太麻烦（尽管预定简单）', 'star': 5}
{'descr': '评价应该是给汉庭的，还可以吧，北京就这样价格高、环境一般。但是发票太麻烦（尽管预定简单）', 'star': 5}
{'descr': '很一般很一般很一般很一般', 'star': 5}
{'descr': '服务态度很好  房间很舒适', 'star': 5}
{'descr': 'Clean. Comfortable. Good location. 3 mins walk by subway. Recommendable. ', 'star': 4}
{'descr': '实惠方便安全', 'star': 4}
{'descr': '安全方便实惠', 'star': 4}
{'descr': '安全方便实惠', 'star': 4}
{'descr': '网上订的房间总得补差价，前台说给换在楼上的房间，网上订总是被各总的忽悠。', 'star': 4}
{'descr': '正常快捷酒店，200多对得起这个价格了～大北京居不易', 'star': 3}
{'descr': '位置比较好找，就在三环边上，还算方便', 'star': 5}
{'descr': '本想酒店开发票结果拍错了，携程给开的发票悲剧了', 'star': 5}
{'descr': '很好，干净，方便～', 'star': 5}
{'descr': '紧邻地铁双井站，交通方便，环境整洁卫生，服务态度优秀。期待下次入住', 'star': 5}
{'descr': 'It is a nice a clean hotel. The service is better than other hotel. independent air condition. Chinese style breakfast and good price. ', 'star': 5}
{'descr': '位置很好找 门口有停车场。可能因为地理位置好所以订房比较难。', 'star': 5}
{'descr': '出门可以坐3站到首都图书馆。附近只有如家等酒店，有一家烧饼店似乎很受欢迎，还有KFC。要买水果要到东 南三环对面，而且很少选择。房间光线太暗，看书太累眼睛。电视35个频道，有10个北京台，15个中央台，其他是卫视。水流很大。网速不错。百元特价房服务没有打折扣。绝对超值，因此给人印象很好。', 'star': 5}
{'descr': '这次介绍的这家酒店位置和环境不错，服务也还可以，会继续来这家酒店入住，', 'star': 5}
{'descr': '非常好 地理位置好 房间不错 客服热情 推荐！', 'star': 5}
{'descr': '位置很好,服务也不错,不过就是不像其他汉庭店铺那么干净.房间倒是很大很豁亮.', 'star': 5}
{'descr': '现在有特价当然非常好，虽然离工作地点有些远', 'star': 5}
{'descr': '之前亲戚朋友来的比较多，家里住不下都在汉庭或如家住。离家近，这次汉庭做的新春活动更是给力，100呦。公公说比顺义都便宜呢~', 'star': 5}
{'descr': '环境很好，服务很好，交通方便，就是稍微有点不好找', 'star': 5}
{'descr': '交通方便 购物方便 餐饮方便 酒店服务人员的态度特别的好 而且房间内暖和', 'star': 5}
{'descr': '本来定的是大床房，结果去了给安排的双床，觉得不舒服，其他还算满意', 'star': 1}
{'descr': '很实惠，服务的态度也很好，酒店的安全措施做的也不错。', 'star': 5}
{'descr': '很暖和，干净，舒适，水很大，非常好。百元春节房，超值。', 'star': 5}
{'descr': ' 退房的时候服务太好了。给人的感觉是赶紧滚蛋的意思。有发展', 'star': 3}
{'descr': '房间很棒，热水真的很不错，就是预授权方面没搞清楚。', 'star': 3}
{'descr': '春节百元大床房感觉很给力！', 'star': 3}
{'descr': '交通便捷，性价比非常高，房间很新，网速也好，服务热情~', 'star': 5}
{'descr': '房间洁净，服务周到，很满意。', 'star': 3}
{'descr': '不错，交通方便，房间也好，设施不错，服务人员也很热情。', 'star': 5}
{'descr': '环境优雅、舒适、安全，交通便利，真的值得推荐。', 'star': 5}
{'descr': '环境优雅、舒适、安全，交通便利，真的值得推荐。', 'star': 5}
{'descr': '大床房也很小，装修倒是一贯的风格，但是好在交通很便利', 'star': 5}
{'descr': '大床房也很小，装修倒是一贯的风格，但是好在交通很便利', 'star': 5}
{'descr': '很不错，位置不错，服务也不错！很干净！！！', 'star': 5}
{'descr': '很不错，位置不错，服务也不错！很干净！！！', 'star': 5}
{'descr': '还不错，服务挺好，就是电梯里弄个“高科技的卡”不方便！！', 'star': 5}
{'descr': '还不错，服务挺好，就是电梯里弄个“高科技的卡”不方便！！', 'star': 5}
{'descr': '干净，新，有吹风机。。\n房间比较小，简单整洁，还行~', 'star': 5}
{'descr': '干净，新，有吹风机。。\n房间比较小，简单整洁，还行~', 'star': 5}
{'descr': '很不错,门口有公交站,离地铁也不远.交通方便.房间干净舒服', 'star': 5}
{'descr': '很不错,门口有公交站,离地铁也不远.交通方便.房间干净舒服', 'star': 5}
