{'短评内容': '还行吧 交钱方式诡异', '短评打分': 3}
{'短评内容': '设施老旧，', '短评打分': 3}
{'短评内容': '酒店卫生有点差，房间也很闷人。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '还可以！！', '短评打分': 5}
{'短评内容': '还可以 不错', '短评打分': 4}
{'短评内容': '屋子里没信号，无线不好使，屋子还特别次！', '短评打分': 5}
{'短评内容': '挺满意的，服务态度很好，价格没有因为公务员考试而涨价，开始订其他家，都临时调价格，不接低订单，下次还会光顾。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还不错，算得上干净吧，附近挺热闹', '短评打分': 3}
{'短评内容': '很好地。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '酒店环境不错，价位合理', '短评打分': 3}
{'短评内容': '还行吧，总体四分！！！！！！', '短评打分': 3}
{'短评内容': '服务很好…性价比不错', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境挺好，总体很不错的酒店，满意........', '短评打分': 5}
