{'短评内容': '酒店除了位置难找些，其他还好，在江边的步行街里，楼下有酒吧、烧烤、大排档，吃东西都很方便，还有ktv。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '地理位置便捷', '短评打分': 4}
{'短评内容': '装修期间，看已后怎样', '短评打分': 2}
{'短评内容': '很好', '短评打分': 1}
{'短评内容': '干净卫生很舒适。', '短评打分': 5}
{'短评内容': '很好?????', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '无窗，隔音不好。', '短评打分': 4}
{'短评内容': 'This hotel is located along the promenade facing a river. It use to be part of the Super 8 Hotel franchise but now it has a Chinese name. Its called Haowen Hotel now. They do provide a carb heavy brea', '短评打分': 5}
{'短评内容': '下次不会再来的', '短评打分': 3}
{'短评内容': '酒店环境还可以，但是房间里的墙纸有掉落感觉比较脏。望修复。', '短评打分': 5}
{'短评内容': '环境清静，出行方便，周边配套完善', '短评打分': 5}
{'短评内容': '不咋地，没啥服务', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '定的时候是速8，怎么住完变浩文了，搞不懂', '短评打分': 3}
{'短评内容': '环境很好。。服务很好。，免费早餐有点难吃。。 总之很好～', '短评打分': 5}
{'短评内容': '酒店还可以，房间比较干净，有WIFI,价钱能再优惠点就好了。', '短评打分': 5}
{'短评内容': '装修不错，但细节上还有很多进步空间。房间灯光比较昏暗，想在床头阅读恐怕不行。热水不热，虽然是夏天，但24小时热水是对酒店的最基本的要求吧。到早上水温更加低了。洗发水沐浴露就那么小小的一点，两个人怎么够用啊？房间隔音差。半夜2点多隔壁房间的女士还在唠叨家常，郁闷啊！可能是假期的原因，半夜房间外面还人来人往，嬉笑打骂。服务员也同样不注意降低音量。所以建议还是不要选靠近电梯的房间。早餐比较精致，可能女士', '短评打分': 5}
{'短评内容': '挺好的！！第二次入住', '短评打分': 3}
{'短评内容': '酒店位置环境很不错，很安静，推荐！~~~', '短评打分': 5}
{'短评内容': '环境不错，比较卫生，就是早餐要到下面去，不知是否可以送餐', '短评打分': 5}
{'短评内容': '酒店很新，设施卫生很好，住得很舒服！不过不足的地方是加被或加枕头要加收费用的！希望可改进！', '短评打分': 3}
{'短评内容': '地点好，环境靓，设施新，服务正，休闲渡假值得推荐！\n', '短评打分': 5}
{'短评内容': '环境好，清静，周边配套设施齐全。浴室干净卫生。可望江景！', '短评打分': 5}
{'短评内容': '台山速八，服务员都几好！！！够干净！！如果价钱平D就仲好！！！', '短评打分': 3}
{'短评内容': '周边环境可以，配套齐全，还有金逸电影城，KTV，是一个不错的休息地方。', '短评打分': 5}
{'短评内容': '环境很好！就在江边！服务态度不错！早餐一般！综合来说不错！', '短评打分': 5}
{'短评内容': '价格合理，环境不错~早餐差了点\n······························', '短评打分': 5}
{'短评内容': '还是很不错的，住得挺舒服，下次有机会还是会来的。', '短评打分': 5}
{'短评内容': '酒店很好！很新！但早餐很差！早餐服务员很差！', '短评打分': 3}
{'短评内容': '酒店很干净，连着住了几天，服务态度很不错~~很舒服~', '短评打分': 5}
{'短评内容': '挺不错的~~~属于微笑服务~~房间也还挺干净~~', '短评打分': 5}
