{'短评内容': '位置方便，服务好，卫生干净。', '短评打分': 5}
{'短评内容': '服务态度好', '短评打分': 5}
{'短评内容': '整体还不错', '短评打分': 5}
{'短评内容': '满意，但愿不会涨价', '短评打分': 5}
{'短评内容': '门脸有些low但是这个价位太意外了，性价比真是超高！干净卫生装修也很新，无窗稍微有些装修味道加价换有窗的，细节小东西配的也很不错', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '#ud83d#ude00', '短评打分': 4}
{'短评内容': '不太干净', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '尚未供暖，有些冷。早起冻醒了，其他还好，毕竟价钱在那。住过n次了，隔音效果差些。无线网很不错的，屋内满格。', '短评打分': 5}
{'短评内容': '周边真的很方便，但是！我真的很不开心因为有蟑螂，还不少！！真是有点受不了，但是价钱摆在这，也就这样吧', '短评打分': 4}
{'短评内容': '价格很便宜，但卫生不太好。卫生间的马桶都是坏的', '短评打分': 3}
{'短评内容': '价格挺高', '短评打分': 4}
{'短评内容': '一般，地段好', '短评打分': 3}
{'短评内容': '酒店整体感觉就是干净和宽敞。房间特别大和宽敞，尤其是大床房的床两个人睡特别开，冬天地上还铺了地毯，必须赞一个。其他设施等都很齐全。体验还是很不错的。值得说一下大床是两张拼起来的，中间会有一道缝，睡觉能感觉到，这个还是挺烦的。', '短评打分': 5}
{'短评内容': '价格低廉，位置方便。房间装修一般，建议选有外窗的房间，推荐！', '短评打分': 5}
{'短评内容': '很好~附近吃东西也很方便也很便宜~性价比很高！很好找！', '短评打分': 5}
{'短评内容': '价格较低，但是一分钱一分货吧，房间不是很好', '短评打分': 5}
{'短评内容': '服务态度很好，条件还可以，基本设施齐全，地理位置较好，物有所值。', '短评打分': 5}
{'短评内容': '真的不怎么样...大床是拼起来的...中间很硬...躺着不舒服...没有窗户..没有空调...更可气的是一次性牙刷里 居然没有牙膏...屋内简陋..表示不会再去了', '短评打分': 1}
{'短评内容': '环节非常好，主要就安静，不过有个缺点：灯光是暖色调的 不亮，我主要去交大考研 中间住在这 学习时光线太暗了', '短评打分': 5}
{'短评内容': '光线很暗啊', '短评打分': 3}
{'短评内容': '交通便利.服务态度好.卫生条件好.价格合理', '短评打分': 5}
{'短评内容': '酒店里面装修还行，就是门口环境不是太好，不过就这个价钱来说还是可以的', '短评打分': 3}
{'短评内容': '1. 脏。进房间很大股烟味。厕所很脏，很简陋\n2. 热水居然是家用电热水器在烧，而且平时是关着的，需要客人手动打开开关。。。放了半天没热水，找来服务员打开热水器，等了一个小时才洗上热水澡。本来就很晚才到店，洗完澡就更晚了。\n3. 吵。早上四五点钟过道就有人大声喧哗，也不知是房客还是服务员。房间非常不隔音。\n', '短评打分': 1}
{'短评内容': '干净，东西基本齐，有拖鞋，就没有茶包，隔音不好', '短评打分': 3}
{'短评内容': '酒店环境还可以，就是换牙膏牙刷之类的不及时。', '短评打分': 5}
{'短评内容': '卫生比较差，床一点也不舒服，床垫的弹簧很突兀，服务相当一般', '短评打分': 1}
{'短评内容': '离北京北站很近，很方便。环境也还可以，与价格很相称。', '短评打分': 5}
{'短评内容': '挺好，服务还行。本来只想住一晚，结果住3晚，，不错哦···············································', '短评打分': 5}
{'短评内容': '还行。梃好找。', '短评打分': 3}
{'短评内容': '不好。很差啊!', '短评打分': 3}
{'短评内容': ' so so ', '短评打分': 3}
{'短评内容': '条件简陋，大早起来还有装修的声音，送来的晚餐不但巨咸，而且还有股味。', '短评打分': 1}
{'短评内容': '感觉不太好……最开始居然给我开了一个天花板漏水的房间，然后换了一间', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '还行吧，就是不是特别干净，房间大小不太一样，幸运的话可以特价住到比较大的房间。', '短评打分': 5}
{'短评内容': '这个价位枕头赃、不提供一次性拖鞋就无可厚非，但是个人认为酒店有误导消费者的地方：1、酒店所说的与动物园隔街相望真是有点太过牵强，如果硬要这么理解，站在搞建筑物上可以跟天安门也隔街相望喽；2、酒店在页面上介绍退房时间为14时，但是当我从外面回来，发现房卡打不开房门，服务员咨询后说前台要我续费，跑到楼下前台得知我当日退房后很不乐意地说12时就得退房，在我质问后又说最多只能延到13时，我问为什么与网上信', '短评打分': 1}
{'短评内容': '一般化，便宜，交通还算方便。。。。。。。', '短评打分': 5}
{'短评内容': '服务好,环境一般,居然没热水.', '短评打分': 3}
{'短评内容': '酒店位置还可以，价格不错，服务态度也可以，就是房间的电脑貌似经常出问题。', '短评打分': 5}
{'短评内容': '为什么没介绍旁边的如家？', '短评打分': 3}
{'短评内容': '工作人员服务态度很好 也很卫生 很满意', '短评打分': 3}
{'短评内容': '酒店一般 ', '短评打分': 3}
{'短评内容': '卫生间超大，隔音效果差，卫生还算可以。离交大很近', '短评打分': 5}
{'短评内容': '优点冷，优点破。\n商务间噪音可以说极大，夜夜开汽车。\n不过好像床还是蛮干净的。', '短评打分': 1}
{'短评内容': '环境挺好！服务也很好~~下次还希望入住在哪里~~走路就可以到北京北站。', '短评打分': 5}
{'短评内容': '感觉环境不错,继续保持,所在位子好!!!', '短评打分': 5}
{'短评内容': '感觉非常不错！各方面都很好！希望继续保持！', '短评打分': 5}
{'短评内容': '住房条件挺好的，就是有点热啊！总体来说挺值的。', '短评打分': 3}
{'短评内容': '太破旧了，也就是北京。服了', '短评打分': 3}
{'短评内容': '环境嘈杂,静电多,隔音太差.服务员素质很高 拾金不昧', '短评打分': 1}
{'短评内容': '地理位置很好,但是服务不好,卫生太差,房间隔音效果不好...', '短评打分': 1}
