{'短评内容': '东西很好，送货很快，必须满意，好评满分', '短评打分': 5}
{'短评内容': '软件需提升，硬件还行', '短评打分': 4}
{'短评内容': '可以……环境不错', '短评打分': 5}
{'短评内容': '舒服 还不错', '短评打分': 5}
{'短评内容': '还不错！购物吃饭方便！', '短评打分': 5}
{'短评内容': '除了设施有点陈旧，其他的都好', '短评打分': 5}
{'短评内容': '酒店的地理位置很好，酒店的服务也非常不错，早餐也可以，房间的空调的声音很大，酒店的服务是非常热情的，每次来唐山都住在这里', '短评打分': 5}
{'短评内容': '住的挺好的，早餐还凑合吧', '短评打分': 5}
{'短评内容': '还是五星级酒店的管理值得表扬。', '短评打分': 5}
{'短评内容': '服务很好，房间很好，自助一般', '短评打分': 5}
{'短评内容': '酒店环境很不错，服务态度好。特别是额外赠送了开滦国家公园的门票，正好要去，省了不少钱，很棒！', '短评打分': 5}
{'短评内容': '不错，房间里设施不错，推荐', '短评打分': 5}
{'短评内容': '我可以负责任的说，唐山万达洲际是唐山最划算，性价比最高的酒店！', '短评打分': 5}
{'短评内容': '订不到房，但此后很多天这个房型还挂在京东，还能付款！Why？', '短评打分': 5}
{'短评内容': '一如既往的好，每次来唐山都住这里！强烈推荐！', '短评打分': 5}
{'短评内容': '唐山算最好的酒店！11分...', '短评打分': 5}
{'短评内容': '还不错 就是浴缸的开关有点晃悠', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好下次去唐山还往这', '短评打分': 5}
{'短评内容': '房间设施不错 就是不能开窗 灯光太暗', '短评打分': 5}
{'短评内容': '这次商务出差，整体很满意。就是房间不够暖和。总体而言是一次不错的体验', '短评打分': 5}
{'短评内容': '前台服务比较差，其他还好。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '住过五星酒店里性价比比较高的', '短评打分': 5}
{'短评内容': '很满意、下次还会光顾', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '服务周到，房间干净，就是早餐种类偏少', '短评打分': 5}
{'短评内容': '唐山五星首选，安静舒适，毗邻万达广场，总体性价比挺高', '短评打分': 5}
{'短评内容': '酒店服务5星，早餐也很不错，订的标准间，地理位置优越，步行可到商业中心，星巴克，必胜客，吃饭，购物周全，值得推荐!', '短评打分': 5}
{'短评内容': '比其他洲际标准要低，房间尺度一般，走廊感觉比较低档。', '短评打分': 5}
{'短评内容': '酒店很棒，性价比很高，推荐！', '短评打分': 3}
{'短评内容': '房间很宽敞明亮,地理位置也好,下次还会再住', '短评打分': 3}
{'短评内容': '非常棒！', '短评打分': 3}
{'短评内容': '不错，，，，，，，，，，，环境不错，，，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
