{'短评内容': '位置交通方便住的很舒服', '短评打分': 5}
{'短评内容': '比之前路尚好一些，但是设施也没完全更新，停车场有点小。', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '环境不错哦', '短评打分': 4}
{'短评内容': '非常的一般', '短评打分': 4}
{'短评内容': '环境不错，价格公道合理', '短评打分': 5}
{'短评内容': '每次都是入住这家', '短评打分': 5}
{'短评内容': '每次都是入住这家 但是毛巾该换了', '短评打分': 5}
{'短评内容': '还可以！', '短评打分': 5}
{'短评内容': '还可以吧！卫生不错！', '短评打分': 5}
{'短评内容': '办事方便，还能停车', '短评打分': 3}
{'短评内容': '还行吧，这价钱也就这样了', '短评打分': 3}
{'短评内容': '酒店不错，离客户距离很近，早餐品类太少，面食为主。', '短评打分': 3}
{'短评内容': '小城市的连锁酒店，服务和设施等没有锦江之星正规，价格不高，将就住吧！', '短评打分': 3}
{'短评内容': '还好吧，这个价位，性价比还是很高的', '短评打分': 3}
{'短评内容': '总体来讲还是不错的，就是电视太小了，真的好小...房间挺大的，环境也不错。', '短评打分': 5}
{'短评内容': '住宿环境一般，早餐不错，价格便宜，适合入住。', '短评打分': 5}
{'短评内容': '＋酒店周边环境还算可以，安静。前台服务态度也不错，房间准备工作也很到位。商务标间，空间不小，挺有情调，设施和用品挺全面！早餐也', '短评打分': 3}
{'短评内容': '地方很干净，住着舒服，服务也挺好，就是没有中晚餐', '短评打分': 5}
{'短评内容': '还不错，出门什么的挺方便的。距离飞龙汽车站很近！', '短评打分': 5}
{'短评内容': '这家酒店不算太大，但是很干净、服务很好，这个价位的酒店这么好的服务，我在高等级宾馆里也难以碰到。交通也很方便，几分钟到信达和飞龙长途车站。下次来濮阳还会住这里。', '短评打分': 5}
{'短评内容': '总体来说不错，服务态度，房间设施都还行，就是周边环境差了点！', '短评打分': 5}
{'短评内容': '早餐比较好 房间还算干净.................', '短评打分': 5}
{'短评内容': '房间装修可以，室内物品也比较高档，缺陷有：中央空调有水流的响声，晚上不安静；写字台下面有横搁板，老磕腿；早餐一般。', '短评打分': 3}
{'短评内容': '卫生好，装修也不错，比较新，离汽车站很近，很方便', '短评打分': 5}
{'短评内容': '价格经济，服务到位，环境干净。可以推荐入住的酒店。', '短评打分': 5}
{'短评内容': '这家经济型酒店还不错了，会考虑再次入住。', '短评打分': 5}
{'短评内容': '性价比很好的一家酒店，环境舒适干净。', '短评打分': 5}
{'短评内容': '卫生很好，酒店比较新嘛。看上去都是干干净净的。', '短评打分': 5}
{'短评内容': '酒店设施配置比较新，环境还不错的酒店。', '短评打分': 5}
{'短评内容': '我比较喜欢入住比较新的酒店，虽然有时候设施会稍显不完善，但是新酒店会很干净。', '短评打分': 5}
{'短评内容': '酒店的服务还不错，态度友善服务周到。', '短评打分': 5}
{'短评内容': '在网上预定的酒店，整体来讲算是比较不错的，比较满意。', '短评打分': 5}
{'短评内容': '新开业的酒店，设施很新，就是装修的味道太重了，房间很干净，服务也不错。下次还会住。', '短评打分': 5}
{'短评内容': '新开业的酒店，设施很新，就是装修的味道太重了，房间很干净，服务也不错。下次还会住。', '短评打分': 5}
{'短评内容': '酒店很新，前二晚晚上没有开中央空调，说是设备正在调试！酒店很新，服务也不错，晚上有水果送挺贴切的', '短评打分': 5}
{'短评内容': '新开的酒店，位置还可以，服务挺好，房间配置也不错，只是新装修好的味道还是比较重，晚上还送水果，市话长途全免，性格比还算可以，早餐没用，不知道好不好，下次可以考虑再次入住。', '短评打分': 5}
