{'短评内容': '隔音效果简直差到极点！晚上不知道洗漱间墙后面是什么一直在响，就睡不着，到了五点过好不容易睡着一会儿过道就开始有人说话，一会儿是小孩的声音，一会儿大人说话的声音，要把人给弄疯，九点过好不容易清净一会儿，客房服务的服务员又在一间一间的打扫卫生，弄的声音非常大，一晚上根本没法睡！', '短评打分': 1}
{'短评内容': '酒店很干净', '短评打分': 5}
{'短评内容': '酒店非常干净，适合闪住', '短评打分': 5}
{'短评内容': '位置比较好，有停车场。', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '房间舒适 服务热情', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '酒店的旅行团比较多 早餐对于背包客来说还是可以了 ', '短评打分': 4}
{'短评内容': '晚上喝了酒 不能回家 临时在家附近随便找了酒店 房价到便宜 130左右 想的是凑合住一晚 但到了房间 一打开门 一股下水道的味道扑面而来 没有水喝 房间窗户在过道 空气很闷 住在这里感觉像一个招待所 早上六点钟就有人在过道很大声音摆龙门阵 不时有过到对面的 开关门 基本没有休息好 下次不会再来这个酒店了', '短评打分': 3}
{'短评内容': '就在二环边上，下火车，上天桥坐K2，几站路下了桥稍微一走就到了，没有窗户有点闷，有空调，可以调健康模式，房子有点小，墙有点薄，半夜有骚扰，可以拔了电话线，床上弹簧很明显，多要了一床褥子感觉好多了，总体不错，最近太累，一起来都睡到10点多了，睡眠不错', '短评打分': 5}
{'短评内容': '房间空间太小了，设施差，唯一的优点,位置好，在二环边缘，公交站台比较近。   ', '短评打分': 2}
{'短评内容': '还是不错   只是隔音不行   早上太吵', '短评打分': 4}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '很好，很舒服！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '还可以。尤其是每间房间都有电脑提供免费使用。', '短评打分': 5}
{'短评内容': '我订的二百多的豪标，但是给我的感觉值不到这个价。去年到成都还是住在春熙路附近才一百七、八，感觉都比这个好', '短评打分': 1}
{'短评内容': '环境不错，特价房有点小，行政套房較满意', '短评打分': 3}
{'短评内容': '就是一个普通的酒店，和星级无关。服务比较热情，但明显缺乏专业训练。', '短评打分': 1}
