{'短评内容': '。', '短评打分': 5}
{'短评内容': '好好好好好好好好好', '短评打分': 5}
{'短评内容': '总体还行吧  就是家有点小', '短评打分': 4}
{'短评内容': '不错，挺好的，不错，挺好的', '短评打分': 5}
{'短评内容': '信息不实，离五四广场很远', '短评打分': 5}
{'短评内容': '挺干净的，房间大小也正好，设施都挺干净。不错，服务态度也好，', '短评打分': 5}
{'短评内容': '什么都不想说  什么都不想说  下次不会再去', '短评打分': 5}
{'短评内容': '房间设施老旧，空调辅热时而吹热风、时而吹冷风，一晚上没睡还好。卫生间有异味，排水孔反味严重。墙皮发霉，拖鞋不是一次性的，杯子全部是纸杯。入住体验差，不值得推荐。唯一不错的地方，就是宾馆出门就有公交站牌，交通还是很方便的。', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '位置不错，离海边2公里左右', '短评打分': 4}
{'短评内容': '交通方便，停車不方便。', '短评打分': 4}
{'短评内容': '房间小，水壶很脏，没敢用，最重要的是到店被告知电梯不能用，住四楼，我们提着行李箱爬上去！感觉不太好…', '短评打分': 4}
{'短评内容': '酒店选址非常棒。在最繁华的香港中路。离五四广场等很近，性价比算比价高了。', '短评打分': 5}
{'短评内容': '挺好的，推荐', '短评打分': 5}
{'短评内容': '携程的预定服务很好，但这家店的服务比较差，服务员素质低，房间里有味道，无线信号也不好，头一次碰上这种七天的店！', '短评打分': 2}
{'短评内容': '交通方便，房间卫生 店家热情 推荐大家入住', '短评打分': 3}
{'短评内容': '酒店一般，但携程的预定服务很好！', '短评打分': 5}
