{'短评内容': '硬件条件有所升级，性价比高，很好！', '短评打分': 5}
{'短评内容': '很好，很好，很好，很好', '短评打分': 5}
{'短评内容': '确认很快，价格也非常合适，希望以后还有优惠', '短评打分': 5}
{'短评内容': '硬件环境还可以,比较适合家庭聚会,自带烤炉的话，院子里可以烧烤,附设餐厅典型的农家菜,味道还不错.', '短评打分': 5}
{'短评内容': '自从开业，每年至少都来一次。挺不错的。', '短评打分': 5}
{'短评内容': '住的vip小院 总的来说 设备挺齐全的 虽说有些陈旧 不过还算干净。温泉很不错 水很热 泡起来很舒服 不限时不限量。比较好的点是 会送两桶水 可以叫周边外卖 门口可以停车 床睡起来很舒服 。不太好的点是 屋里的味道不是很好闻 像是从下水道里反出来的 需要改进。如果有机会 下次还会再来的 非常适合情侣约会哦。', '短评打分': 4}
{'短评内容': '不是周末来泡温泉，周末的房实在不好订。欧式房间干净整洁，大床温馨。冬天泡泡温泉浑身感觉轻松好多。服务也不错，晚上放水一直不热给前台打电话马上就过来维修人员。准备这个冬天常来常往', '短评打分': 5}
{'短评内容': '挺不错的，以后还会去', '短评打分': 5}
{'短评内容': '北京格林兄弟假日酒店 庭院标准间', '短评打分': 5}
{'短评内容': '服务很好，就是晚上8-10点好像后面在施工声音很大', '短评打分': 5}
{'短评内容': '屋子里很干净，但地热不给力。无限放水真的很好。', '短评打分': 5}
{'短评内容': '真的很好', '短评打分': 5}
{'短评内容': '好久没来了！布置还是老样子，非常满意！', '短评打分': 5}
{'短评内容': '不错，私汤很棒', '短评打分': 5}
{'短评内容': '房间舒适', '短评打分': 5}
{'短评内容': '酒店装修不久 房间不错 夜里房间太热了 大冬天的不得不开窗了 小院内汤池比同院的几家大 热水冲的确是温泉水 餐饮没有体验 值得一提的是 服务比较及时 给工程维修师傅点赞', '短评打分': 4}
{'短评内容': '房间很新，基本设施齐全，床很舒服，温泉泡池很好。温泉水很舒服。', '短评打分': 5}
{'短评内容': '来过不少次了，周边都是温泉主题的，这里感觉还是很不错的，小院水池泡起来感觉很好，遇上好天气是很舒服的，室内、床具都还不错', '短评打分': 5}
{'短评内容': '位置在小汤山,导航很容易到达. 订的欧式小院, 房间比较普通,还算干净,但里面有几只苍蝇在飞. 温泉水不错.泡池是透明屋顶,紧邻蔬菜大棚. 感觉不错.有机会还会再来..', '短评打分': 3}
{'短评内容': '设施不错，温泉水很热，一股子硫磺味道。晚上睡觉地暖有点太热了，盖不住被子。wifi给好评，速度杠杠滴。', '短评打分': 5}
{'短评内容': '泡池水不限量，周边没啥吃的，没啥玩的，酒店也不提供免费水。', '短评打分': 3}
{'短评内容': '住过两次了，温泉非常好，安静且私密性好。餐厅的菜品丰富味道佳。', '短评打分': 5}
{'短评内容': '比较好找按着导航走 车可以开到房间门口 水很热 地暖也很热 床有点软嘿嘿  退房也比较快', '短评打分': 5}
{'短评内容': '都还不错，去的那一天挺冷的，一进去感觉特别温暖。我们定的VIP房，不过温泉池里灯坏了一个就没有那么好看了所以也没照，第二天退房时提醒了一下服务员说那个灯坏了一下跟您说一声。结果那的员工回答说基本每个房间都只亮一个了。到不妨碍什么就是不修感觉不太好吧。。总体还是很不错的。满分', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '优点：水很好且不限量，环境安静，绿植多，空气明显比市区好。缺点：房间隔音不太好；这个季节杨絮满天飞，泡池里也落很多，无法清理；周边玩儿的地方不多。不过总体挺好的，以后还准备去！', '短评打分': 5}
{'短评内容': '非常适合休养的地方！温泉水很好、很方便！值得一去哦！', '短评打分': 5}
{'短评内容': '一直在京东购买，很给力', '短评打分': 5}
{'短评内容': '优点：1、室内温泉，预定的中式，比较安静，院子不大，但是露天感觉很好，私密性强。每个房间单独温泉，很舒服，独立车位；\r\n2、温泉水不错，滑腻，混浊\r\n3、服务不错，前台接待的美女很有亲和力。\r\n缺点：1、床是两张小单人床拼起来的，不舒服\r\n2、中式的家具味太大，叮嘱小孩千万别开抽屉，昼夜开窗通风。', '短评打分': 4}
{'短评内容': '不错。。就是泡澡池在干净点就好。还有那里的水有股那种味道。不过还行吧。。下次一定还去', '短评打分': 5}
{'短评内容': '酒店环境不错，硬件设施较春晖园略低，但性价比极高，\n只是床有些问题，是两张床拼接起来的大床，中间有缝隙不是很舒服应尽快改进！！！！', '短评打分': 5}
{'短评内容': '室内环境还不错，就是离吃饭的地方有点远，性价比稍微低了点。有机会可能还会再去', '短评打分': 5}
{'短评内容': '很干净，水确实是温泉水，黄黄的，一股硫磺味', '短评打分': 5}
{'短评内容': '欧式温泉小院别致，温馨，私密泡汤令那些有身价，太腼腆，不想再大庭广众之下泡温泉的朋友们放弃了紧张，是个值得你常去的地方，酒店服务员素质也很好，是个周末度假的好地方，建议有车族去那里郊游很理想，门前有一个属于你自己的车位，很方便。', '短评打分': 5}
{'短评内容': '酒店很不错，安静、干净！空气好！！\n就是吃饭不方便。', '短评打分': 5}
{'短评内容': '住的是欧式小院，住宿的条件还不错，温泉的水很热，酒店整体服务也不错，值得推荐！', '短评打分': 5}
{'短评内容': '很安静的酒店，很新的，在小汤山农业科技园内，有点世外桃源的感觉，很好呦', '短评打分': 5}
