{'短评内容': '环境超级好，下次一定介绍给朋友。', '短评打分': 5}
{'短评内容': '房间层数，朝向好。设施齐全。房东服务态度很好。床铺好被褥干净舒适。如果能让房主增加微波炉，对于我这样住近月的游客就更好了。', '短评打分': 5}
{'短评内容': '去年来过 今年再次选择 非常正确 面向大海 一览无遗 设施有些老旧 还可以 关键能开火 自己煮海鲜 比酒店方便', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '很不错，离海也很近，老板娘很热心的帮忙协调，还推荐了景点什么的，不错不错', '短评打分': 5}
{'短评内容': '总体而言还是不错的，已经是第二次入住了。地理位置适中,公交走路都很方便。硬件设施不错,还是比较新的。', '短评打分': 5}
{'短评内容': '下次我还会在这里住！不论是卫生还是服务，真的特别温馨。交通也很方便。', '短评打分': 5}
{'短评内容': '性价比很高的一家酒店，地段好，停车方便！离周边的景区非常近，推荐大家可以来入住！', '短评打分': 5}
{'短评内容': '挺好，服务也不错，环境干净卫生，总体不错！', '短评打分': 5}
{'短评内容': '挺好，服务也不错，环境干净卫生，总体不错！', '短评打分': 5}
{'短评内容': '家庭出游强烈推荐，非常适合，蓝海三期的小区环境好，停车方便又便宜，位置极佳，下楼过条马路就是三亚湾的沙滩，楼下10块一位的早餐自助深的老人家的心，以后再来三亚还会住！', '短评打分': 5}
