{'短评内容': '订单被取消， 浪费我时间', '短评打分': 2}
{'短评内容': '非常不错非常不错非常不错非常不错非常不错非常不错', '短评打分': 5}
{'短评内容': '给的房间有点老，太陈旧了。这个价格也不便宜。性价比很差。', '短评打分': 2}
{'短评内容': '地理位置不错，周边热闹。地上免费车位有限。房间都是套房，客厅大，厨房基本没有多大用处。缺点是洗澡水一会冷一会热，一会儿全热，就算完全调到冷水边还是烫的要命。', '短评打分': 4}
{'短评内容': '真没见过那么垃圾的酒店 房间老旧 脏不说 毛巾还恶心 叫前台换换跟我说50要瓶水5元 还没有200-300快捷酒店的服务 床上更脏了 睡上去浑身痒 这种酒店千万别来了', '短评打分': 1}
{'短评内容': '交通方便，周边环境好，设施便利，吃饭会议娱乐购物都有，停车也方便', '短评打分': 5}
{'短评内容': '工作方便', '短评打分': 5}
{'短评内容': '环境比较好', '短评打分': 4}
{'短评内容': '房间空调制冷效果不是很好', '短评打分': 5}
{'短评内容': '房间很不错，比较大，可以', '短评打分': 5}
{'短评内容': '非常好非常好非常好非常好', '短评打分': 5}
{'短评内容': '酒店房间很大，就是早餐差的不能再差了！希望能改进', '短评打分': 4}
{'短评内容': '酒店位置偏，房间味道有点大。', '短评打分': 3}
{'短评内容': '房间配套比较舊', '短评打分': 4}
{'短评内容': '房间配套比较舊了', '短评打分': 4}
{'短评内容': '地址位置没得说，在火车南站附近，到机场也很近，周边配套成熟，商场餐厅林立，唯一就是酒店房间比较小，卫生间设施有待改善。', '短评打分': 5}
{'短评内容': '住过多次，很不错！', '短评打分': 4}
{'短评内容': '酒店房间很大，住过很多次，首选酒店！', '短评打分': 4}
{'短评内容': '莘庄地区首选了！如果重新装修一下将无敌', '短评打分': 4}
{'短评内容': '酒店交通方便，周围有商业区，入住这个酒店是很好选择。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '服务很差，前台服务员家欠她们薪水一样。性价比超低。', '短评打分': 1}
{'短评内容': '酒店确实不错！！值得入住！！蛮舒服的！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店还可以 入住和结账都狠快 就是周围没有什么娱乐设施', '短评打分': 5}
{'短评内容': '酒店还可以 入住和结账都狠快 就是周围没有什么娱乐设施', '短评打分': 5}
{'短评内容': '酒店还可以 入住和结账都狠快 就是周围没有什么娱乐设施', '短评打分': 5}
{'短评内容': '酒店还可以 入住和结账都狠快 就是周围没有什么娱乐设施', '短评打分': 5}
{'短评内容': '酒店还可以 入住和结账都狠快 就是周围没有什么娱乐设施', '短评打分': 5}
{'短评内容': '酒店位置比较好，设施也还不错，早餐一般。', '短评打分': 5}
{'短评内容': '性价比高，位置很好，出来走几分钟就是超市，离开机场近', '短评打分': 5}
{'短评内容': '房间很好，干净，安静。', '短评打分': 3}
{'短评内容': '性价比很高的豪华酒店', '短评打分': 3}
{'短评内容': '很不错的酒店', '短评打分': 3}
{'短评内容': '房间非常大，很不错的。交通很便利，早上打车很好打。旁边就是乐购，购物吃饭都很方便。', '短评打分': 5}
{'短评内容': '房间比较大，周边比较方便', '短评打分': 3}
{'短评内容': '房间相当大，还有厨房，一室一厅，很不错。带老妈来住了几天。交通也很方便。', '短评打分': 5}
{'短评内容': '酒店很好，住的也很舒服，早餐品种不多，酒店里面连创可贴都没有，还要跑出去买', '短评打分': 5}
{'短评内容': '全套房酒店，房间内部设施齐全，大床很厚实，非常不错！', '短评打分': 5}
{'短评内容': '设施不错，比较方便，有家的感觉，每次来上海都住这里。', '短评打分': 3}
{'短评内容': '房间挺大，不错', '短评打分': 3}
{'短评内容': '第一次尝试这间酒店，确认环境不错，房子也很大，喜欢，下次还会再来', '短评打分': 5}
{'短评内容': '酒店设施不错，周边很多饭店，吃饭简单，早餐有点改变还可以吧', '短评打分': 5}
{'短评内容': ' 还行  离虹桥近', '短评打分': 3}
{'短评内容': '酒店环境可以，交通方便，早餐一般,下次有机会还会住', '短评打分': 5}
{'短评内容': ' 不错，每次来上海都住这', '短评打分': 3}
{'短评内容': '住了两个晚上，地方很方便，附近有很多饭店，包括KFC和云南米线，吃东西很方便，买东西有Tesco，上高架近；缺点是床上用品很旧了，然后打车不方便', '短评打分': 5}
{'短评内容': '酒店设施可以，早餐品种增加了，还可以的，推荐入住周边饭店也很多', '短评打分': 5}
{'短评内容': '帮同事订的，他说还可以，就是空调不够强劲', '短评打分': 5}
{'短评内容': '住了快一个月了，跟附近的相比，这个还可以', '短评打分': 5}
{'短评内容': '同事推荐的，还不错，附近吃的挺方便的，以后还住', '短评打分': 5}
{'短评内容': '酒店设施还可以的，饭店也很多早餐不行 品种太少了', '短评打分': 5}
{'短评内容': '酒店设施还可以，套房不算很大，但是一个人住也够了。前台服务一般性。', '短评打分': 5}
{'短评内容': '总体还不错，房间比较大，性价比也不错，就是空调不是很给力', '短评打分': 5}
{'短评内容': '地點很好，可是房內有點舊，服務不錯可是不夠現代化', '短评打分': 5}
{'短评内容': '帮朋友订的房间，反映酒店很不错，但价格有点偏贵！', '短评打分': 5}
{'短评内容': '酒店已经几十次入住了，感觉还可以，关键是楼下的饭店多', '短评打分': 5}
{'短评内容': '性价比是很高，除了网络很蜗牛，电视很雪花以外总体还是可以的。', '短评打分': 5}
{'短评内容': '环境尚好,可惜上午正在吹风,没电啦,停了半个多小时,打电话问总台,只是说,出故障,正在抢修。', '短评打分': 3}
{'短评内容': '房型好，但晚上的热水很浑，水管中的锈会跑出来', '短评打分': 3}
{'短评内容': '不错哦，我们非常喜欢，真的很不错的哦，哈哈，喜欢', '短评打分': 5}
{'短评内容': '非常公道的价格，很喜欢的房间，强烈推荐啊', '短评打分': 5}
{'短评内容': '住了不下好几次，周围饭店很多，都还不错的，设施还可以也很安静，早餐差', '短评打分': 5}
{'短评内容': '酒店前台的服务水平是有待于提高，没有笑脸不行的，其他还可以', '短评打分': 5}
{'短评内容': '酒店前台是不太理人的，没办法，默默沟通，房间里现在预先开启空调了', '短评打分': 5}
{'短评内容': '酒店设施比较新，感觉不错，但是早餐差了些并且服务不热情。', '短评打分': 5}
{'短评内容': '帮朋友再次预定入住， 朋友说服务一如既往', '短评打分': 5}
{'短评内容': '服务不错，房间也很干净。\n交通方便，下次还会入住。 \n', '短评打分': 5}
{'短评内容': '前台的服务生2个长了S人脸像欠她们钱一样，一句人话也不回说。还什么4星呢连168连锁店都比她们强。在这个方位438元1天算很高的价位了，交通不便。入住率连40%也不到服务员还拽的要死。楼道里连空调都没有，真不知道你凭什么拽就凭你是上海人吗？只能用二儿来评价你们', '短评打分': 1}
{'短评内容': '酒店就是这样，设施好，早餐一般，周围就是饭店，总体还行', '短评打分': 5}
{'短评内容': '房间太冷', '短评打分': 3}
{'短评内容': '酒店电视信号非常差，空调声音很大，其它都还好。', '短评打分': 3}
{'短评内容': '房间很大，设施很好，周边吃饭购物很方便，就是早餐差一点', '短评打分': 5}
{'短评内容': '房间很宽敞，环境不错~有家的感觉，浴缸也很不错~值得推荐哦', '短评打分': 5}
{'短评内容': '除了酒店的管理水平和早餐以外，其他都很是可以肯定的。性价比很高的酒店。', '短评打分': 5}
{'短评内容': '很好很好，客人指定的不错，服务业满好的，总之好，下次还会来', '短评打分': 5}
{'短评内容': '生活機能不是太好，早餐還可以，服務也很好', '短评打分': 1}
{'短评内容': '酒店是公寓式的，硬件还好，但跟普通酒店布局不一样，总感觉怪怪的。早餐好像是外包给私人经营的，不怎么好。', '短评打分': 3}
{'短评内容': '入住环境不错，周围交通也挺方便。下次还会来此入住。', '短评打分': 5}
