{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间干净、整齐、简洁。', '短评打分': 5}
{'短评内容': '房子太小了，住着不痛快', '短评打分': 4}
{'短评内容': '服务人员热情，但是酒店靠近夜市，旁边还有学校，隔音不好，着实很吵啊！卫生间反味有点严重，地段处于步行街上，本栋楼还有酒吧会所？赶脚一般，凑合住吧，价位是合适的咯', '短评打分': 4}
{'短评内容': '干净，服务态度很好', '短评打分': 5}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '服务特别贴心，前台十分热心，服务确实符合精选这个档次。位置十分好，去景点十分方便。', '短评打分': 5}
{'短评内容': '地理位置很好，楼下十分繁华，人来人往熙熙攘攘。距离黄河非常近，交通有点堵塞，停车不方便。', '短评打分': 5}
{'短评内容': '服务态度好呢', '短评打分': 5}
{'短评内容': '环境很舒适的', '短评打分': 5}
{'短评内容': '从外面走了一圈回来，被告知停电了，有个男的，态度很不好，在楼梯遇到，问他几点能来电，说不知道，问他能不能来电，也不知道', '短评打分': 4}
{'短评内容': '很干净很喜欢如家竞选', '短评打分': 5}
{'短评内容': '酒店比任何一家如家酒店都好，干净清爽，非常舒服！', '短评打分': 5}
{'短评内容': '可以，还行', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '各方面都很好', '短评打分': 5}
{'短评内容': '酒店很新，很干净。我们去的时候正值电梯维修……。早餐非常棒，值得推荐！我们住的是临街的有床的房间，唯一不太理想的就是，有点吵，尤其是周末啦！其它都很棒，交通也便利！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店位置在张夜路步行街上，酒店电梯在维修进出不太方便，房间是新装修不久很干净，下次还入住。', '短评打分': 4}
{'短评内容': '很卫生，价钱也实惠', '短评打分': 5}
{'短评内容': '优点：干净，高端大气，确实比如家好，服务也不错 缺点：1.酒店电梯最近在修，前台在五楼，要走楼梯上去，行李多的自己多考虑 2.位置就在步行街那很方便热闹，但也因为如此，停车很难找，我们找了个旁边路上的停车收费位置，结果第二天车窗被砸了！第二天报警警察过了一个半小时到两小时才到现场，而且说这条路被砸了好多辆车了，可见兰州治安多差而且警察办事效率那真是吓人！', '短评打分': 4}
{'短评内容': '不错不错，很多房间在靠走廊和过道，很悲催的······整体还是不错的··', '短评打分': 5}
{'短评内容': '很干净的，承袭了以往的风格，挺好的，给个好评。', '短评打分': 5}
{'短评内容': '位置很好，离大众巷小吃街很近，几家有名的小吃都在那里，晚上夜市也在附近，走几步就到。就是酒店的大门看上去比较破旧，设施也有点陈旧。', '短评打分': 5}
