{'短评内容': '房间比较小，虽然隔音效果不好，但晚上蛮安静的。', '短评打分': 1}
{'短评内容': '酒店环境还行。。但是床单有点小。。睡觉起来后会看见床垫漏出来了。。隔音有点差。。但价格蛮实惠性价比还不错。。还会再去。。深夜出去回来后走廊末端的灯关了。。只剩下安全通道的绿灯。。被吓到了。。', '短评打分': 5}
{'短评内容': '嘉园宾馆地理位子好，服务态度也好，价格性价比高，赞一个！', '短评打分': 3}
{'短评内容': '环境太差了，走道就有一阵臭脚的味道。房间霉味很重，开了空调抽风机也除不掉。空间极小..唉，这价格下次去连锁酒店好了', '短评打分': 1}
{'短评内容': '霉味比较**', '短评打分': 5}
{'短评内容': '还不错，就是空气不流畅\n其他的都不错\n离地铁站很近', '短评打分': 5}
{'短评内容': '＋酒店已住过几次了，很好，感觉前台美眉不热情，其他都很好。', '短评打分': 3}
{'短评内容': '宾馆比较容易找到，普通单人房还可以。', '短评打分': 3}
{'短评内容': '挺好的，继续保持吧\n交通便利，电话免费打', '短评打分': 5}
{'短评内容': '近上下九啊~很方便。近上下九啊~很方便。近上下九啊~很方便。近上下九啊~很方便。近上下九啊~很方便。近上下九啊~很方便。', '短评打分': 5}
{'短评内容': '价格便宜条件不太好，深夜2点房间吊顶内有老鼠工作（也许在锻炼身体跑来跑去的），不知是隔音不好还是那个女人不知羞，深夜和早上的叫床声音又长又久，，，', '短评打分': 1}
{'短评内容': '免费电话打的爽！就是房间客气不太好！电视也不错！', '短评打分': 5}
{'短评内容': '房间很干净，就是靠近大路边有点吵，需要关窗睡。前台服务态度很好。', '短评打分': 3}
{'短评内容': '隔音效果不好，其他还可以挺干净，周围交通很方便，地铁公交很方便。', '短评打分': 5}
{'短评内容': '环境还可以，东西都有，不用自己买，也比较安静，缺点是窗户太小，但这个价钱算不错了', '短评打分': 5}
{'短评内容': '不错，服务态度很好，经济，周围也很方便…', '短评打分': 3}
{'短评内容': '交通很方便，前台服务还行，毕竟广交会期间。只不过没开电梯，小郁闷，希望下次能开通电梯，还有个好处是国内长途电话免费打', '短评打分': 5}
{'短评内容': '环境还行，交通不大方便，不是很好找地方。\n停车不方便，其他还行', '短评打分': 5}
{'短评内容': '还不错\n就是走道里面始终有点吵\n电梯一直不开 ，就是个摆设', '短评打分': 5}
{'短评内容': '干净卫生。', '短评打分': 3}
{'短评内容': '酒店位置还可以，离办事点不远，刚好附近也有个地铁站，挺方便的。酒店卫生和设备也不错，自带电脑网速度挺快。价格不算高，值得推荐。', '短评打分': 5}
{'短评内容': '性价比不是很高，酒店的配套设施也不完善', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '第二次住了，价格和服务都很符合我们这些临时出门的。为什么要打够50字。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
