{'短评内容': '网上便宜些，', '短评打分': 4}
{'短评内容': '实惠，还行', '短评打分': 4}
{'短评内容': '环境好，房间比快捷酒店要大，还有座椅什么的', '短评打分': 5}
{'短评内容': '不太隔音', '短评打分': 5}
{'短评内容': '干净卫生！服务态度棒棒的！', '短评打分': 5}
{'短评内容': '来过很多次了，以前每次进房间都有一股霉味。这次来完全没有了，原来是房间里的地毯换了，换成木地板了。。', '短评打分': 4}
{'短评内容': '价格房间很合适 不错的选择', '短评打分': 4}
{'短评内容': '去过很多次了，就是房间里一进去那股霉味受不了，其他的都还行。', '短评打分': 4}
{'短评内容': '很一般，隔音不好，，，', '短评打分': 3}
{'短评内容': '一如既往的好', '短评打分': 4}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '房间有味道，也不是很新，反正很一般', '短评打分': 4}
{'短评内容': '帮助朋友预定的酒店，在北京的这个地理位置能住上这么便宜价格的酒店真的不错了，服务也挺好的，间面积很大，但是屋内设备很一般，', '短评打分': 5}
{'短评内容': '挺干净的 隔音一般', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
