{'短评内容': '房间小，洗澡不方便', '短评打分': 5}
{'短评内容': '太一般，毕竟太便宜实惠吧', '短评打分': 4}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '非常好好好好！！！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '房子整体还好，位置也不错', '短评打分': 5}
{'短评内容': '酒店位置好，但离地铁站远。入住次数比较多，但是陈旧了。入住时在装修，有些乱。总体不错，还会再入住的。', '短评打分': 4}
{'短评内容': '很好，经常住。', '短评打分': 5}
{'短评内容': '第二次发现床单枕套有污渍，依然是给前台打电话，态度挺好好，也是服务员很快留给换了', '短评打分': 5}
{'短评内容': '床单枕套有污渍，不过给前台打电话态度很好，服务员很快留给换了', '短评打分': 5}
{'短评内容': '还可以 很安静 房间也很舒适性价比高', '短评打分': 5}
{'短评内容': '反映不错，帮朋友定的。', '短评打分': 5}
{'短评内容': '不错，帮朋友定的，反映不错。', '短评打分': 5}
{'短评内容': '很舒适，房间就是被子薄了点，其他都好。', '短评打分': 5}
{'短评内容': '还可以吧，在北京算是经济实惠了。', '短评打分': 4}
{'短评内容': '还是很不错的，就是位置有点不好找', '短评打分': 5}
{'短评内容': '地理位置不错，坐车比较方便，就是离地铁有两站路。房间比较干净，晚上网速较慢。旁边的枫蓝国际吃的东西比较多。', '短评打分': 5}
{'短评内容': '好。特价房没订到。不过习惯了的酒店会感到亲切的。', '短评打分': 5}
{'短评内容': '比较好，性价比好!第三次入住。交通也还方便。门口有订票的。', '短评打分': 5}
{'短评内容': '总体比较干净,环境安静,有网有电视,比较满意.', '短评打分': 5}
{'短评内容': '旅馆不错就是有些小其他都很好', '短评打分': 3}
{'短评内容': '＋感觉还不错', '短评打分': 3}
{'短评内容': '价格还可以。住的是新楼。整体还可以。就是开始有个两个字的员工告诉我没有我要的有窗户的了，要给我换个没窗的。争辩一下还是给了我应该住的那个有窗的。大家不要被欺骗', '短评打分': 5}
{'短评内容': '位置很好~离北师大很近，住在这也蛮安静的~价格要是再能便宜些就更好啦~', '短评打分': 5}
{'短评内容': '酒店很干净卫生，服务也好，周围也挺方便的，值得推荐！', '短评打分': 5}
{'短评内容': '这家店的服务人员态度很好，交通也很方便，附近吃的也很不错，特别是海底捞，有机会，大家要尝试一下，下次来北京玩还会住这，赞一个吧', '短评打分': 5}
{'短评内容': '还可以，安静放心。去西直门店地铁两站，我们觉得交通还不太方便。', '短评打分': 5}
{'短评内容': '五层大板房是顶层，屋顶是斜的，比较矮，电视不是很清晰，我房间的取电装置也不好用，其它的都挺好的。', '短评打分': 3}
{'短评内容': '环境不错，但就是房内信号不好，手机经常没有信号', '短评打分': 5}
{'短评内容': '价格合理，换了一间屋子带窗，还不错，不潮了', '短评打分': 5}
{'短评内容': '此酒店距离北站很近，但稍有些偏僻，不过，就这个地段和酒店设施环境来讲，应该是物超所值了。服务员态度也算挺好，只是卫生间地面太滑，大家要小心哟！酒店餐厅的服务态度有问题，漫不经心又不耐烦，味道也不好。', '短评打分': 5}
{'短评内容': '很干净也很安静，周边环境也很好，下次还预订还住这里:)', '短评打分': 5}
{'短评内容': '酒店在小区周围 比较安静 屋内房间干净 满意 还会再去', '短评打分': 5}
{'短评内容': '十酒店还可以，下次还会选择', '短评打分': 3}
{'短评内容': '\u3000房间很不错，很舒适', '短评打分': 3}
{'短评内容': '。棒。超级棒。干净。实惠。', '短评打分': 3}
{'短评内容': '很安静，很干净，很方便，很推荐\nmmmmmmmmmmmmmmmmmmmmmmm', '短评打分': 5}
{'短评内容': '多次住宿在这家酒店了，各方面觉得都不错，很值得推荐。交通便利，环境优美，价格也不贵，实在是很不错！', '短评打分': 5}
{'短评内容': '环境不错，服务态度好，可是网络怎么会不稳定，住了两天都没用过，有待改进哦。另外，吹风机使用需要交押金让我很吃惊。', '短评打分': 3}
{'短评内容': '商务大床，没窗，空间大', '短评打分': 3}
{'短评内容': '房间干净卫生，性价比高，推荐大家入住。', '短评打分': 3}
{'短评内容': '性价比高，其它都不错，唯一缺点就是网速太慢了。奇怪，住的头两天网速还挺快的，后面几天就慢了。', '短评打分': 5}
{'短评内容': '性价比比较高，房间干净整洁，周围交通方便，饮食也很方便。酒店服务也挺好。唯一美中不足的就是网速不给力，要是网速再给力，就比较完美了。', '短评打分': 5}
{'短评内容': ' 好！', '短评打分': 3}
{'短评内容': '門卡感應有問題,住十二天 天天得勞駕服務員 開門!!感覺不舒服', '短评打分': 1}
{'短评内容': '房间比较小，隔音不太好，卫生间的门是坏的，服务员态度也不是很热情。但是周围交通方便，吃饭什么的很方便，价格也算不错~', '短评打分': 5}
{'短评内容': '服务不错，卫生间地面较滑但是很贴心的准备了防滑垫，再有就是有点装修味。总体来说不错。', '短评打分': 5}
