{'短评内容': '一般般吧', '短评打分': 3}
{'短评内容': '房间差，空调开起来声音巨响拖拉机一样，', '短评打分': 1}
{'短评内容': '外面太吵', '短评打分': 5}
{'短评内容': '隔音不好', '短评打分': 5}
{'短评内容': '环境很好 价格优惠', '短评打分': 5}
{'短评内容': '这个价格还是不错的 现价比算可以了', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '经济实惠环境好！物超所值', '短评打分': 3}
{'短评内容': '环境很好，就是不怎么好找', '短评打分': 3}
{'短评内容': '方便', '短评打分': 4}
{'短评内容': '预订了3天，第一天没有热水，也就算了，第二天早上告知宾馆被房东收回房子，没办法又要换地方住很麻烦。现在估计已经不做宾馆了。', '短评打分': 1}
{'短评内容': '环境一般,卫生较差,抽屉里还有烟灰', '短评打分': 3}
{'短评内容': '很耐心，很干净，很安静，很温馨，服务很周到', '短评打分': 5}
{'短评内容': '房间可以，很干净。设施也齐全。就是最后要加个房务费15块不知道是什么,走的急也没有问。', '短评打分': 3}
{'短评内容': '价格便宜，交通很方便。房间偏小，总体还行。', '短评打分': 5}
{'短评内容': '宾馆处在小巷子里，不过旁边吃的真是多 哈哈 睡的也不赖 卫生可以 但退房稍慢。', '短评打分': 5}
{'短评内容': '优点:卫生做得不错,楼下吃东西方便,交通方便.\n缺点:特价房洗手间里面居然没有马桶,上厕所要到走栏的公厕去,不可容忍的缺点.\n床真的很硬,能感觉到一个个弹簧,我都垫着被子才能睡去.', '短评打分': 1}
{'短评内容': '这样的价格在温州已经很不错了，网速非常快，离市区也不远。综合各方面都可以。', '短评打分': 5}
{'短评内容': '非常实惠的宾馆，卫生环境不错，在江滨西路附近，总体很好', '短评打分': 5}
{'短评内容': '房间小了点，周围吃东西还是蛮方便的，就是隔音不是很好', '短评打分': 5}
{'短评内容': '有点郁闷，房间太差了，一晚上都没睡着，吵死了，不透气，床骼得一身痛死了', '短评打分': 3}
{'短评内容': '很好的宾馆，虽然不好找但是总体感觉还不错。住了几次了，下次还会住。', '短评打分': 5}
{'短评内容': '很好，小的很温馨，就是楼下有菜市场有点吵，不过吃的东西还是挺多的', '短评打分': 5}
{'短评内容': '今天是续住，还是朝南的房间，早上很早太阳就晒进来了，要是冬天的话就很暖和了，能看到南湖波光粼粼，通体感觉不错，下次还会住的。', '短评打分': 5}
{'短评内容': '\r\n床睡着很舒服', '短评打分': 3}
{'短评内容': '还是老样子，太熟悉了。就是有点儿吵，楼下就是一农贸市场，不过吃饭很方便，买水果也很方便。下次还会住。', '短评打分': 5}
{'短评内容': '又一次入住，还是老样子，太熟悉了，都不知道说啥了。前台服务员都认识我了，还是那样的温馨，还是那样的舒服。', '短评打分': 5}
{'短评内容': '又一次入住，还是那样的温馨，服务员还是那样的客气，一看是老客户那是笑脸相迎，都像自己家人一样亲切。不过房间还是那样的小，也就是一个人住正合适，下次还会选择。', '短评打分': 5}
{'短评内容': '这次是再次入住，整体还和以前一样。服务员还是比较热情的，卫生还可以，就是房间小了点儿，我住的是普通单间，可能住标准间就会好点儿吧。下次我还会住，也会向朋友推荐。', '短评打分': 5}
{'短评内容': '位置比较难找，外面比较热闹，吃饭很方便。大床房面积还是比较小的，但是设施哈还是比较齐全的。前台服务员还比较热情，房间卫生也不错，适合出差住宿，下次应该还会来住。', '短评打分': 5}
{'短评内容': '打电话要收费，而且花费还很贵！网上预定的时候看到的图片是房间里电脑的，可是到了酒店带电脑的房间又不是这价格有点被欺骗了', '短评打分': 1}
{'短评内容': '位置有点偏，胡同里面，其他还不错，服务态度很好，就是结账速度慢点', '短评打分': 5}
{'短评内容': '当初是因为地址不知道 就随便找了家酒店  这家酒店离我在的地方有点远 在陌生的地方不熟悉还真是不行。服务员不是很热情', '短评打分': 1}
{'短评内容': '太差。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '第二次入住了。还是一样。其他不错。就是热水很慢。', '短评打分': 5}
{'短评内容': '房间内没有洗手间，感觉不好，也没有网线，然后冲凉间进去的时候感觉有人在里同方便过好大的问道', '短评打分': 1}
{'短评内容': '交通方便，干净整洁。就是有部分房间没有热水，要去公共浴室洗澡。我跟我朋友两间房间，我的就没热水，这个非常郁闷。其他的都还不错。', '短评打分': 5}
{'短评内容': '在小巷里不好找，我住的那间房也不是很好，不过停车还是方便的', '短评打分': 5}
