{'短评内容': '还不错，就是位置不太好找。 ', '短评打分': 5}
{'短评内容': '老板很好，住了两天。第一晚被一拨天津的xx素食团吵的睡不着，第二天早餐在餐厅里又遇上，早餐10元一位，感觉是要吃个20元似的。  她家醋鱼不错招牌菜。我们的自驾的，她家对面有停车的，不缴费 没人看管。', '短评打分': 4}
{'短评内容': '房间干净，位置方便，关键他家吃的是五台山最干净好吃的。推荐酱醋鱼。适合多住几天，好吃好住', '短评打分': 5}
{'短评内容': '老板人非常好，菜非常好吃，推荐', '短评打分': 5}
{'短评内容': '不错干净', '短评打分': 5}
{'短评内容': '住宿地点与定的地方不一致，就是说不是我定的酒店，住宿的地方是定的这家老板联系的别的酒店。老板人还行，就是把我们放到他就隔壁的酒店入住有点不爽。', '短评打分': 3}
{'短评内容': '就是个农家院，环境一般，卫生间太差', '短评打分': 3}
{'短评内容': '酒店就是个农家院，一般般，感觉不好', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '环境不错，很干净，晚上暖气特别暖和，洗澡热水也很好，点赞', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '十一期间去的，刚好赶上五台山下雪阴天，没有太阳能热水…服务不错！', '短评打分': 4}
{'短评内容': '不理想', '短评打分': 3}
{'短评内容': '环境不错，服务也满意，就是屋里有些冷', '短评打分': 5}
{'短评内容': '环境不错，服务也满意，就是屋里有些冷', '短评打分': 5}
{'短评内容': '服务差，房间陈设更差，床头灯不亮，好不容易找来服务员，灯泡也不给换。398元一晚，宰人也太狠了。', '短评打分': 1}
{'短评内容': '我昨晚住的这家宾馆，今晚已回到洛阳家中，总的感觉这家宾馆不错，老板热情周到，不仅住店免费接送，而且还免费接送去景点游玩。回来推荐其他朋友去五台山游玩时住这家店。', '短评打分': 5}
{'短评内容': '性价比还不错，但是设施不算是太好，老板态度还是不错的', '短评打分': 1}
{'短评内容': '房间卫生较差，冲凉太差，酒店设备较差，整个环境没有图片上介绍的那么好', '短评打分': 1}
{'短评内容': '老板挺好的，由于去的时候是五爷的生日，房间紧张，老板给我们调换房间，位置好，推荐', '短评打分': 5}
{'短评内容': '价格尚可,比较卫生,与南山寺比邻,只是离镇较远些。', '短评打分': 3}
{'短评内容': '度假村的卫生条件一般，厕所根本冲不下水，洗澡的水也很小；晚上睡觉的时候总能听见有人来回进出，非常的吵闹！', '短评打分': 1}
{'短评内容': '   老板热情但奸诈，原图片与实际不符，未见照片景色，卫生间涨水四溅。', '短评打分': 1}
{'短评内容': '环境很好，也很干净，老板很热情，不错的地方。', '短评打分': 5}
{'短评内容': '在五台山农家院里算好的。值得推荐。老板特别热情。明年去还住那里。晚上有暖气。门口有停车场。', '短评打分': 5}
{'短评内容': '在五台山农家院里算好的。值得推荐。老板特别热情。明年去还住那里。', '短评打分': 5}
{'短评内容': '老板怕我们找不到，开车接的我们，想的很周到，屋子还提前烧了暖气，准备了毛毯，很温暖。', '短评打分': 5}
{'短评内容': '此酒店服务挺好的，饭菜也挺可口；酒店老板很好客，酒店的价格也不贵，而且还可以提供导游服务，告诉如何参观五台山的景区，提供良好的建议。希望下次去五台山还到这里来，不虚此行！', '短评打分': 5}
{'短评内容': '还是很干净的，老板和老板娘都很热情，服务很周到，饭做的也不错。临走还送了我们当地的沙棘汁。这个度假村以前叫佛缘酒店，我们差点找错，不过在南山寺下倒是很明显的。因为是旺季又赶上五一，所哟房价还是比较贵的，300元。不足的地方就是用水比较紧张，听说过些时候这里要拆迁，酒店会往下搬，但不知道是什么时候，希望搬家后能比现在条件更好些！我们会支持你们的！', '短评打分': 5}
