{'descr': '马桶堵 水太小 不是第一次住，但是第一次遇到这么差的房间', 'star': 3}
{'descr': '还不错，性价比高', 'star': 5}
{'descr': '房间太小，价格太贵。', 'star': 3}
{'descr': '很好，老顾客了，没地方去，这酒店可以', 'star': 5}
{'descr': '酒店位置特别好，楼下就是商业街，离轻轨站很近。因为房间订晚了，没有双人房了，我在前台要了一床被子打地铺。可能是因为楼层比较高，水压有些低，但是不影响洗澡。总体来说酒店还是不错的，性价比很高', 'star': 5}
{'descr': '地段不错，要啥有啥，出行方便', 'star': 5}
{'descr': '这个价位算不错的了', 'star': 5}
{'descr': '真的是超性价比的房间～以后过去还会接着定～对面天街步行3分钟可至观音桥地铁站超级方便', 'star': 5}
{'descr': '设备较旧，地理位罝很好，服务一般，4分！', 'star': 4}
{'descr': '交通便捷,环境卫生,网络良好,出行方便,网络预订支持到店支付,可提供增值税专用发票和增值税普通发票,乃商旅佳选', 'star': 5}
{'descr': '可以', 'star': 5}
{'descr': '刚推开房门，有一只小强欢迎我们。。。。。床垫一角的弹簧坏了，睡的腰疼，半夜空调居然滴水到枕头上，贴满白瓷砖的卫生间有种90年代的招待所感觉。地段还是很不错的，不过这个价位太过于牵强。', 'star': 2}
{'descr': '不会住第二次，服务差，环境差，卫生更差！', 'star': 3}
{'descr': '不错', 'star': 5}
{'descr': '在观音桥北城天街，逛街坐轻轨都方便，酒店环境很一般', 'star': 5}
{'descr': '房间面积一般，卫生间淋浴处地漏堵塞，环境卫生一般！我第二次住819房间跟原来一样下水口一样堵！', 'star': 1}
{'descr': '很好，地段，服务，价钱，都很OK，下次来重庆，还会入住', 'star': 5}
{'descr': '总体还行，只是服务员态度有点问题！位置很好！！', 'star': 5}
{'descr': '除了位置在北城天街遠東百貨對面，裡面的設備跟價錢，實在是一點都不值得推薦，只差沒有逃出來。 只是前台的工作人員服務還算不錯，花了188住進這個商務房，只能說一點都不值，如果不太注意設備，便宜的房間住一住還可以。', 'star': 1}
