{'短评内容': '还不错～～', '短评打分': 5}
{'短评内容': '房间干净服务态度好，周边小吃也挺多的，酒店紧靠市中心出门打车也比较方便，房间里的设施齐全，下次还来住这里', '短评打分': 5}
{'短评内容': '干净卫生，性价比很高。', '短评打分': 5}
{'短评内容': '酒店位置离宽窄巷子不是特别近，骑自行车要5到十分钟，倒是有个公交站台，酒店内部环境比周围同等价格的看起来要好，价格比较实惠，服务还可以，前台还有到著名景点路线的小条子，就是卫生间有味道，好像是下水道传出来的，总体来说还是值得入住的', '短评打分': 5}
{'短评内容': '酒店位置离宽窄巷子不是特别近，骑自行车要5到十分钟，倒是有个公交站台，酒店内部环境比周围同等价格的看起来要好，价格比较实惠，服务还可以，前台还有到著名景点路线的小条子，就是卫生间有味道，好像是下水道传出来的，总体来说还是值得入住的', '短评打分': 4}
{'短评内容': '7天升级的，位置不错，在13层，电梯有点麻烦', '短评打分': 4}
{'短评内容': '酒店位置稍微偏一点，但是性价比非常高，里面很干净整洁！', '短评打分': 5}
{'短评内容': '贵了，环境差，位置也不好找，远不如如家好！', '短评打分': 5}
{'短评内容': '吃饭不方便，而且入口很难找~~', '短评打分': 4}
{'短评内容': '一次我是你也要走到一起了。我是你自己去找他聊天都在做作业吧……我想看什么地方有时候你说什么了。我是真的很累……', '短评打分': 3}
{'短评内容': '就是电梯12楼没显示，看不到电梯在几楼了，其他还不错', '短评打分': 5}
{'短评内容': '环境不错。', '短评打分': 5}
{'短评内容': '整体性价比不错，优点是卫生干净，有洗澡热水。隔音可以。缺点是外部环境太差，不太好找。', '短评打分': 4}
{'短评内容': '订的传统大床房，官网显示会配备洗漱用品，但是实际并没有配备。 虽然自己带了，但是，还是和描述是有差距的。店里并无早餐厅，所谓早餐，实际上是从超市购买的速冻产品，很难吃！建议不要尝试。拿来有没法吃，浪费资源。', '短评打分': 4}
{'短评内容': '价格很便宜~在市区内性价比很高。值得推荐的一家酒店~只是入口不是很好找。  房间无线网很快~ 房型也很方正。唯一不足的是入口环境有一点，但是前台服务能弥补。', '短评打分': 5}
{'短评内容': '酒店不错，房间挺干净的，服务员礼貌不错！', '短评打分': 5}
{'短评内容': '价格划算啊，酒店在13层以上，附近有吃饭的一条街，有24小时便利店，酒店空调很给力', '短评打分': 5}
{'短评内容': '不错，价格也合适。位置也不错', '短评打分': 3}
