{'短评内容': '差', '短评打分': 3}
{'短评内容': '充电插排不能用 房间味道很重 有些刺鼻 总之不会再去了 比火车站附近好不了多少', '短评打分': 3}
{'短评内容': 'CBGB ft thug GGG', '短评打分': 5}
{'短评内容': '下水道好臭哇，然后隔音效果也不好，旁边的住客吵了一个晚上。', '短评打分': 4}
{'短评内容': '总的环境还不错', '短评打分': 5}
{'短评内容': '还可以环境还可以，住着挺好的', '短评打分': 5}
{'短评内容': '还可以，房间卫生也可以', '短评打分': 5}
{'短评内容': '酒店真心一般，主要也不贵；去年住过一次是99月、从此以后再无这样的价格！因为离老公单位近还会选择、能做个活动便宜点就完美了', '短评打分': 3}
{'短评内容': '房间一般，环境一般，价钱合适', '短评打分': 3}
{'短评内容': '一开始在网上订的，说是离地铁站200m，其实500m都有，然后就是前台连个鬼影都没有，等了好久，订的情侣圆床，环境差得要死，墙壁还有一陀都没有，电视就那几个台，热水一下热一下冷是想冷死我吗，一百块都不值！', '短评打分': 2}
{'短评内容': '好，挺喜欢这家的性价比高，不错', '短评打分': 5}
{'短评内容': '好，来几次了，觉得还不错', '短评打分': 5}
{'短评内容': '这里还不错，环境什么的都挺好的，就是那周边没啥吃的，在地铁站附近，交通挺便利的', '短评打分': 5}
{'短评内容': '一般，走廊有点小，房间设施相对来说还算好', '短评打分': 5}
{'短评内容': '一切尚可…………………', '短评打分': 4}
{'短评内容': '位置比较难找 但是环境比较干净', '短评打分': 3}
{'短评内容': '很干净,环境很好,就是有点偏,不好找.很满意!', '短评打分': 5}
{'短评内容': '感觉位置有点偏僻  但是还是很方便  设施挺新的', '短评打分': 5}
