{'descr': '干净，卫生，服务态度也很好', 'star': 5}
{'descr': '五星好评', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '服务态度很好，房间干净', 'star': 5}
{'descr': '挺好～', 'star': 5}
{'descr': '京东服务确实没得说，什么都能做到最好', 'star': 5}
{'descr': '环境服务都好，很到位退房也快，没这么多麻烦事', 'star': 5}
{'descr': '房间干净，舒适！唯一遗憾就是定的无窗房！服务好！推荐', 'star': 5}
{'descr': '好。不错。棒', 'star': 5}
{'descr': '还不错，窗户很大，很好，如家果然不一样', 'star': 5}
{'descr': '酒店很干净，清扫大姐很有礼貌，服务态度非常好，出门在外经常住如家，比较习惯。酒店处于闹市中心，吃饭购物非常方便', 'star': 5}
{'descr': '好评，虽然隔音真的不是很好，前台服务也算不错，隔壁打开花洒洗澡，就可以听见水声，嗯其余的吧，也都还好，浴室没有拖鞋，这点比较尴尬', 'star': 5}
{'descr': '床舒服，屋里大暖和', 'star': 5}
{'descr': '挺好的，服务挺好，床挺大', 'star': 5}
{'descr': '前台特别好，哈哈哈，给100个赞，哈哈哈', 'star': 5}
{'descr': '位置很好，下了火车坐公交车就在附近下车，楼下附近的吃的也很多，房间挺干净的，跑马拉松回来的比较晚，跟酒店商量怎么办，很顺利的就解决了。', 'star': 5}
{'descr': '没住上', 'star': 3}
{'descr': '晚上9点到的酒店，预订的房间，有烟味，朋友手术完闻不了烟味，店家很快从新升级给我们换了，很安静，住的很好。', 'star': 5}
{'descr': '不错', 'star': 4}
{'descr': '在购物中心楼上，周边环境很好，买东西吃饭都方便，宾馆条件不错', 'star': 5}
{'descr': '很不错的酒店经济实惠干净卫生。', 'star': 4}
{'descr': '如家酒店干净卫生还不错。', 'star': 4}
{'descr': '这家店不错很喜欢，推荐', 'star': 3}
{'descr': '交通方便，位于市中心，酒店很干净，服务非常热情。如家真的值得信任，可以放心入住。', 'star': 5}
{'descr': '很好的酒店，在市中心，干净卫生，交通方便，早饭较丰富。', 'star': 5}
{'descr': '房间比普通房间都大，干净就不用说了，前台办理入住和退房那叫一个快，服务人员很热情，下楼就是商业街和乐购超市，吃饭购物都超方便，离海边也很近，值得入住，推荐！', 'star': 5}
{'descr': '还不错，订的大床房，房间较小，但干净。处在繁荣地区，很方便。', 'star': 3}
{'descr': '酒店服务人员很热情，房间装修跟其他城市一样，总的来说如家住的还是比较放心的', 'star': 5}
{'descr': '酒店很干净，周边吃饭方便。', 'star': 3}
{'descr': '地点不错，其他一切相同，该根据地方特点有点改进', 'star': 5}
{'descr': '卫生情况还可以，交通也方便，不好的地方是房屋隔音效果太差，夜里女人叫声能隔2个房间传进来。', 'star': 5}
{'descr': '环境不错，也是市中心，交通也方便，以后还会来住的，值得向朋友推荐！', 'star': 5}
{'descr': '在闹市区，房间挺干净，就是隔音效果太差，晚上楼上讲话都能听见。', 'star': 5}
{'descr': '地理位置不错，就是门口不太好找，在一个商场的后面。', 'star': 5}
{'descr': '房间很小，比香港的mingle酒店稍微大一些，周围有公交车站，很方便', 'star': 5}
{'descr': '还不错，隔音差些，香皂比其他同价位酒店好用', 'star': 5}
{'descr': '全国如家基本相同，建议如家可以根据当地的风土人情改变一下风格', 'star': 5}
{'descr': '处于商业中心位置，其他基本相同，建议如家可以根据当地的风土人情改变一下风格', 'star': 5}
{'descr': '还好吧，地点还好，楼下有小吃，商场也有里也有吃饭的', 'star': 5}
{'descr': '酒店服务还可以，性价比较高，出差办事入住一晚休息一下，还是不错的！', 'star': 5}
{'descr': '整体不错，交通便利，环境不错，被子柔软干净，枕头也够软，而且还有3只那么多（躺着靠着看电视或者休息不会觉得脊椎不舒服）！\n如果硬要挑点毛病的话，就是房间小了点，空调的声音大了点，其他都OK，服务也不错！', 'star': 5}
{'descr': '感觉不错，如家般的氛围，服务态度很好，下次去秦皇岛还想住这里', 'star': 5}
{'descr': '价格挺便宜', 'star': 3}
{'descr': '本次住的房间是商务大床房，132元。等工作人员安排了房间后发现，竟和上次住的特惠大床房是一个房间，求解释。', 'star': 5}
{'descr': '7层，房间不错~睡的也舒服，就是枕头稍高了点，我喜欢矮一点的枕头~隔音稍差，环境不错~在市中心很方便', 'star': 5}
{'descr': '如家服务挺热情，我下次还会选择如家', 'star': 3}
{'descr': '挺干净，不错', 'star': 3}
{'descr': '交通方便，位于市中心，周围商场聚集，前台服务很好', 'star': 5}
{'descr': '感觉挺不错的，这个时候也很便宜，以后到秦皇岛肯定都住这里。', 'star': 5}
{'descr': '各方面都很不错，就是隔音不好，还有床翻一翻身就嘎吱嘎吱响，不过还是很舒服地', 'star': 5}
{'descr': '多次入住…很好很方便', 'star': 3}
{'descr': '店如其名，如家般干净，服务周到，强烈推荐。', 'star': 5}
