{'短评内容': '网上订的标准间 到酒店没有了  给换成三人间 空调也没有   最恶心的是房间一点不隔音   一大早工作人员还在房间外面大声喧哗', '短评打分': 3}
{'短评内容': '住了三晚，到古城很近。', '短评打分': 5}
{'短评内容': '环境优雅，所以决定多住几天，楼下有院子停车。走去古城也只要几分钟。', '短评打分': 5}
{'短评内容': '价格还行，就是酒店设施不行，', '短评打分': 2}
{'短评内容': '房间在一楼停车场。除了洗手间不大好外，其他还行。大床房没有空调有個电热毯', '短评打分': 4}
{'短评内容': '位置很好，离古城很近，房间干净，整体不错。', '短评打分': 5}
{'短评内容': '除了位置，好像没什么可推荐的。定的豪华间，配的电脑大概是20年前的古董吧。', '短评打分': 3}
{'短评内容': '总的说位置还可以，在新城和景区之间比较方便，酒店的格调还比较好。但服务需要进一步专业化才行！', '短评打分': 4}
{'短评内容': '住的三人间，酒店位于古城南门外不远，非常安静，酒店房间很干净，房间较大，若是在便宜一点就更好了，值得推荐。', '短评打分': 5}
{'短评内容': '感觉还可以吧，挺干净的，小院子可以停车，就是住宿必须由信用卡担保，改时间的话房费还是不退的，直接就从卡里扣掉了', '短评打分': 5}
{'短评内容': '老板不错，前台小伙子不热情，房间设施不够完备，有的房间没有电话，有的房间没有电水壶，就看你运气了！', '短评打分': 1}
{'短评内容': '这家酒店地理位置非常不错，挨着大理古城，吃住行都很方便，环境也很安静，是个四合院，店家也很热情，停车也方便、安全', '短评打分': 5}
{'短评内容': '不错的一家酒店，服务很好，住的还算舒服。顺便说一下，老板很好说话。哈哈，大理是个好地方，住着真不想走啊。', '短评打分': 5}
{'短评内容': '一般，房间一般，设施一般，服务一般，卫生一般，地理位置可以，安静.', '短评打分': 1}
{'短评内容': '房间很宽敞，客栈老板提供的服务很多，交通很方便，4路车就在门口', '短评打分': 5}
{'短评内容': '很好,物超所值', '短评打分': 3}
{'短评内容': ' 干净 舒适 服务及房价都很满意', '短评打分': 3}
{'短评内容': '老板很热情，还在昆明到大理的火车上就打了好几个电话，还开车来接。酒店里古城有10分钟左右的路程，散步走走也很好，房间很干净很新，临街，白天阳光很好，夜晚也不太吵。', '短评打分': 5}
{'短评内容': '老板不是很热情，从老板处拿到的洱海旅游票略贵，房间潮湿不知何故', '短评打分': 1}
{'短评内容': '玉兰宾馆在大理古城南门外，条件非常好，148元的3人间，很大，很干净，小院很别致，而且大厅设计比较别致。主人有一条哈士奇，很可爱。', '短评打分': 5}
{'短评内容': '宾馆的人挺热情，但是设备就有点欠缺,房间床头有顶灯，而且感觉好像快要掉下来的感觉，睡得不太安稳', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店外观不错，在大理也算比较有特色，可能元旦都放假了，只有一个大堂服务员，热水也不及时。。。不是很推荐哦。。。。', '短评打分': 5}
{'短评内容': '地理位置较好，主人家态度也热情，但房间配套设施不行，房内没有面纸巾，厕纸也是灰黑色的，抽风机只是一个装饰品，厕所灯在准备洗澡时坏了，主人马上连黑换。价格不便宜，在12月这样的淡季也要160元，在丽江的好多客栈已经可以住两晚了。', '短评打分': 1}
{'短评内容': '最然离古城有些远，但是地理位置和环境还是可以接受的。服务态度也很不错，房间住着还算舒服。', '短评打分': 5}
