{'短评内容': '服务挺好的，哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '环境挺不错，隔音效果也可以。有早餐，床睡着也舒服，就是枕头太高', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '房间很舒适', '短评打分': 5}
{'短评内容': '还不错，，就是空调声有点响，不过并不影响', '短评打分': 5}
{'短评内容': '还是不错的', '短评打分': 5}
{'短评内容': '出差入住，还可以。', '短评打分': 4}
{'短评内容': '还过得去，就是有点吵，不会太差。', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '房间经常有臭味', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '不错，还行', '短评打分': 4}
{'短评内容': '很不错的酒店，很新很干净，我住的房间还有配电脑，特别喜欢酒店的床及床上用品，睡的很舒服，下次去还会选择入住。', '短评打分': 5}
