{'descr': '在老城区，有停车场。', 'star': 3}
{'descr': '物超所值。', 'star': 5}
{'descr': '最一般的锦江，', 'star': 3}
{'descr': '鄂尔多斯的酒店很便宜，本来以为连锁会好一些，没想到是加盟店，不多说，一般，跟包头和乌兰察布的都差很多', 'star': 3}
{'descr': '很好，房间很干净，一会还会去住', 'star': 5}
{'descr': '不错，很舒服，', 'star': 5}
{'descr': '酒店位于城乡结合部，周边环境较乱，有停车位。客房面积不大，客房设施一般，卫生间马桶不畅，找过服务员，最后答复我们将就用。有无线网，网速慢；价格适中。感觉一般，远不如其他锦江之星酒店。', 'star': 3}
{'descr': '性价比还行', 'star': 3}
{'descr': '网络不好，其他可以', 'star': 3}
{'descr': '整体还可以，值得推荐，就是我们同事说跟别的地方的锦江差点。希望这个锦江以后能再接再厉，争取把店弄得更好，以后我们还会来这家店。 好评吧', 'star': 5}
{'descr': '整体还可以，值得推荐，就是我们同事说跟别的地方的锦江差点。希望这个锦江以后能再接再厉，争取把店弄得更好，以后我们还会来这家店。好评吧', 'star': 5}
{'descr': '服务态度真的很好，房间也很干净。有无线网，唯一的遗憾就是4楼的wifi信号有点弱，希望能改进~总的来说还是很满意的！', 'star': 5}
{'descr': '很好，我是帮同事定的，据他所说条件很好，而且走的是团购，所以非常实惠。强力推荐！', 'star': 5}
{'descr': '环境还可以', 'star': 3}
{'descr': '酒店服务很好，热情，周到，附近很多美食哦。', 'star': 3}
{'descr': '交通便利，在东胜这个价位算是比较合适的，只是卫生一般般！', 'star': 5}
{'descr': '食品需要自己带，除了房间隔音不是太理想，其他都很好，很温馨。', 'star': 5}
{'descr': '地理位置好，交通便利，服务态度好，设施不错。', 'star': 5}
{'descr': '很干净，服务态度很好', 'star': 3}
{'descr': '以前没来过这里，第一次住这里感觉还不错！', 'star': 5}
{'descr': '酒店总的来说还不错，不过这个标准要是带免费的早餐就完美了。', 'star': 5}
{'descr': '酒店干净，安静，就是位置有些偏，离市中心有一点距离，打车大约12元。总体感觉还不错。', 'star': 5}
{'descr': '酒店很好，尤其是热水不错', 'star': 3}
{'descr': '环境不错，很干净，就是房间有点小', 'star': 3}
{'descr': '酒店员工服务态度蛮好的,    只是无烟楼层房间里烟味过重,偶尔还会有饭菜味道,应该是工程设计问题,      另外一进房间看见电话床头柜上很多烟灰,下面还有烟头!      最让人难过的是枕头上有头发,床单上也有头发. 249元已经不低了但是却糟糕成这样,真是大失所望. 还有就是房间很小,卫生间洗手池水龙头噪声太大.今天是第一天也是最后一天,以后再也不住锦江之星了!!!', 'star': 1}
{'descr': '酒店环境很好，很安静，但是网速不是很快，还有待提高', 'star': 5}
{'descr': '房间条件太简陋，房间小，卫生间更小。酒店位置比较偏。是我住过最差的酒店。（关键是这个价格在呼市、包头、准格尔等地住得很不错了。', 'star': 1}
{'descr': '房间有点小，无线上网不是很方便，但前台的服务非常好，走时忘记取走押金了，服务员跑着送了出来。', 'star': 5}
{'descr': '一贯锦江的标准一贯锦江的标准一贯锦江的标准一贯锦江的标准一贯锦江的标准', 'star': 5}
{'descr': '很干净', 'star': 3}
{'descr': '隔音不好，楼道内走路和关门声非常清晰。洗手间门锁不上，马桶不好冲，空调不制冷，餐厅服务差，等菜时间长。', 'star': 1}
{'descr': '给朋友定的，朋友说还可以，和大部分的锦江之星一样，标准连锁酒店。', 'star': 5}
{'descr': '这个是帮别人订的，我也不是很清楚,这个也不是很想去\n', 'star': 1}
{'descr': '房间还可以，位置有些偏，早餐不丰富。对面有个吃火锅的地点不错。总的说来，还是可以的。', 'star': 5}
{'descr': '位置有些偏，早餐不丰富。就是房间还可以。总的说来，还是可以的，对面有个吃火锅的地点不错。', 'star': 5}
{'descr': '酒店很好，人很热情，也比较干净！离市中心稍微远一点！', 'star': 5}
{'descr': '房间还不错，酒店设施也不错！但是相对别的城市的锦江之星有些贵了！', 'star': 5}
{'descr': '此酒店房间设施干净整洁，地理位置也不错，酒店的工作人员态度也很好，下次来还会住这里的，呵呵。', 'star': 5}
{'descr': '装修很简陋，客房也小，也就是一般的快捷酒店，不能接受的是中午12点准时退房，差一秒都要多算半天房费', 'star': 1}
{'descr': '连锁企业，整体差不到哪里，不过个人认为在加油站边上安全系数比较低！', 'star': 5}
{'descr': '环静不错，非常整洁。就是空间小点', 'star': 3}
{'descr': '卫生还可以房间一个正床一个小床卜', 'star': 3}
{'descr': '酒店环境还可以，比较干净，服务态度也很好。', 'star': 5}
{'descr': '曰用品和其他店相比,感觉旧了些,', 'star': 3}
{'descr': '位置有些偏，早餐不丰富。就是房间还可以。总的说来，还是可以的，对面有个吃火锅的地点不错', 'star': 5}
{'descr': '在鄂尔多斯来讲，普遍酒店的价格都有些略高，不过好在条件还可以，位置好打车挺方便的.', 'star': 5}
{'descr': '酒店环境还是很好的，位置也好找，房间住着和其他的锦江之星都差不多，性价比还是挺合理的。', 'star': 5}
{'descr': '房间的装修还可以也很干净，位置倒不是太好找，价格还是略高。酒店基本也是比较符合一般经济型酒店特点。', 'star': 5}
{'descr': '价格比较实惠，房间设备都很新。整体感觉很不错，就是位置有些偏远。朋友有车子的话还是很方便的啊。', 'star': 5}
{'descr': '环境不错', 'star': 3}
