{'短评内容': '位置佳，停车场宽敞。', '短评打分': 5}
{'短评内容': '房间很不错，面积达，无异味，噪音小，是旅行必选的', '短评打分': 5}
{'短评内容': '黄山比较冷，一家三口，订了一个4人间，是一个套间，有一个双人床三张单人床，住5个人都没问题，浴室也有两个。', '短评打分': 5}
{'短评内容': '去黄山办事订的酒店，距离比较近，也很方便，同事说总体还不错', '短评打分': 5}
{'短评内容': '房间设施很差，床头柜都没有，仅仅是用一个椅子一样的东西代替，条件相当一般，床铺太简陋，被子太单薄，洗澡的淋浴头太差，固定不能动的，用起来不方便，电视很差，很老看不清楚，模模糊糊的，卫生间的设施也很差，洗漱的杯子也很差，又小，烧水壶很破旧，也不好。可惜忘记了拍照！', '短评打分': 2}
{'短评内容': '黄山比较冷，一家三口，订了一个4人间，是一个套间，有一个双人床三张单人床，住5个人都没问题，浴室也有两个。', '短评打分': 5}
{'短评内容': '旧了点，床单是破的，但交通方便，门口就要景交专线车通过', '短评打分': 5}
{'短评内容': '隔音不好，酒店老了，不推荐', '短评打分': 4}
{'短评内容': '性价比很高，离太平湖20公里，一路风景秀丽。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '第二次住了，还不错。', '短评打分': 3}
{'短评内容': '其他都好，就是晚上窗户外面空调挂机的声音比拖拉机还要响，炒的睡不着。', '短评打分': 4}
{'短评内容': '位置好，服务不错，特别是天线网络很给力，停车也方便！', '短评打分': 4}
{'短评内容': '酒店环境卫生很不错，服务态度很好', '短评打分': 5}
{'短评内容': '酒店设施比较简单，但该有的都有了，比较干净。早餐也还说的过去。房间里一张大床，一张小床，挺适合一家三口居住。', '短评打分': 5}
{'短评内容': '总体来说算是不错的了，比较干净，房间有特色', '短评打分': 5}
{'短评内容': '酒店价格与档次不匹配，设施一般，餐厅价格太高，早餐也不行，下次不会入住。不值得推荐。', '短评打分': 1}
{'短评内容': '200元还行，房间基本干净，隔音一般，早上隔壁的小女孩大叫就把我们吵醒了。\n早餐相比锦江之星还是差一截，但在太平和青阳一带的酒店来说还可以', '短评打分': 5}
{'短评内容': '还不错，价钱还算合理，原木装饰也算干净。值得出差去的朋友投宿。', '短评打分': 5}
{'短评内容': '不错，从北侧上山不错的选择，dgsdfgsdfgsdfgsdfgsdfgsdfg', '短评打分': 5}
{'短评内容': '酒店有个大停车场，停车很方便，地理位置不错，出行方便，房间卫生条件不错，打扫的很干净，舒适都还可以的', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店距离黄山北门比较近，如果上山的话是个不错的选择，房间装修的比较简单，卫生条件很好，很干净，性价比也很高。', '短评打分': 5}
{'短评内容': '酒店卫生间的淋浴房是鹅卵石，洗澡蛮舒服的，酒店位置不错，离黄山风景区很近，出行还是很方便的', '短评打分': 5}
{'短评内容': '还行吧，淋浴间还有脚底按摩，不错。不过电视就差点了，旧了点……', '短评打分': 5}
{'短评内容': '房间挺宽敞，感觉温馨舒适。', '短评打分': 5}
{'短评内容': '位置不错，去景区逛很省事，蛮方便的。', '短评打分': 5}
{'短评内容': '个人对位置还是比较满意的， 因为离黄山风景区很近，坐车一会儿就到了。', '短评打分': 5}
{'短评内容': '淋浴房设计的挺人性化，地上是鹅卵石， 累一天回来在上面按摩按摩，洗个澡，很舒服。', '短评打分': 5}
{'短评内容': '不大喜欢这家酒店，设施很一般，卫生也一般，室内味道现在还难忘！', '短评打分': 1}
