{'短评内容': '早餐门口很多，同比周围的酒店还不错', '短评打分': 5}
{'短评内容': '房间很大，但是卫生很差，部分不常用空间有灰尘就算了，洗漱台竟然也不是很干净，热水要放很久，糟糕的一次入住～～', '短评打分': 3}
{'短评内容': '服务不好。除了房间大。热水好。', '短评打分': 3}
{'短评内容': '卫生一般，价格便宜', '短评打分': 3}
{'短评内容': '房间很大，', '短评打分': 4}
{'短评内容': '如果大家要入住这里的话，希望自己把。洗漱用品，毛巾啥的啊，都自己把他带上啊。为什么呢？俺卫生条件，我就不用再说了啊，他消没消过毒，洗没有洗干净，这个东西儿你们自己来了自己看了就知道了啊，我就不用多说了哈。还有啊，门是不能反锁的啊，万一那个服务员啊，或者是啥的，也不小心啊，打开了之后啊，那不知道会发生什么事情啊？', '短评打分': 5}
{'短评内容': '这里门不能反锁，真的不能反锁啊，洗漱用品，建议大家啊，建议大家自己带啊，卫生条件我就不多说了啊。', '短评打分': 5}
{'短评内容': '今一大早出租车你的时候自带洗漱用品。，这里的门不能反锁，卫生条件可能不是那么好。对卫生条件要求稍微有那么一点点高的就不要来了。这里的门坏的地板坏的。，反正卫生条件不咋地', '短评打分': 5}
{'短评内容': '建议大家入住这里的时候，自带洗漱用品，这里的门不能反锁，服务员随时可以打开', '短评打分': 5}
{'短评内容': '建议大家说说，这里请自带洗漱用品，等等，为什么呢？你们懂的', '短评打分': 5}
{'短评内容': '建议大家住这的的时候自带毛巾等等生活用品，不要问我为什么，你们懂得。', '短评打分': 5}
{'短评内容': '环境太一般，住了个豪华标间，门钥匙是个铁牌，不知道多少年前的，厕所门坏的，马桶盖坏的，位置也不好找，停车还收费，只是价格在这个地段比较便宜，服务态度也还可以', '短评打分': 3}
{'短评内容': '貌似不错的一家酒店值得一试', '短评打分': 5}
{'短评内容': '很好 京东值得信赖', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '房间及厕所卫生很差，但地理环境不错，房间很大，适合一家三口或四口。价格低廉，满足了吧！', '短评打分': 3}
{'短评内容': '一般  热水器不能好好用  ', '短评打分': 4}
{'短评内容': '房间大  周围环境好 但是卫生一般 床单有污渍   总的来说比较满意', '短评打分': 5}
{'短评内容': '设施陈旧，价格不算便宜，卫生不好，枕头上都有污渍，出门在外，其实不那么讲究，但是卫生条件一定要好，这家以后都不想去了', '短评打分': 4}
{'短评内容': '处于立交桥下有些偏僻，房间卫生一般般，设施太简陋，被子潮湿，感觉不会去第二次了。房间大，反而显得空荡荡的。', '短评打分': 3}
{'短评内容': '感觉有点像家庭旅馆。', '短评打分': 5}
{'短评内容': '到店时由于酒店跟携程之间的沟通问题，造成原来订的房型没有了，后来酒店及时升级了房型，没有影响入住，可以接受。反而携程承诺的客户经理的回访没有结果，更没收到差额退款！', '短评打分': 4}
{'短评内容': '房间靠近立交比较吵…没有无线…', '短评打分': 4}
{'短评内容': '交通便利，环境好。房间大。', '短评打分': 5}
{'短评内容': '各项都一般！', '短评打分': 3}
{'短评内容': '服务欠佳，但只为这里方便，也没有以前那么卫生了。下次可能会考虑旁边的酒店。。', '短评打分': 1}
{'短评内容': '一般。\n优点，地理位置好，房间大。有馒头稀饭早饭吃。\n缺点：装修，设施一般。', '短评打分': 5}
{'短评内容': '地方倒是很好找，介绍说免费停车，去了才发现免费停车已经改为收费过夜停车了，酒店房间装修各异，其实是租的旧房改造而成的酒店，设施陈旧，浴室的浴霸灯泡都没有，其他家具看上去也很旧很脏的感觉。免费早餐是隔壁的沙县小吃。服务态度也不好。', '短评打分': 1}
{'短评内容': '好棒，好有家的感觉。非常棒的酒店', '短评打分': 3}
{'短评内容': '＋酒店位置好，周围进出很方便。', '短评打分': 3}
{'短评内容': '条件比较简陋，价格比较便宜，卫生还是打扫的挺干净的', '短评打分': 1}
{'短评内容': '还不错.环境挺好.就是服务态度一般', '短评打分': 3}
{'短评内容': '经济实惠，值这个价钱，以后还会订这个酒店', '短评打分': 5}
{'短评内容': '还是比较实惠，各方面也比较方便，以后出差还选择这家酒店。', '短评打分': 5}
{'短评内容': '\u3000环境很一般。舒适度中等偏下。', '短评打分': 3}
{'短评内容': '环境干净整洁 很宽敞还能加床位', '短评打分': 3}
{'短评内容': ',好，交通方便。', '短评打分': 3}
{'短评内容': '房间很大，对于这个价位的房间来说已经很不错了。只是服务较慢而且网速很一般。', '短评打分': 5}
{'短评内容': '地理位置不错比较集中 去哪里都比较方便，另外酒店的卫生还好，比较相因。总之很实惠。可以推荐', '短评打分': 5}
{'短评内容': '环境不错！有种回家的感觉！呵呵！以后加班还会住那。', '短评打分': 5}
{'短评内容': '公寓式管理酒店，如果你在高新区这办事，很方便，房间设施齐全，还有厨房，就是电视机太旧了，性价比较高，房间特大。有50多平米', '短评打分': 5}
{'短评内容': '位于永丰立交桥边，交通方便，标间面积舒适，价格合理,适合接待亲朋好友', '短评打分': 5}
{'短评内容': '交通方便\n公寓式酒店\n简单干净有厨房 比较隔音', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '位置好，房间大，性价比还可以，就是细节还不行，水压因为楼层高不够，早晨起来还停电了', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
