{'短评内容': '早餐一般，环境真心不错', '短评打分': 4}
{'短评内容': '我服务态度很好，房间沒有一次性拖鞋，订了两间房，是有阳台的，能听到流水的声音，早餐味道一般，晚餐点了烤鱼的套餐，份量挺足，价格也不算凑，酒店景色也还行', '短评打分': 5}
{'短评内容': '我服务态度很好，房间沒有一次性拖鞋，订了两间房，是有阳台的，能听到流水的声音，早餐味道一般，晚餐点了烤鱼的套餐，份量挺足，价格也不算凑，酒店景色也还行', '短评打分': 5}
{'短评内容': '房间隔音效果不好，电视信号也不好，周边环境还是不错的！适合散步。希望硬件加强', '短评打分': 4}
{'短评内容': '体验很差', '短评打分': 1}
{'短评内容': '环境很安静，也比较便宜，下次还来', '短评打分': 5}
{'短评内容': '环境很安静，设施很齐全，适合出游', '短评打分': 5}
{'短评内容': '很好主要环境很优美', '短评打分': 5}
{'短评内容': '还可以。', '短评打分': 4}
{'短评内容': '景色真的很美，房间设施和几年前比已经旧了', '短评打分': 5}
{'短评内容': '环境不错，不过冬天去太冷，几乎没人，除了房间有空调，餐厅大厅都没，太冷了，不过其他季节去是个性价比很高的地方！', '短评打分': 4}
{'短评内容': '环境不错，离市区较远，适宜休闲', '短评打分': 4}
{'短评内容': '酒店的设施对不起这个价格，环境倒是不错，只是周边没有吃饭的地方，不方便！', '短评打分': 3}
{'短评内容': '    现在感觉九天峰只准备做团队的了，一点品质都没有了。最近几次去都是住的冠景，但因为这边离老家距离较近，这次就又住了次。哪料到，房间晚上睡觉总感觉有股怪味从卫生间飘出来，卫生间地下还有装修遗留的水泥痕迹，洗澡间水龙头固定不住，洗着洗着就往下掉。房间只配了塑料拖鞋，一次性拖鞋没有。第二天早晨吃早饭的地方也换场子了，原先能看到湖景的餐厅，现在改到隔壁换成大圆桌了，而且早晨7点30就一大堆团队就餐的', '短评打分': 4}
{'短评内容': '环境很多棒，非常适合一家人出来度假。卫生条件差强人意，望改进', '短评打分': 5}
{'短评内容': ' 来的比较巧，这个时候正好是度假村一年中景色最好的时节。环境很美，酒店服务还是不错的，房间面积比较大，依山傍水，感觉很放松（下', '短评打分': 3}
{'短评内容': '度假村地理位置比较偏僻，有点难找。入住的第二天没有及时打扫，晚上房间网络突然出现断网，反映出度假村的管理还需要进一步完善，但酒店服务总体还算不错。', '短评打分': 5}
{'短评内容': '太偏，交通极不方便，环境尚可。服务马马虎虎，先给安排了一间风景不错，后来又给换了说没安排好。搞不清状况。', '短评打分': 5}
{'短评内容': '很不错的休闲酒店，环境自然美丽，就是用餐不太方便。', '短评打分': 5}
{'短评内容': '酒店环境很好，处在青山绿水之间。服务很热情周到，真想不到在滁州还会有这样高品质服务的酒店。晚上我们还在灯光网球场打了场网球，那感觉简直太赞了！下次会约朋友一起来玩的。', '短评打分': 5}
