{'短评内容': '可以，不错', '短评打分': 5}
{'短评内容': '装修太旧，很差，什么瓷砖掉了的都有！', '短评打分': 3}
{'短评内容': '非常好的好的。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店就像迷宫一样', '短评打分': 2}
{'短评内容': '一般吧，', '短评打分': 3}
{'短评内容': '只能说一塌糊涂来形容，房间太破旧，服务一般，里面还有未知的衣服在洗手台下方', '短评打分': 1}
{'短评内容': '酒店靠近火车站，离周边景点比较近，交通方便门口停车很方便场地比较大，旁边就有两家餐馆家本地口味一家西北风味，味道都很不错喜欢地风味那家，酒店卫生不错房间够大。', '短评打分': 4}
{'短评内容': '很不错的选择', '短评打分': 5}
{'短评内容': '房间卫生还可以，旁边有个面馆味道不错。过马路向东100米，马浜花园有条街里面吃饭的地方很多。住在这个酒店还挺方便的。档次虽然不高', '短评打分': 4}
{'短评内容': '服务很好！每天送礼物', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '挺好。', '短评打分': 5}
{'短评内容': '吃饭不太方便，没有早餐', '短评打分': 4}
{'短评内容': '标准间离马路太近，吵', '短评打分': 4}
{'短评内容': '设施太旧了，环境也不咋地', '短评打分': 4}
{'短评内容': '还可以，也比较干净，位置也不错，就是早上没热水。', '短评打分': 5}
{'短评内容': '地段一般,服务一般,环境一般,价格也差不多,反正及时一家很中庸的旅店,不好也不差', '短评打分': 5}
{'短评内容': '周边是汽车城 找吃的不是很方便 房间设施比较旧 地板还有塌陷 卫生间非常简陋 ', '短评打分': 1}
{'短评内容': '室内设备不好\u3000', '短评打分': 3}
{'短评内容': '环境不错环境不错环境不错环境不错环境不错环境不错环境不错环境不错', '短评打分': 5}
{'短评内容': '一般了，不过设置全，总得来说对得起价格，可以考虑', '短评打分': 5}
{'短评内容': '酒店的服务不是很到位 有欺骗行为 房间的味道很重', '短评打分': 1}
{'短评内容': '不是一般的差，前台服务混乱，办理入住最起码用了十五分钟，自己的笔还老是找不到，给了身份证又和我要，水平太差了，没有空房接待就不要乱接待，换了个所谓的套房，有麻将机的，暂不说没窗户通风不好，还吵的要命，交通也不好，风沙也蛮大，环境不好，下次绝不会再来了，太差了。以后还是住经济型连锁快捷酒店比较好，这次是没办法了，别的地方都注满了&#183;&#183;&#183;没意思', '短评打分': 1}
