{'短评内容': '老宾馆了', '短评打分': 3}
{'短评内容': '房间大，干净，清爽', '短评打分': 5}
{'短评内容': '房间大，干净，清爽', '短评打分': 5}
{'短评内容': '房间大，干净，清爽', '短评打分': 5}
{'短评内容': '环境很好，价格合适！', '短评打分': 5}
{'短评内容': '服务很好，非常方便。', '短评打分': 5}
{'短评内容': '去成都路过住的，还不错，性价比高', '短评打分': 5}
{'短评内容': '房间设施、周边环境、酒店服务、设施设备等方面都很好，周边景点也多，可以游玩。', '短评打分': 5}
{'短评内容': '很大一间', '短评打分': 5}
{'短评内容': '早餐不太好。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '周边环境也不错，喜欢这样', '短评打分': 5}
{'短评内容': '环境很好，喜欢', '短评打分': 5}
{'短评内容': '洗澡的玻璃门少了一扇，水都溅到卫生间地上。洗漱用品一般，周边环境还可以。', '短评打分': 5}
{'短评内容': '路过住价格合理', '短评打分': 4}
{'短评内容': '酒店设施，周围环境都非常好，离景区也很近。但是景区整修不开放，非常遗憾。', '短评打分': 5}
{'短评内容': '不错不错，性价比超高。', '短评打分': 3}
{'短评内容': '酒店条件很好，设施齐全，干净卫生，看起来很新。房间比较大，床也很宽。', '短评打分': 3}
