{'短评内容': '我定的没有早餐，但也可以，酒店不错哦。感谢老板，如果要提什么意见的话，酒店的洗涮用品可以再高大上电，', '短评打分': 4}
{'短评内容': '总体感觉性价比还好', '短评打分': 4}
{'短评内容': '还行，便宜', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '本来是想住一天如果可以就接着住 住个十天左右的 但是 恕我直言 住不下去了……开始定的跃层单间 进去感觉破破烂烂的 倒是不脏…然后二楼是床 还有个储物间 吓死人了 床旁边就是黑漆漆的储物间 我很方阿……换了平层大床房 依然可怕 想退也退不掉 整晚开灯开电视睡的………', '短评打分': 3}
{'短评内容': '没有空调，陈旧！', '短评打分': 3}
{'短评内容': '房间真的不错，住着舒服，下次再住', '短评打分': 5}
{'短评内容': '周边环境方便，设施比较陈旧。', '短评打分': 5}
{'短评内容': '周边环境方便，设施比较陈旧。', '短评打分': 5}
{'短评内容': '周边环境方便，设施比较陈旧。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '一般。', '短评打分': 4}
{'短评内容': '很好，多次入住，棒棒哒！', '短评打分': 5}
{'短评内容': '朋友住的他说可以。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '还是不错的，不过晚上有点吵', '短评打分': 5}
