{'descr': '交通便利，好找，附近吃的挺多', 'star': 5}
{'descr': '房间舒适，干净安全，交通方便，适合入住', 'star': 5}
{'descr': '去北京理工大学办事，很近，就在马路对面。房间很干净。', 'star': 5}
{'descr': '地理位置不错', 'star': 5}
{'descr': '酒店不错，但是通过携程预定比直接去门店订还贵，而且订了就不让我退，以后再也不用携程遇到酒店了。', 'star': 4}
{'descr': '位置很不错', 'star': 4}
{'descr': '住了好几次了，周边环境和酒店服务都不错，装修时间有点长了，设施比较旧，面盆龙头是活动的，大门反锁很困难，热水需要等好久才能有。个人觉得床单不算特别干净。以上缺点希望今后能够改进。', 'star': 4}
{'descr': '可以啊！啊！。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '不错，环境，就是靠路边', 'star': 5}
{'descr': '无故被取消订单，体验极差', 'star': 1}
{'descr': '床挺大，设施还行，但床单不干净。', 'star': 5}
{'descr': '考研这几天够贵的，都600多了，不过谁让离得近呢，里面还可以，为了近什么都值。', 'star': 5}
{'descr': '离外院很近，后院可存车。', 'star': 4}
{'descr': '酒店干净 位置不错 靠着北理工还有北外 附近吃的地方很多位置不错，也很好找，只是面积比有些店小一些。房间环境不错网络满给力。', 'star': 5}
{'descr': '考雅思住这儿了，挺安静的，离北外好近。进酒店内部要刷房卡，感觉很安全，也没被塞小卡片，就是装修略单调。不过对7天要求装修好像也没啥意义....', 'star': 5}
{'descr': '离大学近这个价格凑合住 但是太吵了 睡眠轻一晚上没睡好', 'star': 4}
{'descr': '不错 还可以 ', 'star': 5}
{'descr': '为了去北大口腔医院，选择的。', 'star': 4}
{'descr': '房间很小，设施挺旧的，性价比不高。', 'star': 4}
{'descr': '比较干净，服务还可以，周围很方便。', 'star': 4}
{'descr': '比较干净，服务还可以，周围很方便。', 'star': 4}
{'descr': '下午5点得知航班取消，马上联系酒店，希望能够退房。结果酒店方一定要求开具航班取消证明照片，还必须马上提供，只好让朋友打车去机场开了证明，我自己去赶火车去北京。结果酒店方又说证明没有写明航班取消方面的内容，格式不对！天哪，这可是东航标准的证明模板填写的，还盖了章！七天的服务人员素质太差，应急公关能力太低，不给退房费也不要乱找理由，折腾人！朋友往返机场的士费都抵酒店一天的房租了！', 'star': 2}
{'descr': '非常不错！', 'star': 5}
