{'短评内容': '真的在他们当地算是不错的。不过连热水都没有', '短评打分': 2}
{'短评内容': '真心不错，交通便利。购物就餐特近。离古城也近游玩方便。', '短评打分': 5}
{'短评内容': '设施太旧', '短评打分': 1}
{'短评内容': '周边环境很便利，内部的设施有些偏老旧。', '短评打分': 5}
{'短评内容': '三星级酒店只能说是3年前的三星级。设施确实是很全，很高端，但是用的时间比较长了，很陈旧了。价格和服务确实很到位，赞一下吧。', '短评打分': 5}
{'短评内容': '感觉还不错', '短评打分': 4}
{'短评内容': '电脑不能用', '短评打分': 5}
{'短评内容': '凑活一般', '短评打分': 4}
{'短评内容': '有点正在装修，这个硬件还是小查，这个不知道！', '短评打分': 3}
{'短评内容': '设施太破旧，柜子门没有一个是好的，脏乱差，香皂也不提供，吹风机也没有，价格还挺贵。对了，还不能刷卡，带的现金不够，去银行取钱，结果旁边的建行不能跨行取钱，最后网上转账的。', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '住在宾馆感觉还可以，去火车站只有几步远，去平遥古城也不算远。宾馆早上的免费早餐还是很干净精致的。只是卫生间的抽水马桶有点问题，该修了', '短评打分': 3}
{'短评内容': '卫生条件不是一般的差！  浴巾和毛巾都可以当抹布了。  而且，整晚上都能听到对面火车站火车汽笛的声音，早上6点多，就有人在楼道大声喧哗，服务员7点左右就开始在楼道大声说话了，几乎整夜未眠！', '短评打分': 1}
{'短评内容': '不错，服务挺好的', '短评打分': 3}
{'短评内容': '位置很好的招待所，在旅游景区算是价廉物美了。早餐很简单。。。', '短评打分': 5}
{'短评内容': '  不错。性价比可以', '短评打分': 3}
{'短评内容': '酒店还行', '短评打分': 3}
{'短评内容': '绝对物超所值', '短评打分': 3}
{'短评内容': '价钱还合适。位置不错，就在火车站对面。还有阳台。住了两天，感觉不错。不过暖气有时候不太足。冬天还是有点冷。', '短评打分': 5}
{'短评内容': '第二次入住这里的，图的就是个方便，地理位置很好。最值得推荐的是，它家的餐厅相当不错。还有免费宽带。性价比很高。', '短评打分': 3}
{'短评内容': '第二次入住这家了，图的就是方便，还有免费宽带，挺不错的。', '短评打分': 5}
{'短评内容': '位置较好,离车站近,设施一般,早餐尚好,但夏天房间有蚊子得小心.', '短评打分': 3}
{'短评内容': '位置方便,设施卫生一般,住的临街房间隔音差。', '短评打分': 5}
{'短评内容': '环境还可以。位置比较好。', '短评打分': 5}
{'短评内容': '希望不要介绍电瓶车，比较骗人', '短评打分': 5}
{'短评内容': '卫生不好，床下有没有清扫的垃圾。设施有点旧，卫浴漏水。位置还行，离古城不远。早餐尚可。', '短评打分': 3}
{'短评内容': '床底下有瓜子皮等脏物，卫生间淋浴漏水。', '短评打分': 1}
{'短评内容': '位置方便,酒店各方面也都挺好的,很干净,住着比较舒适的,就是如果上网的话,还需要向前台要网线,直接放在房间里会比较方便.', '短评打分': 3}
{'短评内容': '地理位置非常方便，在火车站对面，步行至古城只需10分钟左右。我们住的是豪华标间，房间设施还算齐全，免费宽带很方便（网线需在前台索取）。卫生条件不错，洗手间淋浴设施比较新，喷头水流挺大。唯一遗憾是淋浴区地面没有跟抽水马桶区隔离，淋浴后再进入卫生间的话要十分小心，地面有积水，容易滑倒。服务不算很热情，但可以感觉出服务员都比较实在，有什么要求找到他们都能努力帮助解决。', '短评打分': 5}
{'短评内容': '酒店的设施差，服务很一般，地理位置不错，离古城很近', '短评打分': 5}
{'短评内容': '价廉物美，服务不错。', '短评打分': 5}
{'短评内容': '适合度假', '短评打分': 5}
{'短评内容': '酒店后面有个工地，登记时服务员说晚上肯定会停，我们想换不靠工地的另外一边，说已经住满了。可工地整个晚上都在施工，我们晚上实在受不了，才把我们带到另外一面，她们这样的态度实在太恶心了！', '短评打分': 1}
{'短评内容': '位置还好，离古城很近。可能是酒店时间长了，设施已经老化。热水需要放很长时间才有。隔音不好，半夜12点多，服务员还在楼道里叽叽喳喳闹个不停。', '短评打分': 3}
{'短评内容': '还有一点需要提醒刷卡一族关注，该酒店结帐速度很慢，好象不接受信用卡。', '短评打分': 3}
{'短评内容': '我们一行三人于2007年4月14日星期六下午入住该酒店，前台服务人员还算热情。酒店楼层不高，无电梯，是螺旋型楼梯。三人间房间内还算干净整洁。美中不足的是，在楼层未看见服务人员，需要自已动手灌开水。房间与火车站一条马路之隔，不时伴有火车的轰鸣声。离古城有一段距离，步行大约十分钟。&lt;br /&gt;\n该酒店适宜时间比较紧张的游客，只作为临时的落脚点，进出方便。', '短评打分': 3}
