{'短评内容': '名不副实，性价比很低！典型的景区酒店。', '短评打分': 2}
{'短评内容': '房间还行，但价格偏高，性价比相对就差一些。', '短评打分': 3}
{'短评内容': '房间设施有待进一步加强', '短评打分': 4}
{'短评内容': '最美乡村，就是有点冷，开发票需要手续费，头一次遇到这样的酒店', '短评打分': 1}
{'短评内容': '大床房就是标间两个床拼在一起的，中间都是空的，电视插头也是坏的，电视也看不了。毛巾看着也不是很干净。酒店设施什么都没有图片号。', '短评打分': 2}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很不错，朋友很满意。', '短评打分': 5}
{'短评内容': '酒店的地理位置还可以酒店还算干净吧价格也实惠', '短评打分': 5}
{'短评内容': '酒店就在集散中心对面，抢购价119元，房间挺大，就是房间插座太少，卫生间排风扇已坏，总的来说，这个价钱是物有所值的。', '短评打分': 4}
{'短评内容': '挺好的！大家很开心', '短评打分': 4}
{'短评内容': '上山方便，就是有点潮湿，可能山里雾大的缘故', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '一般房间小。贵', '短评打分': 4}
{'短评内容': '价格高了些，但是在景区也没有办法，总体还不错', '短评打分': 5}
{'短评内容': '房间内有股臭味，设施很旧，比较脏，早餐时也听其他客人也这么议论，说一晚没睡。牙刷没封口，拿出来细看象是用过放进去的，很恶心，价格也不便宜。', '短评打分': 1}
{'短评内容': '非常失望，本来定的两个晚上，一下车就感觉到环境不好，进到房间后感觉性价比严重不匹配，于是下楼到隔壁168看了一下，同样的房间比这边干净多了，设施也比他家新，价格比他便宜了288元，含早餐才200元，如果不是有担保，肯定要退房，于是果断觉得只在他家住一晚。', '短评打分': 1}
{'短评内容': '房间还不错', '短评打分': 3}
{'短评内容': '房間不錯，對比周邊其餘酒店，性價比是比較高的', '短评打分': 3}
{'短评内容': '酒店大堂很干净，员工很热情，房间也很干净，应该是新装修的吧，不错，不错。', '短评打分': 5}
{'短评内容': '对于旅游城市酒店来说已经很不错了，前台和楼层服务员非常热情，还可以代买婺源旅游通票，比对面“集散中心”便宜。也帮我们联系到三清山的登山号，感谢啦！\n不过房间里卫生纸太少，希望改进。还有早餐真有点差，改进一下吧。\n去婺源几大景点的交通非常便利，非常值得推荐。', '短评打分': 5}
{'短评内容': '该酒店性价比一般，空调声音太大太吵，淋浴房也太小。', '短评打分': 3}
{'短评内容': '酒店性价比较高,房间布置不错.早餐一般,房间送餐服务不错.', '短评打分': 5}
{'短评内容': '与其说是酒店不如说是招待所，内部设施较为陈旧且带有些许霉味，卫生间的淋浴头都坏了。更离谱的是还接到了异性按摩电话！真是惊喜啊！', '短评打分': 1}
{'短评内容': '一楼有一个餐厅，但是没有营业，早饭要去外面吃。酒店往南一个红绿灯路口的东边，有一个叫味府的饭店还不错，可以去那里吃晚饭', '短评打分': 1}
{'短评内容': '我們住的是三人間，房間很大。性價比高。位置較偏點，周邊吃喝較不方便。', '短评打分': 5}
{'短评内容': '宾馆很新有电脑很不错。就是感觉床太硬不舒服', '短评打分': 3}
{'短评内容': '酒店地理位置很好，进入婺源县城很好找，而且去东线和北线很方便。房间也很宽敞、干净。美中不足的是，早餐差一些。', '短评打分': 5}
{'短评内容': '房间很大，看起来挺高档。早餐凉，床硬。总体不错了，推荐', '短评打分': 3}
{'短评内容': '感觉不错', '短评打分': 3}
{'短评内容': '没想像中的好', '短评打分': 3}
{'短评内容': ' 房间可以 但服务软件跟不上', '短评打分': 3}
