{'短评内容': '酒店位置很好', '短评打分': 5}
{'短评内容': '环境很一般', '短评打分': 3}
{'短评内容': '其他的都还不错，就是网络太差', '短评打分': 5}
{'短评内容': '很方便，酒店很不错', '短评打分': 5}
{'短评内容': '嗯，很好多不错。', '短评打分': 5}
{'短评内容': '各方面很一般的酒店，略失望。', '短评打分': 5}
{'短评内容': '很不错，房间大，还有阳台。', '短评打分': 5}
{'短评内容': '每次住这', '短评打分': 4}
{'短评内容': '酒店服务好，干净整洁！', '短评打分': 5}
{'短评内容': '房间卫生很不错，很干净，周边也有许多饭店，环境挺好，房间里挺安静的，酒店前台接待很客气，服务态度很好，房间设施都不错，反正比连锁酒店好', '短评打分': 4}
{'短评内容': '感觉还是很不错，不过我自己对酒店用地毯不喜欢，靠路边有点吵，房间还是比较大，所以感觉还是比较舒服，努力吧', '短评打分': 5}
{'短评内容': '阔以', '短评打分': 5}
{'短评内容': '真的还不错', '短评打分': 5}
{'短评内容': '早餐不太好，其他都不错', '短评打分': 4}
{'短评内容': '房间还可以，靠近近软件园。 吃饭比较方便，选择多。 酒店服务还好， 好评。 房间有瓶装水。 早餐可以先看一下再决定是否需要，很好的服务提醒。', '短评打分': 4}
{'短评内容': '住了三个晚上 第一晚洗澡没有热水  旁边就是马路 挺吵的 还有就是网络不好 一直断', '短评打分': 5}
{'短评内容': '交通方便，适合个人商务出行。', '短评打分': 4}
{'短评内容': '不错，住了才知道', '短评打分': 3}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '住着瞒舒服的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错，下次还会了回来的', '短评打分': 4}
