{'短评内容': '酒店不错.很干净:).服务也很好,前台很热情', '短评打分': 3}
{'短评内容': '这个酒店离车站不远，周围吃的东西也比较多，感觉还可以。', '短评打分': 5}
{'短评内容': '在海湾边上，新开的酒店。房间比较宽敞，就是洗手间设计太不合理了，整个一狭长形。', '短评打分': 5}
{'短评内容': '酒店位置不错 交通很方便 价格也很合理,生间和房间的透明窗比较赞 ', '短评打分': 3}
{'短评内容': '位置出行也比较方便。整个酒店看起来很舒适，干净又整洁', '短评打分': 5}
{'短评内容': '感觉不错。但是提两点建议：\r\n1. 前台一位女服务员的应变能力有待于提高。Check-in当天客人蛮多的，进去的时候招呼了一声让我出具身份证，之后所有人都走了，还不理我，直到我问她忙完了没有。结果也不是她来接待，是个男士帮我办理的。\r\n2. 房间里有蚂蚁，特别是卫生间。\r\n\r\n感觉门童不错，干活很积极、热心！！', '短评打分': 5}
{'短评内容': '房间特别小说是可以看到海景但是根本看不到，卫生设施还是相对比较好，价格我觉得还行关键房间比较小。', '短评打分': 1}
{'短评内容': '服务认真到位，环境还是挺不错的酒店。', '短评打分': 5}
{'短评内容': '房间色彩很好，搭配的很舒适，入住起来也比较温馨。', '短评打分': 5}
{'短评内容': '酒店靠近海边，周围环境还可以。位置出行也比较方便。', '短评打分': 5}
{'短评内容': '酒店的环境很好，房间布局设计都很舒适，采光也很不错。', '短评打分': 5}
{'短评内容': '整个酒店看起来很舒适，干净又整洁。配置也比较全，餐厅停车场都有。', '短评打分': 5}
