{'短评内容': '安静 雪野湖首选', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': 'I with my husband likes live here hotel ', '短评打分': 5}
{'短评内容': '房间很大，周边环境还可以，但是wifi很差，根本没法用，洗澡水不热，勉强洗。早餐也不是自助，每人给一份而已，品种很少。', '短评打分': 3}
{'短评内容': '很好、很好', '短评打分': 5}
{'短评内容': '环境好，酒店硬件好，服务需要加强', '短评打分': 5}
{'短评内容': '性价比高。', '短评打分': 5}
{'短评内容': '湖边很舒服，很安静！很适合发呆的地方！', '短评打分': 4}
{'短评内容': '总体不错，亲子旅游价格实惠。服务也不錯，周边吃饭很坑人，不如在酒店吃干净价格合理。酒店有淘宝宝小朋友喜欢', '短评打分': 4}
{'短评内容': '好好好哈哈哈笑起来好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 4}
{'短评内容': '觉得我这还是不错嘛', '短评打分': 4}
{'短评内容': '住了这么多酒店，这次不给差评都对不起自己，卫生差卫生差卫生差！重要的事情说三遍。所有毛巾浴巾浴袍都是黄色的，好像擦鞋的，洗漱台上的面巾纸盒子里竟然装的卫生卷纸！无线网络完全连不上，房间灯光有问题，晚上快十点了抗个梯子来修灯，跟服务员说房间刚入住可不可以换个房间，开始被拒绝，还让我自己拖落地灯到桌子前照亮？！后来几次跟前台交涉才给换了房间。硬件不错可惜败给了服务，不会再来，打算去住的，建议非要挑战极', '短评打分': 2}
{'短评内容': '环境很不错喔，就是湖景标间在一楼，风景不好，设施蛮高端的，会再次入住哒～', '短评打分': 5}
{'短评内容': '红红火火恍恍惚惚哈哈哈', '短评打分': 5}
{'短评内容': '还不错，地理位置也好', '短评打分': 5}
{'短评内容': '环境很好，设施不错，房间大。就是离市区很远。', '短评打分': 5}
