{'短评内容': '大床房还不错，干净清爽。', '短评打分': 5}
{'短评内容': '位置太方便了，出了地铁口就是。带着宝宝出门，服务非常周到，提出的换房要求都满足了，尽心帮助找到最满意的房间。', '短评打分': 5}
{'短评内容': '还是很不错的', '短评打分': 5}
{'短评内容': '标间还是我不错的，价格有点小贵', '短评打分': 5}
{'短评内容': '隔音太差了', '短评打分': 5}
{'短评内容': '一般 房间太小了。', '短评打分': 5}
{'短评内容': '服务态度还可以，交通便利。价格太贵了。', '短评打分': 5}
{'短评内容': '离地铁口很近，方便出行，服务好，干净。', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '很耐心，然后为客户着想', '短评打分': 5}
{'短评内容': '不错，很好。。。', '短评打分': 5}
{'短评内容': '很干净，就是价格有点贵，还可以', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '中规中矩,总体推荐.', '短评打分': 4}
{'短评内容': '感觉汉庭还是不错的，服务什么的挺好的。', '短评打分': 4}
{'短评内容': '离地铁非常近，交通方便。', '短评打分': 5}
{'短评内容': '位置挺好，地铁口，除了周边公交不方便，坐地铁还是很方便的，早餐还可以，只是房间不含早餐，另外付钱买的，床很舒服，有一点极其不满意，第一次给的房间，进去一股味，很浓很浓，呛的嗓子痛，我还以为是装修的原因，呆了一个多小时，实在受不了，找前台，换房，前台说是杀虫剂，我晕，喷了那么浓的杀虫剂，竟然没有开窗放放气，就让人入住，很不满意，对顾客身体太不负责，我不习惯给差评，也就不给差评了，以后一定要注意！', '短评打分': 5}
{'短评内容': '还行挺方便。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '选的零压大床，服务可以，房间撒了花露水，异味还是比较大', '短评打分': 4}
{'短评内容': '酒店设施一般，床垫睡着不平整', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '交通便捷，服务周到！下次还来入住！', '短评打分': 5}
{'短评内容': '新店，很干净，地点好，地铁就在楼下，太方便了。据南站一站路。', '短评打分': 5}
{'短评内容': '交通很方便，服务也好，大床房的浴室是全透明的，非情侣住的话比较尴尬。', '短评打分': 5}
{'短评内容': '很不错的酒店，住的很满意，很干净，水也很热，最主要是离地铁口太近了，交通方便呀！', '短评打分': 5}
{'短评内容': '交通很方便，离地铁4号线C出口也就30米左右。房间里很温馨，支持。', '短评打分': 5}
{'短评内容': '迄今为止住的离地铁最近的酒店，超新的，就是一定要预订，来晚了就没有房了，北京房火啊，还有停车场，以后来北京开车火车都可以住了，前台服务员态度很高，就是业务不熟啊，可能是新开的缘故，希望尽快加强业务，看到很多住客态度的特恶劣的数落他们我都心疼，态度还是那么好，何苦呢，抓紧练业务吧，说句题外的，咱住的是快捷，真不知道怎么那么多人都拿自己这么当爷，以为住的丽丝卡尔顿的吧？？！你给那钱了么？对服务员跟教育', '短评打分': 5}
{'短评内容': '地方不错，新店，房间很大很干净！很不错的快捷酒店！', '短评打分': 3}
