{'短评内容': '好好', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '酒店位置不错，就是设施有点老了，住着还可以', '短评打分': 5}
{'短评内容': '很好很喜欢', '短评打分': 5}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '酒店环境很好 房间也很卫生', '短评打分': 5}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '挺好的，交通也方便', '短评打分': 5}
{'短评内容': '服务好', '短评打分': 5}
{'短评内容': '很不错，房间设计很有特色，就是毛巾旧了点，该换了。', '短评打分': 5}
{'短评内容': '出差住住还不错。地理位置可以。', '短评打分': 4}
{'短评内容': '各方面设施很一般，信价比一般', '短评打分': 3}
{'短评内容': '总体来说还是比较不错的。', '短评打分': 4}
{'短评内容': '大床比双床的房间好些，整体不错，性价比蛮好蛮高的，每人加10元可以吃早餐', '短评打分': 4}
{'短评内容': '帮妈妈订的，一开始的双床房妈妈说不好，wifi信号也不好，后来就和前台说换了大床房，服务还不错，整体也蛮干净的', '短评打分': 4}
{'短评内容': '地段不错  边上就是步行街   酒店的餐厅也很实惠', '短评打分': 5}
{'短评内容': ' 很好，一直住这里。奇怪的是到前台订同样类型的房间不但贵还没早餐，而网上订的却既有房间又有早餐呢…', '短评打分': 3}
{'短评内容': '我住的是15楼，水超级小，而且还不热，要必须要改进一下啊！网络速度到是不错！', '短评打分': 5}
{'短评内容': ' 酒店真心不错！地处奉化市区中心 ，设施较新，房间宽敞，淋浴水很大，非常舒服！', '短评打分': 3}
{'短评内容': '1517号房间，洗手间没有独立浴房，一洗澡就直接全部地湿，空调轰轰响，服务生说特惠房就是样子的，解决的方法就是先开大\n冷气把房间调冷，之后再关了空调睡觉，这样就不吵了，真是高手中的高手，妙计啊！！！', '短评打分': 1}
{'短评内容': '地点还行，实话说一个县级城市，经济酒店特价房这个价格有点贵', '短评打分': 5}
{'短评内容': '非常好的酒店，环境硬件都不错', '短评打分': 3}
{'短评内容': '第二次入住。卫生间非常简陋，要么没门，要么只有淋浴房有隔断。别的快捷酒店该有的都有，早餐还可以。附近找饭店不方便。', '短评打分': 5}
{'短评内容': '环境不错，可惜早餐不免费的', '短评打分': 3}
{'短评内容': '设施还不错，比较舒服，早餐品种不是太多，去晚了，就没了。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '设施还不错，比较舒服，早餐品种不是太多，去晚了，就没了。', '短评打分': 5}
