{'短评内容': '早餐很好。有停车场。', '短评打分': 5}
{'短评内容': '第一次在京东订酒店，比某程服务好太多', '短评打分': 5}
{'短评内容': '网有返现才会首先这里。', '短评打分': 4}
{'短评内容': '说送牛奶的没有送', '短评打分': 1}
{'短评内容': '交通非常方便', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '上下一样的树尚家一样的感觉，真的是，可以的，会议指定地点，不错，性价比也挺高的。', '短评打分': 5}
{'短评内容': '整体环境不错。早餐类别较少，可以接受。', '短评打分': 5}
{'短评内容': '酒店环境还可以，就是浴室全透明的让人难以接受啊', '短评打分': 5}
{'短评内容': '酒店环境还可以，就是浴室全透明的让人不愿意接受啊', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈好货好好好好好好好好的人都是我的人都是我的人都是', '短评打分': 5}
{'短评内容': '网订会比较便宜', '短评打分': 3}
{'短评内容': '餐饮娱乐方便，交通便利', '短评打分': 4}
{'短评内容': '房间还可以，服务也不错，可以住', '短评打分': 4}
{'短评内容': '房间很新，服务一流', '短评打分': 5}
{'短评内容': '替人定的。大酒店的品质应该还不错~', '短评打分': 4}
{'短评内容': '不错干净安静', '短评打分': 5}
{'短评内容': '房间大服务好位置优越', '短评打分': 5}
{'短评内容': '总体来说可以', '短评打分': 4}
{'短评内容': '不错，第一次入住，感觉很满意。啊啊啊吧啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊', '短评打分': 5}
{'短评内容': '不错，第一次入住，感觉很满意。啊啊啊吧啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊', '短评打分': 5}
{'短评内容': '很好的酒店，如果很多次，环境一流', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '都还不错！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
