{'短评内容': '早餐有荷包蛋，很好吃。地理位置好。性价比高。', '短评打分': 5}
{'短评内容': '很好。视野景色不错，只是稍显旧，不过酒店确实好', '短评打分': 5}
{'短评内容': '设施不错早餐一般', '短评打分': 3}
{'短评内容': '因为离办事的地方近，说是按四星的造的，不过房间设施已经挺旧了，房间里一股难闻的味道，还好房间朝南的整个晚上都是开窗户睡的，还好早餐倒算可以。', '短评打分': 3}
{'短评内容': '蛮不错的。地理条件很好，就在市政府边上，窗外风景好。交通便利。', '短评打分': 5}
{'短评内容': '酒店位置出行很方便，出去逛街什么的走个几分钟就到商业区了。性价比很高。虽然大堂不怎么地，不过房间里的设施到是很好，装修上比较有档次。隔音很好，不知道是不是住的时候是最里面的房间的关系。酒店前面不知道在施工什么，路不怎么好开。以后有机会还会住这家。希望别涨价哦', '短评打分': 5}
{'短评内容': '打车极其难打！！早餐单一的要命！！！早上的时候有工地施工好吵好吵！！', '短评打分': 1}
{'短评内容': '还是可以的，比较热情哈。hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh\n', '短评打分': 5}
{'短评内容': '家庭房很划算很好。', '短评打分': 3}
{'短评内容': '酒店房间环境不错，我推荐。', '短评打分': 3}
{'短评内容': '位置不错，价格很超值的酒店！但是，边上吃饭的那个地方就有点太贵了，而且水平不敢恭维。还有打车得走两分钟。', '短评打分': 5}
{'短评内容': '  环境幽静  房间大并舒适 ', '短评打分': 3}
{'短评内容': '还可以，价格便宜，其他的倒是一般！但总体还是值得推荐的。', '短评打分': 5}
{'短评内容': '隔音有点差。', '短评打分': 3}
{'短评内容': '真的是性价比较很高的酒店。内部与周边的环境都比较喜欢。', '短评打分': 3}
{'短评内容': '据说挂四星的酒店，冲着568元只要168元的价格，我们去体验下，感觉没有达到这么高的标准。在行政房里，房间隔音差，一个晚上隔壁说话的声音清晰入耳直到后半夜；浴室只有固定喷头很不方便；中央空调效果不好；房间有宽带没电脑；电视遥控器上没有确定键，那个键一按变成音量键了。总之，不值四星级的568的价格，也只值150-160的价格。', '短评打分': 1}
{'短评内容': '地方挺难找的，有点偏了，我跑到一百那边去，好多路程。也许是因为房间太大了，空调不暖，热水很难调。', '短评打分': 1}
{'短评内容': '非常不错的酒店。下次有机会还住这里，还要推荐给朋友。', '短评打分': 5}
{'短评内容': '酒店地里位置方便住宿条件好', '短评打分': 3}
{'短评内容': '好ok..住了慢舒服.....................', '短评打分': 5}
{'短评内容': ' 恩 很好  环境不错 态度也还可以   下次还会去的', '短评打分': 5}
{'短评内容': '周围很阴森  外面装潢 太烂了 没办法 其实金华也没什么好玩的，\n无聊死了 知道就不来了。。\n', '短评打分': 1}
{'短评内容': '环境不错，价格也便宜，呵呵，住的时候市民中心在改造，没啥人了', '短评打分': 5}
{'短评内容': '  经济实惠  地方也不错  很安静房间一个大床一个小床', '短评打分': 5}
{'短评内容': '虽然比较偏僻点，但晚上很安静，早餐还可以！1', '短评打分': 5}
{'短评内容': '住宿环境挺好的，也挺干净，就热水不是常有', '短评打分': 5}
{'短评内容': '酒店卫生很好 服务很周到 房间很舒服 能有的都有', '短评打分': 3}
{'短评内容': '感觉蛮新的 看到比想到更好 卫生很干净 ', '短评打分': 5}
{'短评内容': '酒店外观看起来挺豪华的，卫生也很好，打扫也很干净，价格也比较合适，住的挺满意的。', '短评打分': 5}
{'短评内容': '酒店位于繁华地带，周边交通挺便利的，酒店有停车场，停车也挺方便的。', '短评打分': 5}
{'短评内容': '酒店离市民广场挺近的，周边环境还不错，绿化很好，交通也比较便利。', '短评打分': 5}
{'短评内容': '房间挺干净的，电视是数码形式的，看起来还成，服务也挺好，住的还比较满意。', '短评打分': 5}
{'短评内容': '六月份住的时候，点评的时候给了差评，刚客户前厅经理打电话过来咨询情况，算是回访吧，相信他们在服务态度上会作出改变！整体来说，性价比还不错，价格也适中，推荐一下！', '短评打分': 3}
{'短评内容': '我是凌晨去住的，值夜班的前台开始时服务态度超级冷漠，后来问能不能态度好一点，前台越来越上劲，真是无语去了……POS机不能用，晚上没空调，刚金华那天好热，晚上基本没睡觉一样的；晚上没热水，害我洗了冷水澡。建议选择那附近直径五百米之内的其他酒店，比如万通，申华等', '短评打分': 1}
{'短评内容': '房间内有一些味道，比较潮湿.设施有些陈旧.不过总得来说还可以，服务很周到.', '短评打分': 5}
{'短评内容': '这是一家性价比极高的酒店，酒店重新装修后，房间电视更换更显档次，但唯一不足的也只能算是早餐了，不是很丰富。', '短评打分': 5}
{'短评内容': '浴室的喷头不好用，里面的东西有点老旧，希望有些设备可以更换一下，不过性价比感觉还好', '短评打分': 5}
{'短评内容': '近期住了2天，酒店位置极好，离金华西站打车9元就到了。门口有一个大公园，晚上非常安静。周边还有茶楼、咖啡馆，谈事情非常方便。早餐很丰盛，唯一遗憾的就是不能帮助预订火车票。', '短评打分': 5}
