{'短评内容': '很好', '短评打分': 5}
{'短评内容': '没有早餐，不能加床，位置挺好找的，能停车', '短评打分': 5}
{'短评内容': '第一次来西安  第一天住在这附近  逛街时发现周围环境不错  携程一查  果断预定  第二天就过来住了  总体来说还是不错的  下次来还预定这家', '短评打分': 5}
{'短评内容': '老板为人很差劲，没有喝过的矿泉水非说喝了，和他说没关系给他钱还不行，非得让我们承认喝了水不想给钱，是他牛逼管我们要的…… 简直就是个神经病！！！！！', '短评打分': 1}
{'短评内容': '老板为人很差劲，没有喝过的矿泉水非说喝了，和他说没关系给他钱还不行，非得让我们承认喝了水不想给钱，是他牛逼管我们要的…… 简直就是个神经病！！！！！', '短评打分': 1}
{'短评内容': '距离万达希尔顿酒店很近，几十米的距离，而且地下一层是可以直通酒店，非常方便。店家认真负责，下次来还住这家', '短评打分': 5}
{'短评内容': '非常温暖，像回家一样', '短评打分': 5}
{'短评内容': '住着还不错', '短评打分': 5}
{'短评内容': '很不错的一个公寓', '短评打分': 5}
{'短评内容': '好真的很好，性价比超高，热水大，出水快，周边就是万达，出行方便，周围电影院，美食城，啥都有，美包包', '短评打分': 5}
{'短评内容': '酒店的位置不错周围都是吃的玩的，在这个价位绝对超值，洗澡水出水很快，老板人本很热情，服务特别好，酒店房间卫生干净', '短评打分': 5}
{'短评内容': '一般。', '短评打分': 4}
{'短评内容': '好方便', '短评打分': 5}
{'短评内容': '老板人很好，服务一流。环境地处商业区，很好。', '短评打分': 5}
{'短评内容': '好好好，很适宜居住，下次还来', '短评打分': 3}
{'短评内容': '地方不错、干净整洁。', '短评打分': 3}
{'短评内容': '新酒店，干净卫生，很有家的感觉。酒店位置不错，服务周到', '短评打分': 5}
