{'短评内容': '很不错  ', '短评打分': 5}
{'短评内容': '酒店设施比较陈旧，不过还是可以接受的', '短评打分': 4}
{'短评内容': '房间不错', '短评打分': 5}
{'短评内容': '环境交通都还行', '短评打分': 4}
{'短评内容': '床不太好，别的还可以', '短评打分': 4}
{'短评内容': '靠马路有点吵', '短评打分': 5}
{'短评内容': '还会去住', '短评打分': 5}
{'短评内容': '嗯嗯，每次都住', '短评打分': 4}
{'短评内容': '性价比还可以，经常住这里', '短评打分': 4}
{'短评内容': '建议使用一次性拖鞋', '短评打分': 4}
{'短评内容': '周边环境一般，交通可以', '短评打分': 3}
{'短评内容': '房间很好，干净，网络也好', '短评打分': 3}
{'短评内容': '整体还不错。就是早餐种类少了一点。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店比较新，去年才装修的，整理不错，位子一般般，不过出门左走到检察院这条路有很多吃的，住的时候空调坏了，', '短评打分': 5}
{'短评内容': '酒店设计的你叫前卫时尚，看起来档次还不错，就是服务很一般！跟如家之类的连锁还是有不小的差距！希望再努力哦！', '短评打分': 5}
