{'descr': '房间没有停车位太少', 'star': 4}
{'descr': '很不错满意服务很好', 'star': 5}
{'descr': '这几天去平谷办事都住这儿了，交通方便，酒店服务态度好，房间干净舒服，隔音好，早餐丰富，还可以自己做三明治哦！', 'star': 5}
{'descr': '房间很安静，很干净舒服，很暖和。前台和服务人员的态度都很nice，早餐很丰富哦，还可以自己做三明治，赞！', 'star': 5}
{'descr': '位置交通便利。服务很好，房间干净整洁，非常不错，今后来平谷还会选择这里', 'star': 5}
{'descr': '不错不错', 'star': 5}
{'descr': '还可以  不错不错', 'star': 5}
{'descr': '哈哈哈彼此哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈', 'star': 5}
{'descr': '不错 除了老', 'star': 5}
{'descr': '服务人员很好，协助解决问题很快。', 'star': 5}
{'descr': '真心不错，第二次订购啦，当时选错日期，赶紧打客服电话，态度很好，没有多久就帮忙取消啦，真心方便。', 'star': 5}
{'descr': '不错，不错，不错', 'star': 5}
{'descr': '不错，很好，第一次在京东上订酒店。挺方便', 'star': 5}
{'descr': '很好很好很好很好很好很好', 'star': 5}
{'descr': '不错 还行 不错 还行 不错 还行 不错 还行 不错 还行 不错 还行 不错 还行 不错 还行 不错 还行 不错 还行 不错 还行 不错 还行 不错 还行 不错 还行 不错 还行 不错 还行 不错 还行 不错 还行 不错 还行 不错 还行 不错 还行 不错 还行 不错 还行 不错 还行', 'star': 4}
{'descr': '酒店服务非常好，房间布局和卫生也挺好发。总得来说舒服', 'star': 5}
{'descr': '可能是因为在远郊区，所以房间充裕，干净敞亮，窗户直接朝向世纪广场，视野特别开阔，前台服务业好，价格也不贵', 'star': 5}
{'descr': '不错！地理位置很好，吃饭也很方便', 'star': 5}
{'descr': '还好', 'star': 5}
{'descr': '物美价廉，童叟无欺，值得信赖，值得拥有！', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '总体一般 便宜方便', 'star': 4}
{'descr': '还可以', 'star': 5}
{'descr': '地理位置很好，交通方便，房间干净，不错的选择。', 'star': 4}
{'descr': '比较一般，较城里差不少。', 'star': 4}
{'descr': '房间干净，整洁，服务人员态度不错，房间稍小。', 'star': 5}
{'descr': '狠不错丶交通方便丶浴室是透明玻璃得丶在床上躺着可以看见浴室里边丶不过浴室里边有帘子丶可以拉下来丶拉下来外边就什么兜看不见乐丶和老公去得丶有点小浪漫丶', 'star': 5}
{'descr': '性价比高，新开店，很新很大很干净，很划算', 'star': 5}
{'descr': '总体来说还是不错的，就是有的楼层，网络有点问题，但都很快帮助解决了。', 'star': 5}
{'descr': '前台人员少,入住手续办了好长时间啊', 'star': 3}
{'descr': '第一次入住汉庭，很愉快的一次经历，温馨的提示，简洁的设施，周到的服务，感觉不错', 'star': 5}
{'descr': '最近多次入住，在平谷性价比汉庭还不错，这次房间格局比上次强点', 'star': 5}
{'descr': '如果不是他们的会员，入住和结账的时候比较慢，其它方面还可以。', 'star': 5}
{'descr': '继承了汉庭的一贯的风格,简洁干净又舒服!', 'star': 3}
{'descr': '整体不错，但现在涨价了，比原来涨了20，有点贵', 'star': 5}
{'descr': '不错服务态度很好，我昨天忘了一个包，服务员都给我收起来了，感谢！！！', 'star': 5}
{'descr': '房间很干净，设施也不错。价格合理。酒店所处繁华地段，购物也比较方便。', 'star': 5}
{'descr': '酒店很新很干净，价格合理，总的来说不错', 'star': 3}
{'descr': '性价比高，干净，房间宽敞，位置好，住着比较方便，停车位少', 'star': 5}
{'descr': '性价比高，干净，房间比较大，位置好，住着比较方便', 'star': 5}
{'descr': '性价比高，干净，房间比较大，服务态度还可以', 'star': 5}
{'descr': '酒店很干净，住的很舒适，位置比较方便好找', 'star': 5}
{'descr': '性价很高，很干净，房间比较大，服务态度很到位。', 'star': 5}
{'descr': '   入住的是六楼的豪华大床房！干净，整洁，布局合理！1.8*2米的大床相当的舒服！对面就是世纪大广场视野开阔！虽进入寒冬！但', 'star': 3}
{'descr': '汉庭商务快捷酒店平谷世纪广场店，很好，服务态度，软硬件都挺好，物有所值。', 'star': 3}
{'descr': '还可以吧，价格比较合理。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
