{'短评内容': '因为长假的缘故，感觉酒店的环境及设施不值这个价，有待改进，离火车站距离相对较近，比较方便，要是想要住的舒适点，不太晚的话，还是定在市区', '短评打分': 3}
{'短评内容': '便宜实惠，可惜在去找不到了', '短评打分': 5}
{'短评内容': '还可以吧！', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '环境不错，服务态度也中，下次再来住。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还可以。不错！', '短评打分': 5}
{'短评内容': '这个价位，可以了，下次还会入住。', '短评打分': 3}
{'短评内容': '离火车站较近，都还差不多吧。', '短评打分': 4}
{'短评内容': '地方很小但很干净，快捷酒店嘛。', '短评打分': 5}
{'短评内容': '整体还可以，就是设施旧了一点', '短评打分': 4}
{'短评内容': '还不错吧  出了火车站走个十分钟就到了 很安静 设施有点旧  其他还好', '短评打分': 3}
{'短评内容': '网上预订需要中午十二点退房。网上预订需要中午十二点退房。网上预订需要中午十二点退房。 重要的事儿说三遍。', '短评打分': 5}
{'短评内容': '还行吧，隔音效果不好', '短评打分': 3}
{'短评内容': '这是此行住的最差的酒店了。\n1、房间老旧，装修老土，是原来的聚合宾馆为迎合形式，改的名称；\n2、卫生间地面有污，且去不掉，让人难受；\n3、早餐极差，鸡蛋还有管起来，去领才发；\n4、车位在临街上，安全上易出问题；\n5、电话不通，必须下楼与服务员沟通；\n6、服务态度一般。', '短评打分': 1}
{'短评内容': '太陈旧了.............................', '短评打分': 1}
{'短评内容': '还可以, 交通比较方便， 卫生间的Shampoo and Soap 太不好了，真的不能用。\n这家酒店有旅游团服务-很方便，价格也很合理。 但晚上常常有你知道的服务给我们打电话，太过分了。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
