{'短评内容': '还是不错，感觉很干净', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '可以的', '短评打分': 5}
{'短评内容': '没有早餐，但地理位置很好，离古城很近，酒店外面就有各种饭店，晚上还有小吃。', '短评打分': 5}
{'短评内容': '酒店比较便宜，很划算，离丽江古城非常近，步行大约20分钟就到了，而且离大巴站也很近，去别的景点非常方便。总之比较满意。', '短评打分': 4}
{'短评内容': '很好，只是遇到国庆的时候，价格高了点', '短评打分': 5}
{'短评内容': '房间挺大的，卫生也不错，在巷子里，挺安静的，离古城也很近，走走就到了。住了一晚就去香格里拉了，以后来丽江，还选这家。', '短评打分': 5}
{'短评内容': '房间挺干净的', '短评打分': 5}
{'短评内容': '满意！环境卫生都非常好。', '短评打分': 5}
{'短评内容': '酒店在丽江古城的附近，酒店位置很好找，走廊的标示很明显，走廊也很宽敞。房间很大，而且收拾的也很干净，空调也很给力。房间一进门就有一面镜子和挂衣服的地方，方便了那些注重服装的人士。房间真的很大床也很大，窗台还有榻榻米还可以晒太阳喝茶，感觉特别棒。浴室的空间很大，喷头水流很大而且热水相当给力，打开就有热水。房间还都是独立WiFi，网络电视还有麻烦长途可以打。总之是一个值得推荐的酒店，下次还来住。', '短评打分': 5}
{'短评内容': '地理位置优越，很好', '短评打分': 5}
{'短评内容': '离古城比较近，服务态度好，环境不错，干净卫生', '短评打分': 5}
{'短评内容': '酒店设施都比较好，房间特别干净特别大，本来预定了两晚，后来感觉挺安静环境也挺好就又决定住了两晚，很谢谢前台免费换了一晚大床房。就是距离古城稍微有那么点距离，不过我们去机场坐大巴，还有束河古镇，黑龙潭公园都比较方便，距离大水车走路也就20分钟。喜欢安静的朋友可以选择。希望酒店可以为顾客提供洗衣机，毕竟是旅游城市出来玩洗衣服不太方便。', '短评打分': 5}
{'短评内容': '酒店离古城有20分钟的距离…有点远…附近有大排档…12点左右特别的嘈…被惊醒两次…睡眠质量特别差…热水要开很久才热…都快被冻坏了…不过值得一说这个价格能找到这么干净不容易…', '短评打分': 4}
{'短评内容': '出行方便', '短评打分': 4}
