{'短评内容': '超级好，舒适，下次还来', '短评打分': 5}
{'短评内容': '早餐简单了些，服务态度非常好，赞', '短评打分': 5}
{'短评内容': '环境挺好的', '短评打分': 5}
{'短评内容': '交通方便，购物中心，周边繁华，', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '每次都住如家。不错', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好', '短评打分': 4}
{'短评内容': '很好不错&hellip;&hellip;', '短评打分': 5}
{'短评内容': '酒店 非常的满意 设备齐全 服务员有礼貌', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '到店预订房型没有了，免费升级了大床房。房间非常满意，要好于正常如家店面。早餐也不错！特别感谢并表扬当班经理与工作人员！！早上走的急，把Ipad落在房间了，里面有重要资料，对我十分重要。工作人员二话没说，帮忙邮寄回来。', '短评打分': 5}
{'短评内容': '出门旅行如家最行。', '短评打分': 5}
{'短评内容': '环境好，卫生好，服务好，有家的感觉。', '短评打分': 5}
{'短评内容': '卫生好，服务好，环境好，有家的感觉。', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': 'the hotel was nice, strive was god ,location is in he mai street nt difficult to find, ', '短评打分': 5}
{'短评内容': '暖气效果不好，不推荐……', '短评打分': 4}
{'短评内容': '还可以吧，算不上特别干净 也说的过去，交通便利', '短评打分': 5}
{'短评内容': '很好，交通便利，就餐购物都方便，设施齐全，服务周到，有求必应。', '短评打分': 5}
{'短评内容': '服务挺好的，环境也错，交通也挺方便的，就是早餐不怎么好', '短评打分': 5}
{'短评内容': '房间宽敞明亮。舒服 干净 服务周到 值得推荐', '短评打分': 5}
{'短评内容': '一次入住得推荐两回啊，哈哈，酒店电梯该换了，实在慢了点', '短评打分': 5}
{'短评内容': '环境不错，周围是商圈，也比较安静，挺好的', '短评打分': 5}
{'短评内容': '前台的服务员，连住店的天数都不会算，发现算错了，就出来个人说那个服务员是新来的，临时工！恍然大悟，原来不只是政府部门有临时工，如家的算错帐的前台也是临时工啊！\n\n房间小，停车不方便！', '短评打分': 1}
{'短评内容': '酒店新开业不久，挺干净的，离中心医院近，很方便', '短评打分': 3}
{'短评内容': '环境、位置和服务都不错，只是房间隔音效果不好，隔壁的声音太噪了。', '短评打分': 5}
{'短评内容': '在网上看到，说是有电脑可以上网，还可以返现30元，去了才知道没有电脑，只有一台电视，返现更没有对现了。', '短评打分': 1}
{'短评内容': ' 挺好的   干净舒适', '短评打分': 3}
{'短评内容': '酒店环境不错，交通也可以，早餐中饭晚饭都有，价格也不是很贵，还行！', '短评打分': 5}
{'短评内容': '酒店卫生不错，新装修还有股味，还有就是房间的隔音不行，到了晚上总被隔壁的声音吵醒。', '短评打分': 5}
{'短评内容': '服务态度挺好的，在电梯内碰到都会问好，环境也不错，挺干净的，早餐样式不多，但是都挺精华的，下次还会入住，这次比较急，下次一定上照片。', '短评打分': 5}
{'短评内容': '这个酒店的服务很好，服务人员的素质也很高，也很干净，我很喜欢，就是没有电脑有点不太方便、', '短评打分': 3}
{'短评内容': '干净、整洁，市中心，交通方便,服务态度很好。早餐也有，只是需要单独付费！', '短评打分': 5}
{'短评内容': '屋子有点小，没有配备电脑，但是提供了网线，总体还是很不错的', '短评打分': 5}
{'短评内容': '环境不错,地点位置可以,就是空调不好用,服务态度很好,新开的酒店值得试一下', '短评打分': 5}
{'短评内容': '房间有点小！隔音真的不好！很干净！还可以', '短评打分': 5}
{'短评内容': '服务和卫生条件都很好,早餐也不错,值得推荐.', '短评打分': 3}
{'短评内容': '服务不错，大床房的那张大床确实是很大。睡的真宽敞！！！', '短评打分': 5}
{'短评内容': '酒店服务还行，环境也不错，满干净的。就是有一点问题酒店的隔音不太好，过道的声音很响。', '短评打分': 5}
{'短评内容': '价格便宜，环境不错服务不错就是被子太大太重了 不习惯。总体很好。', '短评打分': 5}
{'短评内容': '没有暖气，热水不热，环境还不错。', '短评打分': 3}
{'短评内容': '总体感觉很好，环境不错，就是隔音不是很好', '短评打分': 5}
{'短评内容': '酒店新开业一个月，干净，舒适，楼上餐厅可以定餐，性价比挺好的', '短评打分': 3}
