{'短评内容': '隔音不好', '短评打分': 4}
{'短评内容': '店主人很好，但是窗外就是停车场和夜宵摊，晚上太吵。隔音也不好', '短评打分': 4}
{'短评内容': '住一层，卧室窗户锁不上，当天晚上到的丽江，夜里抵达陌生城市，加上客栈人说的一些话，吓的晚上不敢入睡。', '短评打分': 4}
{'短评内容': '干净，环境漂亮，老板娘热情！', '短评打分': 5}
{'短评内容': '这次云南行住得最舒服，最宽敞，性价比最高的客栈，之前在丽江古城住300多一晚的也没这个好！打车可以直达客栈门口，不用提着行李走在石板路上，但位置又在古镇内，出行方便。老板人也很好！', '短评打分': 5}
{'短评内容': '很有束河古镇特色', '短评打分': 5}
{'短评内容': '环境舒适 干净卫生 老板人尤其的好！', '短评打分': 5}
{'短评内容': '客栈交通方便，地理位置优越，环境优美，离涑河古镇很近，我们都是步行去的古镇，老板小璐超好的，哈哈，还有小酒狗狗也超热情的，而且可以在客栈预订旅游路线，价格很实惠，小璐也会给我们提供很好的参考意见，是目前为止感觉最好的客栈，很温暖，很舒心，玩得也很开心！住了还想住，哈哈…', '短评打分': 5}
{'短评内容': '很好，舒适，是休闲度假的好去处，安静，出行很方便！', '短评打分': 5}
{'短评内容': '苍蝇太多，房间太小。硬件设施其实不错，可惜没打理好。', '短评打分': 3}
{'短评内容': '环境挺不错的，卫生感觉也不错', '短评打分': 4}
