{'短评内容': '比较不错，就是墙壁有一点点赃，但整体还是不错的', '短评打分': 5}
{'短评内容': '酒店位置好方便', '短评打分': 5}
{'短评内容': '还说的过去，', '短评打分': 3}
{'短评内容': '一般般吧。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '面积不是很大，和如家的差不多，挺干净的', '短评打分': 5}
{'短评内容': '装修有点老旧！！！！！！！', '短评打分': 3}
{'短评内容': '干净舒服，价格合理，独立卫生间，一个人住还是不错的选择。', '短评打分': 3}
{'短评内容': '差劲，外面50的小旅馆都不如，没热水…', '短评打分': 1}
{'短评内容': 'Qq 房，真心特别小，休息不好都，还没有无线', '短评打分': 4}
{'短评内容': '还可以吧，没有如家，只好住这个。', '短评打分': 4}
{'短评内容': '对于快捷酒店来说价格太贵了，早餐无语了。。。', '短评打分': 1}
{'短评内容': '酒店很舒适，停车方便！', '短评打分': 3}
{'短评内容': '一般情况的快捷酒店，卫生还行，早餐一般~！', '短评打分': 5}
{'短评内容': '一般情况的快捷酒店吧，卫生还可以，早餐太一般。', '短评打分': 5}
{'短评内容': '临睡觉的时候掀开被子一看床上有黄色、红色的污渍，打电话让前台换，前台说负责 换床单的人下班了，明天早上再来换，我说明天早上我都退房了你才来换有什么用？前台沉默了一阵说过会上来换，过了一会上来一个保安递了床床单说你自己换吧！然后扭头就走，听到这句话，简直难以想象这是在酒店。\n\n房间墙角长有黑绿色的霉斑或者是苔藓一类的东西，估计是通风不好房间里潮湿，唉，睡着真痛苦。', '短评打分': 1}
{'短评内容': '酒店比较干净整洁,网站介绍真实,距离牟氏庄园很近,下次去的话还住那里。', '短评打分': 3}
{'短评内容': '挺好的，也很干净，价格实惠，就是房间小了些', '短评打分': 5}
{'短评内容': '这个地方还可以吧！就是空间太小，房间里有点味道', '短评打分': 3}
{'短评内容': '酒店不错，很干净，床很舒服。就是隔音效果不是很好。 房间的电脑上网还可以，办公不行。\n', '短评打分': 5}
{'短评内容': '酒店还行，离车站近。', '短评打分': 3}
{'短评内容': '酒店住宿环境不错，但是早餐质量有待提高。', '短评打分': 3}
{'短评内容': '说实话这个房间太小了，没有窗户空气不流通，半夜睡觉有点憋气，唯一一个比较满意的地方就是有电脑，不会再住', '短评打分': 1}
{'短评内容': '总体上感觉不错。离高速挺近的，左铡300米就是闹市区。挺干净、清爽的，不舒服的就是房间的淋浴头水喷得很细，压力又很大，水打在身上竟然会感觉痛，希望能改进。', '短评打分': 5}
{'短评内容': '很好！很满意', '短评打分': 3}
{'短评内容': '酒店不错，很干净，床很舒服。就是隔音效果不是很好。', '短评打分': 5}
{'短评内容': '房间挺小的，不过隔音不是很好，感觉晚上休息比较吵一些.', '短评打分': 5}
{'短评内容': '客房面积有些小，不过显得还是挺温馨浪漫的，年轻人入住感觉还是不错的.', '短评打分': 5}
{'短评内容': '位置不错，出行挺方便的，而且距离牟氏庄园和太虚宫都很近.', '短评打分': 5}
{'短评内容': '舒适度还是不错的，就是隔音不是很好，其它各方面都还不错.', '短评打分': 5}
{'短评内容': '酒店24小时热水供应，这点还是非常不错的，用水很方便，而且硬件配置设施也不错.', '短评打分': 5}
{'短评内容': '位置也行，但是房间太小设施也不怎么样一进屋就是一张床旁边就是厕所而且还没有门。不过屋里面有电脑能上网要是小年轻住还行，而且开窗户太吵不开窗户屋里又太潮湿。 价格也比较高。反正不合适。', '短评打分': 1}
{'短评内容': '真不错，房间虽小，可是很温馨，水很热，空调也给力，卫生间设计独特，不过还是有个门才好，总的来说很好！！', '短评打分': 5}
{'短评内容': '房间较小，一般旅游居住还可以，距牟氏庄园不远。', '短评打分': 5}
{'短评内容': '栖霞很小，这家酒店的位置还算不错，至少离牟氏庄园和太虚宫都很近。房间很小，但是住起来还算舒服，就是隔音不好。', '短评打分': 5}
