{'短评内容': '位置优越，离老街很近，有停车场适合自驾，其他一般。', '短评打分': 4}
{'短评内容': '位置优越，有停车场，不过设施过于陈旧，早餐性价比差。', '短评打分': 4}
{'短评内容': '不错。。。。。。', '短评打分': 5}
{'短评内容': '到老街很近', '短评打分': 3}
{'短评内容': '早餐很好吃 ', '短评打分': 5}
{'短评内容': '酒店早餐太差、早餐厅服务员还艹着一口屯溪话在大声聊天，酒店设备老旧、这个酒店差到极点', '短评打分': 3}
{'短评内容': '还可以，住过多次了', '短评打分': 4}
{'短评内容': '酒店有点老，但房间很大，总体性价比还可', '短评打分': 5}
{'短评内容': '设施有点旧，淋浴忽冷忽热，花洒也不太好，建议可以更新了，隔音效果不是太好。离黎阳in巷很近，酒店可免费停车，这个还不错。卫生状况还是可以的，但是早餐真心简单。要求不高的话还是可以入住的，性价比还算不错的', '短评打分': 3}
{'短评内容': '酒店有点老，设施也比较旧，花洒不是太好，早餐也比较简单，卫生状况倒还算可以，要求不高的是可以住住的', '短评打分': 3}
{'短评内容': '都还不错，大致上还是比较满意的', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '环境很好  重点推荐', '短评打分': 3}
{'短评内容': '很不错的酒店。离屯溪老街和黎阳老街都是大概十来分钟的步行距离。 酒店员工服务态度不错，设施偏旧，房间比较大。 建议选择江景房，风景不错。', '短评打分': 3}
{'短评内容': '强烈推荐，房间干净很大，性价比很好', '短评打分': 3}
