{'短评内容': '空调坏了！半夜漏水！空调声音超级大！卫生条件差！', '短评打分': 1}
{'短评内容': '处于闹事，购物方便，离海边也不远', '短评打分': 5}
{'短评内容': '离海很近，附近还有商业街，方便。', '短评打分': 5}
{'短评内容': '80多价位的酒店可能就是这个样子，在这个价位上的酒店我住的太少，很难客观评价，如果你看重的是价格，那就是你要选的酒店。老板娘还是很nice的，而且她们家还配了电梯，要赞一个。 但是，就我个人而言，我下次肯定要选150元以上的了（淡季）。', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 2}
{'短评内容': '非常不错的', '短评打分': 5}
{'短评内容': '不错，下次还住这里', '短评打分': 5}
{'短评内容': '又续住了2天。店家太热情了，麻雀虽小 五脏俱全，全部贴心的服务。里面的姐姐一大早还负责免费把我送到机场。下次来了肯定还会来这里！', '短评打分': 5}
{'短评内容': '非常好！！！，岂是非常好三个字能概括的了的。电梯房，离海边也很近，里面的服务人员非常尽职尽责。价格也实惠', '短评打分': 5}
{'短评内容': '不错 交通方便', '短评打分': 5}
{'短评内容': '房間不錯，服務熱情，老闆人很好，會多住幾天', '短评打分': 5}
{'短评内容': '1客栈路段比较好找，就在路旁，周边吃的很方便，2去各个景区都有旅游大巴经过，亚龙湾森林公园坐25路，南山寺天涯海角坐16路，3房间是新装修的，我们住的是一个蓝色房间，挺喜欢的，前台服务热情，旅行不知道去什么地方玩，前台都会给推荐，而起他们没有报一日游，需要自己报，房间卫生比较干净，价格也很便宜，很满意', '短评打分': 5}
{'短评内容': '服务好，经常来，挺不错的！', '短评打分': 5}
{'短评内容': '服务很好，经常来他们家，价格低，房间干净，还经常帮朋友订，服务不起大酒店差，还会选择一直瑞佳！', '短评打分': 5}
{'短评内容': '服务挺好，很热情，老板很实在，不错，以后会常来', '短评打分': 5}
