{'短评内容': '若在标准间加床没地方', '短评打分': 5}
{'短评内容': '一般般吧，离地铁很近～', '短评打分': 4}
{'短评内容': '装修是十年前的风格，很老套', '短评打分': 3}
{'短评内容': '地理位置好', '短评打分': 5}
{'短评内容': '交通四通八达', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '住很多次了 性价比比较高了', '短评打分': 5}
{'短评内容': '住很多次了 性价比不错', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店离地铁站比较近，还是方便的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '洗手间味道有点大，设施的确很旧很老，是非常老旧的三星标准，过不了很长时间就会被淘汰了，跟不上时代了。', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店位置很好，就在地铁站边上。  设施较陈旧  整体性价比还行', '短评打分': 4}
{'短评内容': '地点不错，附近公交地铁，超市水果店，楼下两家餐馆，面包店，自动取款机，7-11，设施略陈，但性价比也算可以了', '短评打分': 5}
{'短评内容': '同以前', '短评打分': 4}
{'短评内容': '还可以，老牌三星，整体来说不错。', '短评打分': 5}
{'短评内容': '离地铁站真的很近。', '短评打分': 3}
{'短评内容': '不错的宾馆，价位合适服务合格。我才知道点评可以挣积分没照照片', '短评打分': 3}
{'短评内容': '酒店设施一般，在北京来说，价格可以接受。餐厅的菜味道不错', '短评打分': 5}
{'短评内容': '北京的酒店众多，在这么多的酒店里，这种平价酒店还算不错', '短评打分': 5}
{'短评内容': '老酒店，一起设施都比较陈旧。前台服务员对业务也不熟练。定了个豪华单人间，说房间面积有23.5平方米，推开房门后发现只有10多个平方，很小。要不是对面的如家酒店没房了，绝不会入住这个酒店。', '短评打分': 1}
{'短评内容': '是个不错的地方，交通，服务都很好！价格还可以接受！', '短评打分': 5}
{'短评内容': '酒店交通便利，信价比也不错', '短评打分': 3}
{'短评内容': '酒店周边设施方便，服务态度好，干净，但设施较陈旧', '短评打分': 3}
{'短评内容': '虽然旧了点，但主要是地点非常方便，出门就是牡丹园地铁站', '短评打分': 5}
{'短评内容': '比想象中要好的一家老牌四星酒店，房间整洁，卫生，酒店价格适中。只是早餐比较差，另外，建议把淋浴龙头好好修修。', '短评打分': 5}
{'短评内容': ' 档次和四星差不多', '短评打分': 3}
{'短评内容': '客房挺干净的，安静。交通便利。\n服务人员的态度一般。', '短评打分': 5}
{'短评内容': '性价比还可以，房间很小，交通比较方便，门口就有地铁，附近吃饭也比较方便', '短评打分': 5}
{'短评内容': '很不爽，空调完全没效果，晚上睡觉只好加了床被子。卫生间下水道堵塞，洗澡后满卫生间都是水，垃圾筒都浮起来了。', '短评打分': 1}
{'短评内容': '吃饭和交通都非常方便，不错！！！！！吃饭和交通都非常方便，不错！！！！！', '短评打分': 5}
{'短评内容': '床太软！房间装修陈旧了', '短评打分': 3}
{'短评内容': '我很喜欢。很方便', '短评打分': 3}
{'短评内容': '暖气很足！', '短评打分': 3}
