{'短评内容': '每次去几乎都住这里，环境很好', '短评打分': 5}
{'短评内容': '早餐还可以。设施也挺好，三星的标准。床也很舒服，家庭房的大床感觉有点小。其他都还好。唯一有点就是没有一次性剃须刀。如果出差的男士忘了带剃须刀就有点不方便了。', '短评打分': 5}
{'短评内容': '位置好，到哪都方便，出门便是公园，紧邻八大关景区。房间环境也不错，服务也贴心。咨询也热心，总之很喜欢，下次还选这！', '短评打分': 5}
{'短评内容': '都挺好 就是地方有点绕  我第一次吃到酒店送的水果.推荐入住 价格实惠 哈哈哈哈哈', '短评打分': 5}
{'短评内容': '早餐在这个价位里算是不错的了，种类不少，酒店位置真的很隐蔽，在汉庭的后边，街边根本看不到有任何牌子或者指示，酒店后边就是公园，穿过公园就是海边，旅游度假住这很不错', '短评打分': 5}
{'短评内容': '酒店很好，离疗养院特别近，每次来都入住此店^_^，早餐很美味，前台还送了小礼物哈哈哈，好评哦！！！！', '短评打分': 5}
{'短评内容': '冬天海依然很美，出门二三百米在第三浴场沙滩上看日出无限美好，门口水果市场的葡萄还是那么好吃，关键房价只是夏季的三分之一', '短评打分': 5}
{'短评内容': '总体满意，房间内床品很干净，面积也很大，位置很安静，就在太平角公园后门那儿。不足是沙发是粗布面的有点儿脏，可能也不好清洗吧。入住的时候刚好前面有人在现场订房砍价，犹豫不决，在大厅里说话声音也特别大，前台客服也没有制止一下，我就在后面一直等到前面的人嚷嚷着打电话走出门跟其他人商量定不定房，才有人理我给办了入住…', '短评打分': 4}
{'短评内容': '离浴场步行10分钟就到，非常方便', '短评打分': 5}
{'短评内容': '不是一般的好，堪称完美', '短评打分': 5}
{'短评内容': '挺好的 卫生，环境，早餐都挺好', '短评打分': 5}
{'短评内容': '非常干净', '短评打分': 5}
{'短评内容': '朋友反馈非常好', '短评打分': 5}
{'短评内容': '我的定点酒店！服务周道！', '短评打分': 5}
{'短评内容': '非常棒的酒店！位置、环境绝对一流。', '短评打分': 5}
{'短评内容': '我住的是五楼，第一间味道很大，估计下水道的原因，换了一间，很不错，够得上精选这两个字，包早餐，也很不错，淡季价钱也很合适。', '短评打分': 5}
{'短评内容': '酒店服务环境都很好', '短评打分': 5}
{'短评内容': '很满意，早餐很好，不错，下次再来', '短评打分': 5}
{'短评内容': '精品真不错，淡季真便宜', '短评打分': 5}
{'短评内容': '很舒服，早餐也好吃', '短评打分': 5}
{'短评内容': '不错，就是吃饭不太方便', '短评打分': 4}
{'短评内容': '酒店紧邻第三海滨浴场，走路5分多钟就到了。可以在宾馆里穿上游泳衣去海边。回来再洗个热水澡！服务态度也不错！宾馆的自助早餐12元每人，儿童半价，推荐直接在宾馆吃！中午和晚饭不推荐在宾馆。交通方便，宾馆后面门口直接出去到大马路，左手边有公交车站坐车去浮山所，5站地，可以到云霄路上吃海鲜。提醒：今年如家可以99元办如家金卡，入住时先办，可以在离店时在定价上打88折。', '短评打分': 5}
{'短评内容': '距离海边步行5分钟，八大关步行10分钟，楼下就有超市、农贸市场、海鲜加工点，下次去青岛还要住这家店。', '短评打分': 5}
{'短评内容': '房间很宽敞，很整洁，服务员很热情，总之很满意，谢谢', '短评打分': 3}
{'短评内容': '住了都会说～地理位置好，前台服务也热情。\n', '短评打分': 5}
{'短评内容': '推荐入住 地段一流。', '短评打分': 3}
{'短评内容': '酒店位置极好！安静，但是早餐不方便，希望能改善', '短评打分': 5}
{'短评内容': '如家一如既往的亲民，交通便捷，赞', '短评打分': 3}
{'短评内容': '环境一流，服务周到，自助早餐比较丰富。\n\n就是床单，被子有点味道，清洁不够.', '短评打分': 5}
{'短评内容': '位置好找，环境舒适，离8大关近，很不错，值得推荐', '短评打分': 5}
{'短评内容': '酒店位置离八大关景点很近，附近有少部分餐饮，不过配套设施相对不足', '短评打分': 5}
{'短评内容': '交通很方便，位置很不错很安静，前台也很热情', '短评打分': 5}
{'短评内容': '地理位置好,窗口向公园,门口公交线路多,可以寄包,房间大,服务好,有海鲜代加工.\n隔音差了些.\n去坐机场大巴,建议打车,站点在海天大酒店隔壁的小马路上,不太好找,司机大哥很清楚.', '短评打分': 5}
{'短评内容': '很不错，安静，交通也比较方便，服务员态度也相当好', '短评打分': 5}
{'短评内容': '房间还挺大，就是隔音不太好，环境还安静，离海边不远，去八大关很方便，做机场大巴也很方便。\n早饭、中饭地下一层有餐厅，就是费用有点高', '短评打分': 5}
{'短评内容': '房间还挺大，就是隔音不太好，环境还安静，离海边不远，去八大关很方便，做机场大巴也很方便。', '短评打分': 5}
{'短评内容': '地方还不错，服务也挺好的，在第三浴场附近，正门有点偏不靠大马路', '短评打分': 5}
{'短评内容': '内部环境干净卫生，温馨的色彩让家庭旅游更加快乐，很不错的酒店！周边吃饭不方便', '短评打分': 5}
{'短评内容': '靠近大海啊，走几步就到海边了，就是冷啊，冻死哥了', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 3}
{'短评内容': '服务质量好~ 住宿环境温馨，细节做得非常到位~早餐饭菜可口', '短评打分': 5}
{'短评内容': '很干净，很温馨，服务人员很热情。住得挺舒服的。', '短评打分': 5}
{'短评内容': '服务态度好，离海边很近，出门就是八大关的街道，很安静，走一走十分地舒服！', '短评打分': 3}
{'短评内容': '很安静，大床，被子很舒服~窗户外可以看到海，离景点都很近。', '短评打分': 5}
{'短评内容': '非常好，干净，服务员有礼，\n位置近海边，环境好', '短评打分': 5}
{'短评内容': '很好的酒店,離景點真的很近~走幾步就到第二浴場.坐車的話.就可以去大部分的景點了.', '短评打分': 5}
{'短评内容': '房间还挺大的，电视机小了点，被子很蓬很舒服。宽带速度还不错，地理位置算是很不错了。后门出去还有水果摊什么的可以买吃的。', '短评打分': 5}
{'短评内容': '酒店不错, 挺安静, 服务也可以, 特别表扬一下前台, 我皮夹登记的时候掉前台了, 后来找回了.谢谢.', '短评打分': 5}
{'短评内容': '位置很好,离海边很近。房间环境不错。饭菜太贵,不实惠', '短评打分': 3}
{'短评内容': '去青岛3天，前几天是朋友安排别的酒店，最后自己办完公事后定的如家太平角店。虽说只住一晚，但住的很舒服：阁楼（很有家的味道，布置的很温馨）、洗手间很大、干净、服务人员的态度很好。（扫地的阿姨都给你问好）离海边很近。早上起床去看看海很方便。附近也有个四川人做早餐的。走路去机场大巴等候处只要10分钟。非常方便。老婆说，以后再来还住这、、、、、', '短评打分': 5}
{'短评内容': '定的5楼的商务大床房，屋顶有类似阁楼的感觉，感觉很不错。\n房间算比较大的，设施也很不错，干净卫生。\n缺点：晚上洗澡时，水量实在太小了，还有洗着洗着没水的时候。。', '短评打分': 5}
{'短评内容': '位置很好，房间一如如家的特色，服务不错。本来想住八大关锦绣园的，为了省钱就住这儿了，其实差距不是一点点', '短评打分': 5}
