{'短评内容': '非常干净  环境也很好 我非常喜欢', '短评打分': 5}
{'短评内容': '酒店挨着星河广场景色非常漂亮，周围吃饭的选择略少，这次是来参加展会的，离展馆特别近步行过去五分钟，整体感觉是个不错的选择', '短评打分': 5}
{'短评内容': '位置实在凯迪拉克旁边  前台在16楼  房间在二十多层  风景不错  房间挺大  ', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '非常好的入住', '短评打分': 5}
{'短评内容': '酒店就在星海广场旁边，站在窗户跟前都能拍得到。房间很干净呀，比之前住的如家汉庭之类的快捷酒店空间大很多。楼下需要刷卡才能进来，这样很安全。总之很满意，值得推荐给朋友们。', '短评打分': 5}
{'短评内容': '酒店式公寓，前台也是在房间里边办公。店主挺热情的，会主动告知一些周围的饭店，景点啥的。房间在23层，可以看到部分的星海广场。没想到里边竟然还能有厨房，店主说如果想做饭或是煮海鲜，可以提供餐具（不过是租用的哦，30/天）。设施也很齐全，跟平时住的酒店没什么区别，反而会比酒店的房间大很多，楼下也比较安全，进出需要刷卡。可能是出行时间的原因吧，价格比价优惠。赞~ ', '短评打分': 5}
{'短评内容': '错开了十一的高峰期出来玩的，在网上选了好久。开始比较犹豫，因为看到了差评。但是价格比价优惠，还是选择了预定。酒店是属于公寓式的，房间还比较宽敞。设施也比较齐全，整体厨房，独立的卫生间，WIFI，冰箱，洗衣机一应俱全。本来预定的是普通的大床房，因为现在房间不太紧张，店主免费给升级了房型。下楼之后就是星海广场，不像其他游客说的，需要走二十分钟。慢慢悠悠的溜达的走过去，挺好的，还能欣赏一下星海广场的风景', '短评打分': 5}
{'短评内容': '服务很热情,酒店的卫生搞的挺好的,房间很宽敞,床也很大很软,超级舒服的.', '短评打分': 5}
{'短评内容': '房间挺大的，里面有两个沙发，楼下早餐店 便利店都有，到星海广场要走接近20分钟吧，卫生差了点', '短评打分': 4}
{'短评内容': '好多好多好吃的确是不是很难受到想', '短评打分': 5}
{'短评内容': '喜欢这个酒店，很人性化，也比较便宜，房间明亮宽敞。这这很舒心，离星海不远，吹海风，看夜景，很不错的', '短评打分': 5}
{'短评内容': '酒店就在星海广场边上，交通比较便利，属于公寓改造酒店，设施一般，都比较陈旧，早餐也不理想，在啤酒节期间入住还算好，价格比较贵，家庭自助游比较合适', '短评打分': 4}
{'短评内容': '很好很干净', '短评打分': 5}
{'短评内容': '非常差劲，不知道为何会有如此之多的nice点评。 想必是自己评的吧。我从来不给差评的这次的体验实在是令我无语。住了以后就会明白的！', '短评打分': 1}
{'短评内容': '   属于酒店式公寓，住的是商务海景房  房间设施很不错 有无线  服务很热情  地点就在星海广场旁边，位置比较好，步行5分钟就可以到达海边。下次会在来', '短评打分': 5}
{'短评内容': '  来大连的一个惊喜   非常好的酒店   不管是硬件、软件服务都非常到位   而且性价比很高  老板人特别好   强烈建议大家来住    绝对超值  以后来大连必到之地了  呵呵   海景房看海很浪漫', '短评打分': 5}
{'短评内容': '酒店设施相当好了，位置也相当好了就在星海旁边，老板人很好。非常', '短评打分': 3}
{'短评内容': '愣是给我换了另一个住的地方 有点无语 他家根本就没有给我留房间 房间没有了 给我弄到别的家去了', '短评打分': 1}
{'短评内容': '非常好~以后去大连还到这里来，老板人好~', '短评打分': 5}
