{'短评内容': '感觉性价比挺好的，哈哈哈', '短评打分': 5}
{'短评内容': '周边环境有点吵，内部还好', '短评打分': 5}
{'短评内容': '房间其他还好，就是在退房时客服说是房间毛巾有污染，扣十块钱。紧接着又来一个退房的，又是说房间毛巾有污染，扣钱。这其中肯定有猫腻。服务员都指着扣钱发工资吧。老板知道吗？', '短评打分': 3}
{'短评内容': '有的房间感觉外面吵闹声较大', '短评打分': 4}
{'短评内容': '床头有装修木材散发的异味', '短评打分': 4}
{'短评内容': '房间有装修木板散发的味道', '短评打分': 4}
{'短评内容': '外面就是商业街，很热闹', '短评打分': 4}
{'短评内容': '不带窗的房间很不隔音', '短评打分': 4}
{'短评内容': '性价比比较高', '短评打分': 4}
{'短评内容': '要求不高、经济实惠的好选择。', '短评打分': 4}
{'短评内容': '酒店老旧，定的有窗大床房居然窗外面是密封的，整一个密闭空间，闷热。房间很小，有一台电脑这个比较人性化，旁边是服务人员的更衣室，晚上噼里啪啦一直关门开门到一点半才可以清净让人睡觉。抱着绅士的姿态忍了，下次不会再到这家酒店居住，和馆陶县的那新开的尚客优根本就不是一个档次。最后一张为馆陶县的尚客优照片', '短评打分': 2}
{'短评内容': '实惠、卫生、', '短评打分': 5}
{'短评内容': '舒心', '短评打分': 5}
{'短评内容': '可以可以可以可以可以可以可以可以', '短评打分': 3}
{'短评内容': '可以可以可以可以可以', '短评打分': 3}
