{'短评内容': '还可以，房间挺大的', '短评打分': 5}
{'短评内容': '上海宾馆对面，离华强北很近', '短评打分': 4}
{'短评内容': '酒店硬件还不错，也比较新。但卫生一般，每天都看到小蟑螂。不得不说的是，两个前台，高的态度很好，矮的态度很差，还挂我电话。', '短评打分': 3}
{'短评内容': '酒店硬件还不错，也比较新。但卫生一般，每天都看到小蟑螂。不得不说的是，两个前台，高的态度很好，矮的态度很差，还挂我电话。', '短评打分': 3}
{'短评内容': '酒店硬件还不错，也比较新。但卫生一般，每天都看到小蟑螂。不得不说的是，两个前台，高的态度很好，矮的态度很差，还挂我电话。', '短评打分': 3}
{'短评内容': '总体环境还可以', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '服务不怎么好，退房前台找不到人', '短评打分': 2}
{'短评内容': 'Nearby has got a lot food and taxi is easy to access but it can be jam during certain peak hours', '短评打分': 3}
{'短评内容': '这个宾馆确实不错的！', '短评打分': 5}
{'短评内容': '这个宾馆还是很不错的', '短评打分': 5}
{'短评内容': '不知道为什么 为什么没有返现了？', '短评打分': 5}
{'短评内容': '酒店很安静，各种设施都有', '短评打分': 3}
{'短评内容': '比较旧的房间，应该不会在去住那里了。', '短评打分': 3}
{'短评内容': '一般吧，不是很干净，价格还可以', '短评打分': 3}
{'短评内容': '虽然酒店有点老，但是设施齐全！很安静！', '短评打分': 3}
