{'短评内容': '设施比较不错', '短评打分': 5}
{'短评内容': '酒店挺好的，离火车站也近，房间也挺大，前台比较热情哈，反正呢，大理玩了好几天，有坑也有美景，不错不错，涨姿势了', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '适合坐火车出行。', '短评打分': 5}
{'短评内容': '离火车站800多米，不远不近，赶火车可以入住。', '短评打分': 5}
{'短评内容': '早上六点多到大理，前台就给安排入住了，在长途跋涉后能立马休息真好，房间里面卫生很好，房间很安静，各种方面都很满意。', '短评打分': 5}
{'短评内容': '服务可以，空调不行，房间一般', '短评打分': 5}
{'短评内容': '就离开火车站近点，其他都一般。', '短评打分': 3}
{'短评内容': '环境不错，房间挺大，洗澡水很热，挺好的，而且也不贵，性价比高。离车站也近', '短评打分': 5}
{'短评内容': '晚上才到大理，选了一家离火车站比较近的酒店。入住后免费给我们升级的房间。房间很大很明亮，干净。服务好。', '短评打分': 5}
{'短评内容': '离火车站很近，住了一晚，次曰火车回昆明，很便当很便当，下次来大理在这里中转下不错的办法，可以继续考虑', '短评打分': 5}
{'短评内容': '房间很舒服。。。升级', '短评打分': 5}
{'短评内容': '地点离租车的店很近', '短评打分': 5}
{'短评内容': '还好吧，交通方便。', '短评打分': 3}
{'短评内容': '房間雖小，但價位合理，四週方便，離火車站近。', '短评打分': 4}
{'短评内容': '总体不错，就是有些设备老化咯，洗澡的时候花洒掉下来了，不过马上有师傅前来修理。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '条件不错，离火车站也不远', '短评打分': 5}
