{'descr': '哎！浴巾好脏呀，全是白色的印，不知道是什么有点心理阴影', 'star': 5}
{'descr': '还行吧，物美价廉', 'star': 4}
{'descr': '挺好的，位置好找，方便', 'star': 5}
{'descr': '去北大口腔医院看病，距离医院很近，很方便。', 'star': 5}
{'descr': '房内电脑都是坏的，都是摆设', 'star': 5}
{'descr': '这家的房间窗户没法打开，一打开就是楼下餐饮店后厨的油烟味，房间里的电脑也无法启动，一直死循环在DOS状态下，浴室的水直接渗漏到床边，房间不隔音，隔壁大吼大叫的，300多的房间还不如招待所呢！下楼退房晚了20分钟，还问我多收20块钱，第一次遇到', 'star': 3}
{'descr': '位置很好，无早', 'star': 4}
{'descr': '物有所值，北京行最满意的一家', 'star': 5}
{'descr': '1234567891011', 'star': 5}
{'descr': '房间很大很干净。', 'star': 5}
{'descr': '还不错，非常好。', 'star': 5}
{'descr': '经常来这里，很方便很干净。', 'star': 5}
{'descr': '还不错，挺干净的。', 'star': 5}
{'descr': '离北大口腔近，适合排队', 'star': 5}
{'descr': '还可以，挺好', 'star': 5}
{'descr': '电脑不能，没有洗澡的拖鞋，服务一般般', 'star': 5}
{'descr': '就是小...', 'star': 5}
{'descr': '阿卡卡卡啦啦啦啦啦啦啦啦啦啦啊啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啊啦啦啦啦生生世世啦啦啦啦上课上课上课上课上课上课上课上课上课上课上课上课上课上课', 'star': 5}
{'descr': '对得起这个价钱', 'star': 5}
{'descr': '还不错，空调再暖一些就好了！', 'star': 4}
{'descr': '交通挺方便的，酒店设施比较旧。但好在便宜', 'star': 3}
{'descr': '房间老旧、卫生也不好、周围是学校也有地铁站还算方便、', 'star': 3}
{'descr': '交通方便，饮食方便，房间隔音不怎么好', 'star': 5}
{'descr': '还可以吧', 'star': 5}
{'descr': '不怎么样，小的跟笼子似的', 'star': 3}
{'descr': '房间略小，其他都挺好的', 'star': 5}
{'descr': '在北大口腔医院附近，如果看牙真的很方便，吃饭也很方便，周围有好多店可以满足各种口味。', 'star': 5}
{'descr': ' 物美价廉', 'star': 3}
{'descr': '环境还不错哦 很喜欢里面的格局 最好的就是可以无线上网 推荐 推荐', 'star': 3}
{'descr': '还是用他家会员卡比较划算 但是那个比较难订上房', 'star': 5}
{'descr': '设施齐全，卫生还可以。适合出差经济出行。周围吃饭很方便。', 'star': 5}
{'descr': '设施齐全，卫生还可以。电脑的显示器坏了不能用。周围吃饭很方便。', 'star': 5}
{'descr': '我是为了去北京口腔医院挂号，离那里非常近，房间很宽敞，用具等一应俱全，卫生间干净，灯光蛮有情调的', 'star': 5}
{'descr': '酒店在国图附近，出行方便，吃饭也有许多地方，，，，', 'star': 5}
{'descr': '酒店位置好，出行方便，周围吃饭的地方多，，，，，，', 'star': 5}
