{'短评内容': '性价比还可以，只是床单有点脏。', '短评打分': 4}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '房间卫生特别不错，清洁也很及时，设施非常好，周边环境也很安静 ，酒店服务人员态度也非常不错，有贵宾的感觉', '短评打分': 5}
{'短评内容': '快要关了真心舍不得，价格超低', '短评打分': 5}
{'短评内容': '房间还可以，面积挺大，里面还有个麻将室。但你们能不能管管塞小卡片的，，一晚上来好几波。。。', '短评打分': 4}
{'短评内容': '酒店位置极好，出门坐车方便，旁边有大型商场。前台文明礼貌，办事干脆利落。最重要的是房间干净卫生，安静舒适～', '短评打分': 5}
{'短评内容': '还可以。挺便宜的。', '短评打分': 5}
{'短评内容': '房间不错。适合入住', '短评打分': 5}
{'短评内容': '房间不错，就是卫生间下水有问题，搞得地上都是水，地理位置一般，周围设施还不错的，整体好评，匆匆住一晚而已', '短评打分': 5}
{'短评内容': '房间设施装修有点旧，但一个人出差住在这里还不错，比较经济实惠。附近便利店外卖都比较方便的～～～～～～～', '短评打分': 4}
{'短评内容': '周边设施还行，淋浴房门都要掉了！吓人！舒适度一般。早餐只是对面面包店5元面包一个，一杯豆浆。早餐一般', '短评打分': 4}
{'短评内容': '实在太一般了', '短评打分': 4}
{'短评内容': '房间挺好的，卫生也很干净。还有早餐。', '短评打分': 5}
{'短评内容': '格局很好', '短评打分': 5}
{'短评内容': '还行，便宜。离办事的地方近。', '短评打分': 4}
{'短评内容': '交通方便，毛巾旧了点如果换新会跟舒适', '短评打分': 5}
{'短评内容': '出差来住的，总得说来还凑合，主要是相对方便！', '短评打分': 3}
{'短评内容': '位置比较热闹很方便', '短评打分': 4}
{'短评内容': '很普通很一般的酒店，也不干净，房间很小，不会再住', '短评打分': 1}
{'短评内容': '房间还可以  设施也不错  就是靠近马路，楼下就是商业区  白天很吵', '短评打分': 5}
{'短评内容': '酒店还可以，就是附近有点吵', '短评打分': 3}
{'短评内容': '设施还是比较干净的。出入市区很方便。下楼就是江南大厦。', '短评打分': 5}
{'短评内容': '隔音不错 就是厕所安排太挤', '短评打分': 3}
{'短评内容': '网上订的话性价比还可以的，房间有些小，一分钱一分货吧', '短评打分': 5}
{'短评内容': ' 服务真不到位。前台除了接电话挂电话之外其他事好像都和她无关。。', '短评打分': 1}
{'短评内容': '不错的，舒适，整洁。去过N次了。。很好。。', '短评打分': 5}
{'短评内容': '被子很薄，要开足够的暖气。  最讨厌的是洗澡，水虽然很大。但是一点也不热。很温的水。冲在身上就是比冷水稍微有点温度。洗的一点都不开心。   再说厕所，我订的是标准间。奇怪的是这个厕所，人进去上厕所了没法把门关上。上厕所只能开着门。不是说门坏了。而是这个门关起来正好和马桶碰上。从来没有遇到过这种厕所。', '短评打分': 1}
{'短评内容': '价格还好拉 环境也还好 地理位置也不错哦  在市中心的 呵呵  就是床硬了   WC小了', '短评打分': 5}
{'短评内容': '環境不錯，挺溫馨！', '短评打分': 3}
{'短评内容': '还不错哦，位置很好', '短评打分': 3}
{'短评内容': '交通很方便，周围各种商场，饭店，离火车站汽车站也很近，不错。', '短评打分': 5}
{'短评内容': '酒店位置不错。几分钟就到了市中心，挺繁华。房间也挺干净的，下次还会去住', '短评打分': 5}
{'短评内容': '住了一晚上起了一身的疙瘩，不知道是水有问题还是被子有问题。', '短评打分': 1}
{'短评内容': '房间还可以\n就厕所太小也不方便\n大厅太小人多时结账太慢', '短评打分': 5}
{'短评内容': '床不错，挺干净的，不是很软，睡起来不会腰疼。无异味。就是电视不够大，呵呵~！', '短评打分': 5}
{'短评内容': '同比下，汽车酒店不失为最佳选择，最近在装修，希望能有更好的服务和设施，惠及大家', '短评打分': 5}
{'短评内容': '上次就有来住，整体来说很干净清爽…', '短评打分': 3}
{'短评内容': '朋友说还可以，就是小点了，周边很繁华是步行街', '短评打分': 5}
{'短评内容': '蛮干净的，镜子很多（喜欢），厕所不知道谁设计的，真是被门挤了', '短评打分': 5}
{'短评内容': '房间还不错，出行很方便，在市中心，很好，推荐', '短评打分': 5}
{'短评内容': '＋总体感觉还行，整体布局挺挤的，厕所里面马桶跟洗澡的地方是分开的，就是马桶那的空间实在太小，门都关不上的。', '短评打分': 3}
{'短评内容': '非常不错，就是床和枕头一般，能感觉到席梦思的钢圈', '短评打分': 5}
{'短评内容': '＋感觉没有百度好，房间小，洗脸槽的下水速度很难，换次水都得等老半天，这点是特别不能忍受的！', '短评打分': 3}
{'短评内容': '房间的味道很重，隔音非常差。其他还行，。。。。', '短评打分': 1}
{'短评内容': '加兴最繁华的少年路一家小型酒店，小而全，设施也新，吃喝玩乐都方便', '短评打分': 5}
{'短评内容': '不错的 房间很多\n不错的 房间很多\n不错的 房间很多\n不错的 房间很多\n', '短评打分': 5}
{'短评内容': '很不错，小巧精致，下次还住。不过厕所的设计不太合理，有数字电视。服务态度也好', '短评打分': 5}
{'短评内容': ',性价比还是可以的', '短评打分': 3}
{'短评内容': '点评了有积分？？？？？？？？？？？？？？？？？', '短评打分': 3}
{'短评内容': '位置太好了，就在嘉兴的少年路上，吃喝玩乐应有尽有，离几个车站也近', '短评打分': 3}
{'短评内容': '位于加兴最热闹的少年路，交通及饮食都很方便', '短评打分': 3}
{'短评内容': '位置中心，价格合理，有汽车文化。', '短评打分': 5}
{'短评内容': '垃圾 真的是垃圾 没有服务 没有性价比卫生间极其小 上厕所门都关不  入住时居然让我自己去找房间 一个可以问路的服务人员都没看到', '短评打分': 3}
{'短评内容': '在嘉兴这样的城市一百五这样的价格 性价比很低 而且根本就没有服务 在入住的时候居然让我自己去找房间 第一次住这样的宾馆 太牛逼了 而且卫生间真的很小 上厕所的时候连门都关不上 真不知道是谁设计的 真该把他塞进去关上门夹死他 下次再也不会去住这家了 真的是太垃圾  ', '短评打分': 1}
{'短评内容': '地理位置好，交通方便，价格实惠，舒适干净。', '短评打分': 5}
{'短评内容': '不错的地方，性价比很高...镜子也很多喔', '短评打分': 3}
{'短评内容': '卫生还好！！服务一般。设施一般。位置还是不错的。舒适度一般。性价比总体来说一般过的去的！&#183;！！', '短评打分': 5}
{'短评内容': '服务态度很好，环境也不错，就是电视机有点小，不过还是很满意的~', '短评打分': 5}
{'短评内容': '还可以，房间比想像中的小。前台态度不错的，酒店打扫的阿姨超极有礼貌，给个好印象。其它服务现在暂时还没体会到。因为还刚入住。。', '短评打分': 5}
{'短评内容': '周围非常热闹，本身坐落在嘉兴的“女人街”少年路，也在嘉兴比较繁华的华庭街附近，设施不算很新，但是还蛮舒适的。打车到火车站就起步价七元。', '短评打分': 5}
{'短评内容': '设施很齐全，电视有点播功能，干净，地理位置也方便，不错', '短评打分': 5}
{'短评内容': '不错的', '短评打分': 3}
{'短评内容': '总体感觉比较好，就是走廊有点拥挤，在楼道靠厕所的外墙有些出水。', '短评打分': 5}
{'短评内容': '地理位置比较优越，卫生不错，前台服务很热情！', '短评打分': 5}
{'短评内容': '这是家不错的酒店，设施都比较新，位置非常好，距火车站和汽车站都很近，而且又处于商业街，晚上逛一逛挺好的', '短评打分': 5}
{'短评内容': '还不错，地理位置好，设施设备也还齐全。就是房间小，价格有点高了。', '短评打分': 5}
{'短评内容': '我订的房间床头柜处很大的臭味，开窗通风，和喷了两次空气清新剂也没改变多少', '短评打分': 1}
{'短评内容': '房间有点小，特别是卫生间；隔音效果不好', '短评打分': 5}
{'短评内容': '很好的，前台那个姐姐服务态度很好。短发的那个O...酒店在少年路上，地段很好，闹中取静。', '短评打分': 5}
{'短评内容': '比较干净 安静 比较适合出去简单旅行!', '短评打分': 5}
{'短评内容': '实在没有办法表扬', '短评打分': 1}
{'短评内容': '还行，房间还算干净，只是服务一般', '短评打分': 5}
{'短评内容': '位置不错', '短评打分': 3}
{'短评内容': '卫生间的布局不是很好', '短评打分': 5}
{'短评内容': '还不错！', '短评打分': 5}
{'短评内容': '很干净，交通方便，服务态度也很好，下次去还是住这里。', '短评打分': 5}
{'短评内容': '酒店的内部卫生条件不是很好,设施也有点陈旧,人员服务态度还可以,但是整体的性价比并不是很高.', '短评打分': 3}
{'短评内容': '位置不错，环境也好，推荐！', '短评打分': 5}
{'短评内容': '交通方便，定价合理，房间舒适，但面积太小，有点拥挤的感觉。', '短评打分': 5}
{'短评内容': '洗澡水不够热  ', '短评打分': 5}
{'短评内容': '应当下午两点退房 性价比还不错 ', '短评打分': 5}
{'短评内容': '首先讲一下服务：（1）入住时态度很好，但告诉我原告预定的房间要等十多分钟左右才好，如果换个标间再加20元就马上可以入住，不用再等了，不知有没有那个方面的嫌疑，房间内还多个麻将桌，也不知是不是鼓励人们玩玩那个什么的，真是搞笑；（2）出门游玩，担心不能在中午12点前回来，与前台商量能否延长一小时退房，却被告之每延长一小时加收20元房费；唉，当初我订好房还能叫我等十分钟也不赔钱给我，现在不按时退房却加收', '短评打分': 1}
{'短评内容': '对锐思特有不错的感觉，这家店也没让我失望。就是停车比较不方便，位置还有早饭都还比较让人满意的。', '短评打分': 5}
{'短评内容': '这家酒店挺满意的，房间特别干净，位置也方便，价格实惠，值得推荐', '短评打分': 5}
{'短评内容': '位置很好，也很干净，风格简洁，就是卫生间有点小，其他的都不错。', '短评打分': 5}
{'短评内容': '酒店的设施不错，卫生他条件也干净，提供吃自动早餐的地方里住的地方有点远，而且酒店没有停车场，自己开车停车不方便，位置在市中心交通还是很方便的', '短评打分': 5}
{'短评内容': '酒店各个方面还是不错的,就是卫生间的面积太小了,交通也很方便；性价比还是比较高的；', '短评打分': 5}
{'短评内容': '酒店的卫生间设计得不合理玻璃门不太方便,位置靠近市中心比较好,设施也不错,卫生很好,性价比比较好.', '短评打分': 5}
{'短评内容': '酒店地理位置很好,就是房间面积有点小,其他方面都还是可以的,性价比还是比较好的.', '短评打分': 5}
{'短评内容': '酒店的服务卫生以及设施的都很好的，位置不错的，很方便，性价比不错的酒店的', '短评打分': 5}
{'短评内容': '嘉兴市中心最好的位置了，价格也不高，晚上很安静。不过时不时嘉兴会有战斗机穿城训练，会比较吵，这个没办法的。\r\n\r\n缺点是插座设计不好，没法用，三相的距离桌子太近，挡线。要用接线板。', '短评打分': 5}
{'短评内容': '隔音效果一般，洗澡水太小，温度难调节', '短评打分': 5}
