{'短评内容': '很好的酒店 距离办事的地方很近 楼下还有好吃的烧烤 不错', '短评打分': 5}
{'短评内容': '希望酒店加强工作人员的管理 形象很差劲\n       态度决定于老板的待遇', '短评打分': 5}
{'短评内容': '价格是绝对的优势  就是不好找 房间也应该修补了\n', '短评打分': 5}
{'短评内容': '服务很一般，地方比较偏，不过价格还是比较实惠的，对环境要求不高的话可以住住', '短评打分': 1}
{'短评内容': '在那个地方还算差不多，价格就适合那个房型', '短评打分': 5}
{'短评内容': '地处杭州贫民窟，房间卫生不行，不过房价不高，总体性价比很一般。', '短评打分': 1}
{'短评内容': '空调有点异味，房间排风扇基本上都是坏的，我住的那间厕所的水箱会漏水', '短评打分': 5}
{'短评内容': '就在汽车东站旁，交通方便，环境舒适，干净整洁，性价比高，值得入住，真的挺好！\n环境很好的，服务态度也不错，周围有早餐，有一个比较大的批发市场，地处汽车东站，逛的地方比较多', '短评打分': 5}
{'短评内容': '＋九九旅馆房间环境干净，舒适，价格适中！', '短评打分': 3}
{'短评内容': '床单被套都是黑的，房间很冷，空调制热不行', '短评打分': 1}
{'短评内容': '位置太偏，房间还是比较大的，不过房间里面的设备过于陈旧。', '短评打分': 5}
{'短评内容': '杭州市内100元以下的品牌旅馆，小商品，小商铺附近，经货推荐', '短评打分': 5}
{'短评内容': '还可以，', '短评打分': 3}
{'短评内容': '   不推荐的理由有两个，一是这家店的地理位置太偏远  二是这家旅馆周遭的环境很乱，住在那心里总不踏实！', '短评打分': 1}
{'短评内容': '酒店位置不好，很偏，吃饭都很不方便，就是比别的99房间要大一些', '短评打分': 1}
{'短评内容': '服务什么的都很好，只是房间感觉不算特别好，\n但是99块钱，能这样很不错了，\n有点偏，不太好找。', '短评打分': 5}
{'短评内容': '虽然位置有点偏，但是性价比比较高，服务态度还不错！', '短评打分': 5}
{'短评内容': '每次去杭州都会住99，感觉比长沙这边的99好多了。', '短评打分': 5}
{'短评内容': '九九旅店不错，对得起这个价。只是比较难找，路很狭窄，车难开。', '短评打分': 3}
{'短评内容': '99连锁旅馆（杭州城东店）位置实在是太差了，前面的箱子脏乱差，价格倒是挺便宜的。', '短评打分': 1}
{'短评内容': '位置偏这是事先知道的，但是周边的环境之差是没有想象到的，简直就是城中村的感觉，脏乱差。之前定的1.8m床没有，给的是1.5m的，旅馆本身还可以，但是还是比起上次在泉州住的99旅馆差很多', '短评打分': 1}
{'短评内容': '便宜，就是地点偏僻，不好找，楼下烧烤味道不错', '短评打分': 5}
{'短评内容': '高性价比，门口的早点不错。但天台山路不好找，出租车都不知道的。', '短评打分': 5}
{'短评内容': '此家位置稍微难找一点，在巷子里较深的地方，巷子比较窄。 但是酒店本身很不错，干净整洁 舒适度搞， 性价比很不错！', '短评打分': 5}
{'短评内容': '99元，性价比很高。房间也还挺舒适的，干净明亮、交通方便！', '短评打分': 3}
{'短评内容': '入住的99真的不方便，打的时司机还不知道天台山路在哪。服务很一般。', '短评打分': 1}
{'短评内容': '其他都还好，对得起这个价格吧！就是厕所有臭味，比较脏，床倒是挺大的，蛮舒服的。', '短评打分': 5}
{'短评内容': '位置有点偏，总体来说还不错，性价比比较高', '短评打分': 3}
{'短评内容': '房间挺干净，就是有点小，位置还可以，没有一次性洗刷用具', '短评打分': 5}
